Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Кизилюртовская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717					
		0.26%	0.23%	0.29%	0.32%	0.00%	0.00%	0.90%	0.26%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.38%	1.02%	0.00%	0.49%	0.34%	0.78%	0.21%	0.54%	0.48%	0.98%	0.51%	0.22%	0.40%	0.00%	0.48%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	37725	2047	938	851	1296	348	100	1095	610	644	1329	2310	1409	856	1697	1129	831	1275	292	959	1448	1026	1320	1086	946	882	850	1141	1222	1419	1221	1122	1264	1364	1398					
		91.00%	93.94%	90.98%	91.41%	85.04%	92.06%	90.09%	93.99%	92.01%	91.48%	87.03%	88.81%	95.01%	91.45%	91.98%	90.98%	91.42%	82.95%	91.54%	90.99%	91.99%	93.02%	91.99%	90.95%	91.93%	90.93%	92.49%	91.13%	92.02%	91.02%	90.98%	90.63%	92.06%	93.81%	90.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	107	0	2	3	0	0	1	4	0	0	2	0	0	0	0	4	0	0	0	3	16	0	8	3	10	11	0	7	7	8	4	7	0	7	0					
		0.26%	0.00%	0.19%	0.32%	0.00%	0.00%	0.90%	0.34%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.28%	1.02%	0.00%	0.56%	0.25%	0.97%	1.13%	0.00%	0.56%	0.53%	0.51%	0.30%	0.57%	0.00%	0.48%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
