Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Краснояружская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
1	"Число избирателей, внесенных в список"	11245	707	534	154	332	658	269	623	524	447	160	430	1607	627	1147	824	1145	787	270					
2	Число полученных избирательных бюллетеней	11260	710	550	160	335	680	275	620	530	455	160	425	1590	620	1150	810	1140	780	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8926	591	452	93	232	536	236	505	365	365	126	334	1136	502	889	716	1034	621	193					
5	"Число избирательных бюллетеней, выданных вне помещения"	1539	112	76	57	90	118	32	112	148	66	33	89	125	41	178	62	35	94	71					
6	Число погашенных избирательных бюллетеней	795	7	22	10	13	26	7	3	17	24	1	2	329	77	83	32	71	65	6					
7	Число избирательных бюллетеней в переносных ящиках	1539	112	76	57	90	118	32	112	148	66	33	89	125	41	178	62	35	94	71					
8	Число бюллетеней в стационарных ящиках для голосования	8919	591	452	93	232	536	236	505	364	365	126	334	1136	496	889	716	1034	621	193					
9	Число недействительных избирательных бюллетеней	134	34	4	1	5	4	3	9	2	7	1	5	25	2	9	2	12	5	4					
10	Число действительных избирательных бюллетеней	10324	669	524	149	317	650	265	608	510	424	158	418	1236	535	1058	776	1057	710	260					
11	Число полученных открепительных  удостоверений	146	7	4	3	7	7	3	7	3	7	2	5	15	12	13	16	17	13	5					
12	Число выданных открепительных удостоверений	30	0	0	0	2	7	2	2	1	0	0	1	3	0	4	8	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	2	0	0	0	0	0	0	4	3	0	0	2	2	2	5	3	3	0					
14	Число неиспользованных открепительных удостоверений	116	7	4	3	5	0	1	5	2	7	2	4	12	12	9	8	17	13	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	248	21	8	3	4	14	6	11	4	24	4	6	29	16	33	20	24	18	3					
		2.37%	2.99%	1.52%	2.00%	1.24%	2.14%	2.24%	1.78%	0.78%	5.57%	2.52%	1.42%	2.30%	2.98%	3.09%	2.57%	2.25%	2.52%	1.14%					
19	. Малышкин Олег Александрович	214	6	10	0	5	14	6	14	11	12	1	1	36	18	26	9	22	15	8					
		2.05%	0.85%	1.89%	0.00%	1.55%	2.14%	2.24%	2.27%	2.15%	2.78%	0.63%	0.24%	2.85%	3.35%	2.44%	1.16%	2.06%	2.10%	3.03%					
20	. Миронов Сергей Михайлович	64	5	6	1	0	4	1	3	7	5	0	2	9	5	5	4	6	1	0					
		0.61%	0.71%	1.14%	0.67%	0.00%	0.61%	0.37%	0.49%	1.37%	1.16%	0.00%	0.47%	0.71%	0.93%	0.47%	0.51%	0.56%	0.14%	0.00%					
21	. Путин Владимир Владимирович	6135	516	328	104	196	461	202	359	325	258	102	272	551	276	596	452	575	416	146					
		58.66%	73.40%	62.12%	69.33%	60.87%	70.49%	75.37%	58.18%	63.48%	59.86%	64.15%	64.30%	43.70%	51.40%	55.86%	58.10%	53.79%	58.18%	55.30%					
22	. Хакамада Ирина Муцуовна	160	12	7	2	10	10	4	8	4	7	0	3	32	10	20	11	14	5	1					
		1.53%	1.71%	1.33%	1.33%	3.11%	1.53%	1.49%	1.30%	0.78%	1.62%	0.00%	0.71%	2.54%	1.86%	1.87%	1.41%	1.31%	0.70%	0.38%					
23	. Харитонов Николай Михайлович	3268	109	159	38	100	142	43	198	139	105	42	133	540	181	349	257	388	247	98					
		31.25%	15.50%	30.11%	25.33%	31.06%	21.71%	16.04%	32.09%	27.15%	24.36%	26.42%	31.44%	42.82%	33.71%	32.71%	33.03%	36.30%	34.55%	37.12%					
																									
24	Против всех	235	0	6	1	2	5	3	15	20	13	9	1	39	29	29	23	28	8	4					
		2.25%	0.00%	1.14%	0.67%	0.62%	0.76%	1.12%	2.43%	3.91%	3.02%	5.66%	0.24%	3.09%	5.40%	2.72%	2.96%	2.62%	1.12%	1.52%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
