Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Бабаевская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в список"	20530	1358	1330	1317	1471	1193	763	977	1091	1228	216	1864	181	221	351	152	289	194	215	100	177	74	329	127	467	142	606	404	126	669	87	393	87	221	526	233	182	947	222					
2	Число полученных избирательных бюллетеней	20940	1355	1345	1370	1445	1195	759	985	1095	1230	210	1910	194	233	362	166	287	200	220	100	186	75	363	135	485	151	646	419	130	709	89	400	95	212	565	232	190	960	237					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10528	652	653	621	835	733	409	416	542	626	97	857	71	105	217	92	147	85	134	46	81	47	196	56	245	72	261	268	83	365	60	240	64	148	241	140	95	412	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	2013	101	26	42	64	26	19	45	48	16	55	262	73	68	19	19	60	60	26	32	60	16	53	49	68	23	146	9	10	28	15	39	6	39	126	32	13	141	79					
6	Число погашенных избирательных бюллетеней	8399	602	666	707	546	436	331	524	505	588	58	791	50	60	126	55	80	55	60	22	45	12	114	30	172	56	239	142	37	316	14	121	25	25	198	60	82	407	42					
7	Число избирательных бюллетеней в переносных ящиках	2013	101	26	42	64	26	19	45	48	16	55	262	73	68	19	19	60	60	26	32	60	16	53	49	68	23	146	9	10	28	15	39	6	39	126	32	13	141	79					
8	Число бюллетеней в стационарных ящиках для голосования	10523	652	653	620	835	733	409	416	542	626	97	854	71	105	217	92	147	85	134	46	81	47	196	56	245	72	261	268	83	365	60	240	64	148	241	140	95	411	116					
9	Число недействительных избирательных бюллетеней	65	3	1	3	1	0	1	4	2	5	3	6	2	1	1	0	1	2	3	1	0	0	1	0	3	1	3	2	2	3	1	0	0	0	1	2	0	5	1					
10	Число действительных избирательных бюллетеней	12471	750	678	659	898	759	427	457	588	637	149	1110	142	172	235	111	206	143	157	77	141	63	248	105	310	94	404	275	91	390	74	279	70	187	366	170	108	547	194					
11	Число полученных открепительных  удостоверений	587	30	30	30	30	30	20	20	20	20	5	60	10	12	10	5	10	5	5	5	5	5	27	5	15	5	20	10	5	25	5	10	7	10	21	5	10	10	30					
12	Число выданных открепительных удостоверений	286	5	11	6	1	10	1	2	1	7	5	37	10	10	2	2	5	0	2	0	5	0	26	2	10	5	20	10	0	23	0	2	5	1	21	4	5	7	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	185	31	6	3	12	9	7	3	5	6	1	15	0	5	2	2	5	1	2	0	3	1	1	2	2	1	3	2	0	3	0	5	3	24	6	1	5	6	2					
14	Число неиспользованных открепительных удостоверений	301	25	19	24	29	20	19	18	19	13	0	23	0	2	8	3	5	5	3	5	0	5	1	3	5	0	0	0	5	2	5	8	2	9	0	1	5	3	7					
