Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Абаканская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №376	УИК №377	УИК №378	УИК №379					
1	"Число избирателей, внесенных в список"	124322	1355	1216	1766	1079	1159	1047	1775	1739	2060	1894	1993	2313	2314	1756	2431	1683	1561	2487	1605	2862	2688	2669	1454	1686	1276	1587	1254	1936	1335	1574	1629	1958	1032	2543	1520	1473	1466	1147	2174	2073	2279	2025	1317	1287	1867	1536	2832	1488	2518	2457	1965	2796	2700	2890	2177	2107	883	2317	1350	2084	2161	3159	1394	1369	1474	1473	1848					
2	Число полученных избирательных бюллетеней	106300	1100	1100	1600	1000	1000	900	1500	1500	1800	1700	1700	2000	2000	1500	2100	1400	1400	2200	1400	2600	2100	2000	1200	1400	1100	1400	1000	1500	1100	1400	1400	1700	900	2200	1300	1300	1200	1000	1700	1800	1800	1800	1100	1000	1300	1400	2400	1300	2200	2100	1800	2500	2400	2500	1900	1900	800	2100	1000	1900	1600	2700	1200	1200	1300	1300	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63828	632	663	1087	534	597	551	1069	1022	1140	915	913	1292	1305	818	1048	660	828	1323	920	1508	1180	1603	592	722	618	654	493	784	547	815	814	960	509	1319	771	560	630	564	1206	1157	1216	1036	642	574	879	690	1437	813	1252	1219	1150	1439	1479	1627	1115	1191	486	1303	704	1177	1146	1777	803	733	815	845	957					
5	"Число избирательных бюллетеней, выданных вне помещения"	2421	13	23	11	35	20	27	21	33	26	20	30	14	22	13	38	28	28	20	19	43	27	42	58	25	45	70	54	83	43	26	36	37	59	30	28	38	31	12	8	18	65	68	38	28	274	25	23	24	34	14	19	28	19	21	21	18	9	33	286	8	9	15	9	23	17	18	21					
6	Число погашенных избирательных бюллетеней	40049	455	414	502	431	383	322	410	445	634	765	757	694	673	669	1014	712	544	857	461	1049	893	355	550	653	437	676	453	633	510	559	550	703	332	851	501	702	538	423	486	625	519	696	420	398	147	685	940	463	914	867	631	1033	902	852	764	691	305	764	10	715	445	908	388	444	468	437	622					
7	Число избирательных бюллетеней в переносных ящиках	2420	13	23	11	35	20	26	21	33	26	20	30	14	22	13	38	28	28	20	19	43	27	42	58	25	45	70	54	83	43	26	36	37	59	30	28	38	31	12	8	18	65	68	38	28	274	25	23	24	34	14	19	28	19	21	21	18	9	33	286	8	9	15	9	23	17	18	21					
8	Число бюллетеней в стационарных ящиках для голосования	63651	632	663	1087	534	596	550	1068	1022	1140	913	913	1289	1305	818	1046	659	828	1323	920	1508	1180	1601	592	722	618	654	493	784	547	664	814	960	509	1319	771	560	630	564	1206	1152	1216	1036	642	574	879	690	1437	813	1251	1214	1150	1439	1479	1627	1115	1191	486	1303	704	1177	1146	1776	803	732	815	845	957					
9	Число недействительных избирательных бюллетеней	580	7	4	4	5	8	2	4	6	6	7	4	3	4	11	38	7	7	10	8	14	8	6	7	12	11	5	11	10	8	8	5	11	6	27	12	3	10	2	12	8	5	11	8	6	8	3	0	3	5	6	6	10	10	16	2	7	6	10	70	11	7	1	5	8	6	4	5					
10	Число действительных избирательных бюллетеней	65491	638	682	1094	564	608	574	1085	1049	1160	926	939	1300	1323	820	1046	680	849	1333	931	1537	1199	1637	643	735	652	719	536	857	582	682	845	986	562	1322	787	595	651	574	1202	1162	1276	1093	672	596	1145	712	1460	834	1280	1222	1163	1457	1488	1632	1134	1202	489	1326	920	1174	1148	1790	807	747	826	859	973					
