Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Торжокская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273					
1	"Число избирателей, внесенных в список"	38660	2011	2250	2083	2369	2026	2116	2463	2262	2137	2409	2950	2391	2121	2289	2278	2108	2242	155					
2	Число полученных избирательных бюллетеней	36700	2000	2200	2000	2200	2000	2000	2300	2200	2100	2300	2400	2300	2000	2200	2100	2000	2100	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18948	1054	1158	919	1053	799	1046	1201	1200	1147	1248	1271	1212	854	1240	1215	1048	1128	155					
5	"Число избирательных бюллетеней, выданных вне помещения"	687	42	28	84	58	63	13	34	35	42	16	64	47	52	11	19	47	32	0					
6	Число погашенных избирательных бюллетеней	17065	904	1014	997	1089	1138	941	1065	965	911	1036	1065	1041	1094	949	866	905	940	145					
7	Число избирательных бюллетеней в переносных ящиках	687	42	28	84	58	63	13	34	35	42	16	64	47	52	11	19	47	32	0					
8	Число бюллетеней в стационарных ящиках для голосования	18878	1053	1158	919	1052	799	1046	1201	1200	1145	1247	1207	1212	853	1240	1215	1048	1128	155					
9	Число недействительных избирательных бюллетеней	96	2	8	6	2	0	5	6	10	10	3	6	4	4	11	13	3	3	0					
10	Число действительных избирательных бюллетеней	19469	1093	1178	997	1108	862	1054	1229	1225	1177	1260	1265	1255	901	1240	1221	1092	1157	155					
11	Число полученных открепительных  удостоверений	994	55	55	50	50	50	55	105	55	55	100	55	50	55	50	50	50	54	0					
12	Число выданных открепительных удостоверений	302	19	30	10	7	8	12	28	19	16	26	18	11	20	30	10	19	19	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	242	15	4	18	5	2	14	14	8	5	19	7	21	9	6	7	7	9	72					
14	Число неиспользованных открепительных удостоверений	692	36	25	40	43	42	43	77	36	39	74	37	39	35	20	40	31	35	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	766	56	50	21	41	28	30	42	59	45	71	54	53	31	55	56	40	29	5					
		3.92%	5.11%	4.22%	2.09%	3.69%	3.25%	2.83%	3.40%	4.78%	3.79%	5.62%	4.25%	4.21%	3.43%	4.40%	4.54%	3.65%	2.50%	3.23%					
19	. Малышкин Олег Александрович	461	31	26	29	33	20	29	27	16	22	26	36	22	27	30	27	28	29	3					
		2.36%	2.83%	2.19%	2.89%	2.97%	2.32%	2.74%	2.19%	1.30%	1.85%	2.06%	2.83%	1.75%	2.98%	2.40%	2.19%	2.56%	2.50%	1.94%					
20	. Миронов Сергей Михайлович	117	9	11	5	3	3	5	8	8	1	8	6	9	8	6	7	8	11	1					
		0.60%	0.82%	0.93%	0.50%	0.27%	0.35%	0.47%	0.65%	0.65%	0.08%	0.63%	0.47%	0.71%	0.88%	0.48%	0.57%	0.73%	0.95%	0.65%					
21	. Путин Владимир Владимирович	14475	793	888	804	855	689	810	825	872	845	923	954	934	667	865	923	843	857	128					
		73.98%	72.42%	74.87%	80.16%	77.03%	79.93%	76.49%	66.80%	70.61%	71.19%	73.08%	75.06%	74.19%	73.70%	69.14%	74.80%	76.99%	73.88%	82.58%					
22	. Хакамада Ирина Муцуовна	470	26	25	14	22	11	23	35	30	25	33	30	25	21	45	33	32	40	0					
		2.40%	2.37%	2.11%	1.40%	1.98%	1.28%	2.17%	2.83%	2.43%	2.11%	2.61%	2.36%	1.99%	2.32%	3.60%	2.67%	2.92%	3.45%	0.00%					
23	. Харитонов Николай Михайлович	2602	142	137	111	128	99	127	239	198	204	172	145	182	123	171	149	120	138	17					
		13.30%	12.97%	11.55%	11.07%	11.53%	11.48%	11.99%	19.35%	16.03%	17.19%	13.62%	11.41%	14.46%	13.59%	13.67%	12.07%	10.96%	11.90%	10.97%					
																									
24	Против всех	578	36	41	13	26	12	30	53	42	35	27	40	30	24	68	26	21	53	1					
		2.95%	3.29%	3.46%	1.30%	2.34%	1.39%	2.83%	4.29%	3.40%	2.95%	2.14%	3.15%	2.38%	2.65%	5.44%	2.11%	1.92%	4.57%	0.65%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
