Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Заинская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470					
1	"Число избирателей, внесенных в список"	28298	1204	922	896	1280	1077	862	974	843	848	1123	958	959	1288	1254	1163	1461	1331	1018	997	1095	1381	1736	1013	1298	1317					
2	Число полученных избирательных бюллетеней	28134	1203	919	897	1177	1080	861	974	846	851	1123	957	962	1291	1286	1161	1460	1311	1015	993	1033	1385	1741	988	1297	1323					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24690	1157	763	813	1097	929	789	779	680	728	976	846	721	1169	1064	975	1227	1040	907	884	941	1294	1603	887	1204	1217					
5	"Число избирательных бюллетеней, выданных вне помещения"	304	10	29	16	16	6	7	11	14	10	12	15	22	18	9	9	23	4	5	11	0	8	8	11	26	4					
6	Число погашенных избирательных бюллетеней	3140	36	127	68	64	145	65	184	152	113	135	96	219	104	213	177	210	267	103	98	92	83	130	90	67	102					
7	Число избирательных бюллетеней в переносных ящиках	304	10	29	16	16	6	7	11	14	10	12	15	22	18	9	9	23	4	5	11	0	8	8	11	26	4					
8	Число бюллетеней в стационарных ящиках для голосования	24690	1157	763	813	1097	929	789	779	680	728	976	846	721	1169	1064	975	1227	1040	907	884	941	1294	1603	887	1204	1217					
9	Число недействительных избирательных бюллетеней	140	11	6	0	11	10	8	2	8	0	10	2	8	0	5	4	12	2	10	3	4	14	0	6	4	0					
10	Число действительных избирательных бюллетеней	24854	1156	786	829	1102	925	788	788	686	738	978	859	735	1187	1068	980	1238	1042	902	892	937	1288	1611	892	1226	1221					
11	Число полученных открепительных  удостоверений	600	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24					
12	Число выданных открепительных удостоверений	203	6	0	0	8	8	3	6	5	7	12	4	10	14	18	8	20	5	16	10	3	13	6	11	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	113	5	3	0	3	6	4	4	2	2	4	3	4	20	9	2	1	15	3	4	4	6	1	3	5	0					
14	Число неиспользованных открепительных удостоверений	397	18	24	24	16	16	21	18	19	17	12	20	14	10	6	16	4	19	8	14	21	11	18	13	20	18					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	448	25	11	17	10	32	11	7	3	10	15	20	4	25	30	28	38	14	19	19	31	26	15	4	34	0					
		1.79%	2.14%	1.39%	2.05%	0.90%	3.42%	1.38%	0.89%	0.43%	1.36%	1.52%	2.32%	0.54%	2.11%	2.80%	2.85%	3.04%	1.34%	2.08%	2.12%	3.29%	2.00%	0.93%	0.45%	2.76%	0.00%					
19	. Малышкин Олег Александрович	317	23	5	9	15	28	11	14	7	15	12	12	3	20	20	22	31	13	10	6	10	20	3	5	3	0					
		1.27%	1.97%	0.63%	1.09%	1.35%	2.99%	1.38%	1.77%	1.01%	2.03%	1.21%	1.39%	0.40%	1.68%	1.86%	2.24%	2.48%	1.25%	1.10%	0.67%	1.06%	1.54%	0.19%	0.56%	0.24%	0.00%					
20	. Миронов Сергей Михайлович	301	13	12	9	27	15	7	35	8	9	10	2	5	14	17	19	25	13	9	7	9	14	10	11	1	0					
		1.20%	1.11%	1.52%	1.09%	2.43%	1.60%	0.88%	4.43%	1.15%	1.22%	1.01%	0.23%	0.67%	1.18%	1.58%	1.93%	2.00%	1.25%	0.99%	0.78%	0.96%	1.08%	0.62%	1.22%	0.08%	0.00%					
21	. Путин Владимир Владимирович	22124	1043	695	732	968	780	721	683	613	665	814	794	679	1047	932	853	1063	902	831	798	813	1174	1487	764	1122	1151					
		88.52%	89.37%	87.75%	88.30%	86.97%	83.42%	90.58%	86.46%	88.33%	90.11%	82.39%	92.22%	91.39%	88.21%	86.86%	86.69%	85.04%	86.40%	91.12%	89.16%	86.40%	90.17%	92.30%	85.08%	91.22%	94.27%					
22	. Хакамада Ирина Муцуовна	299	14	17	10	22	20	7	6	5	4	10	9	4	13	11	21	25	13	5	4	12	9	26	12	8	12					
		1.20%	1.20%	2.15%	1.21%	1.98%	2.14%	0.88%	0.76%	0.72%	0.54%	1.01%	1.05%	0.54%	1.10%	1.03%	2.13%	2.00%	1.25%	0.55%	0.45%	1.28%	0.69%	1.61%	1.34%	0.65%	0.98%					
23	. Харитонов Николай Михайлович	1036	22	20	15	47	25	16	34	38	34	106	19	34	54	53	31	38	84	17	31	50	22	48	93	47	58					
		4.14%	1.89%	2.53%	1.81%	4.22%	2.67%	2.01%	4.30%	5.48%	4.61%	10.73%	2.21%	4.58%	4.55%	4.94%	3.15%	3.04%	8.05%	1.86%	3.46%	5.31%	1.69%	2.98%	10.36%	3.82%	4.75%					
																																
24	Против всех	329	16	26	37	13	25	15	9	12	1	11	3	6	14	5	6	18	3	11	27	12	23	22	3	11	0					
		1.32%	1.37%	3.28%	4.46%	1.17%	2.67%	1.88%	1.14%	1.73%	0.14%	1.11%	0.35%	0.81%	1.18%	0.47%	0.61%	1.44%	0.29%	1.21%	3.02%	1.28%	1.77%	1.37%	0.33%	0.89%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
