12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																										
13	Бабурин Сергей Николаевич	509	3	2	3	5	13	4	4	6	11	5	2	9	4	2	3	6	3	6	6	2	6	2	13	13	10	3	1	9	9	3	6	15	11	9	5	6	18	3	6	10	3	10	5	6	8	9	7	9	10	6	10	9	11	7	10	11	2	4	3	2	5	7	3	4	3	8	7	4	6	9	5	9	6	9	5	8	5	7	0									
		0.70%	0.39%	0.26%	0.44%	0.88%	1.19%	0.41%	0.49%	0.72%	0.93%	0.38%	0.26%	0.69%	0.93%	0.20%	0.49%	0.52%	0.39%	0.57%	0.61%	0.25%	0.71%	0.26%	1.07%	1.49%	0.94%	0.37%	0.10%	0.74%	0.72%	0.46%	0.61%	1.25%	1.22%	0.94%	0.54%	0.58%	1.66%	0.31%	0.72%	0.84%	0.39%	0.85%	0.59%	1.02%	0.96%	1.09%	0.73%	0.60%	0.96%	0.70%	1.05%	0.81%	0.95%	0.75%	1.00%	0.32%	0.53%	1.02%	0.38%	0.29%	0.57%	1.16%	0.26%	0.51%	0.55%	1.01%	0.85%	0.60%	0.95%	0.92%	0.75%	0.93%	0.71%	1.34%	0.56%	0.93%	0.65%	0.75%	0.00%									
14	Грудинин Павел Николаевич	9109	90	94	64	56	134	143	84	88	144	161	80	176	66	100	91	132	73	113	114	65	116	90	170	80	130	113	128	162	132	97	162	179	115	135	128	109	230	118	107	128	60	144	97	74	128	123	123	170	185	127	142	154	158	156	149	274	40	14	128	92	93	87	127	88	48	73	101	95	84	144	89	114	122	86	124	125	102	163	9									
		12.58%	11.81%	12.05%	9.30%	9.84%	12.27%	14.79%	10.22%	10.53%	12.20%	12.27%	10.38%	13.49%	15.38%	10.08%	14.99%	11.45%	9.43%	10.76%	11.56%	8.20%	13.81%	11.55%	14.04%	9.16%	12.24%	14.04%	12.57%	13.26%	10.60%	14.83%	16.60%	14.95%	12.74%	14.11%	13.75%	10.50%	21.16%	12.15%	12.92%	10.76%	7.73%	12.28%	11.44%	12.54%	15.33%	14.84%	12.91%	11.42%	17.67%	14.87%	14.98%	13.80%	13.62%	16.70%	14.96%	7.97%	10.67%	3.56%	16.22%	13.47%	10.54%	14.40%	11.09%	11.30%	8.78%	9.22%	12.24%	14.22%	13.31%	14.80%	13.34%	11.83%	14.45%	12.82%	13.89%	14.47%	13.33%	17.45%	15.52%									
15	Жириновский Владимир Вольфович	3931	44	47	48	40	74	60	43	36	55	71	53	53	25	48	40	57	50	39	53	23	59	39	83	31	38	50	62	59	77	45	44	80	38	56	59	45	86	40	61	74	25	49	53	31	46	50	37	84	47	48	71	58	60	53	41	123	24	56	57	45	45	30	48	25	36	23	48	37	47	41	37	51	54	44	68	46	47	57	4									
		5.43%	5.77%	6.03%	6.98%	7.03%	6.78%	6.20%	5.23%	4.31%	4.66%	5.41%	6.87%	4.06%	5.83%	4.84%	6.59%	4.94%	6.46%	3.71%	5.38%	2.90%	7.02%	5.01%	6.85%	3.55%	3.58%	6.21%	6.09%	4.83%	6.18%	6.88%	4.51%	6.68%	4.21%	5.85%	6.34%	4.34%	7.91%	4.12%	7.37%	6.22%	3.22%	4.18%	6.25%	5.25%	5.51%	6.03%	3.88%	5.65%	4.49%	5.62%	7.49%	5.20%	5.17%	5.67%	4.12%	3.58%	6.40%	14.25%	7.22%	6.59%	5.10%	4.97%	4.19%	3.21%	6.58%	2.90%	5.82%	5.54%	7.45%	4.21%	5.55%	5.29%	6.40%	6.56%	7.61%	5.32%	6.14%	6.10%	6.90%									
16	Путин Владимир Владимирович	55364	600	611	545	439	828	720	640	678	913	1013	613	1015	319	802	444	894	601	836	747	675	614	614	887	718	820	605	775	930	975	476	732	857	671	705	692	845	710	767	614	938	653	917	643	452	609	603	731	1171	741	628	668	836	875	647	767	2921	284	293	566	517	704	443	928	630	435	653	621	491	457	726	495	743	613	493	650	635	567	636	44									
		76.48%	78.74%	78.33%	79.22%	77.15%	75.82%	74.46%	77.86%	81.10%	77.37%	77.21%	79.51%	77.78%	74.36%	80.85%	73.15%	77.54%	77.65%	79.62%	75.76%	85.12%	73.10%	78.82%	73.25%	82.25%	77.21%	75.16%	76.13%	76.10%	78.31%	72.78%	75.00%	71.60%	74.31%	73.67%	74.33%	81.41%	65.32%	78.99%	74.15%	78.82%	84.15%	78.18%	75.83%	76.61%	72.93%	72.74%	76.71%	78.70%	70.77%	73.54%	70.46%	74.91%	75.43%	69.27%	77.01%	84.96%	75.73%	74.55%	71.74%	75.70%	79.82%	73.34%	81.05%	80.87%	79.52%	82.45%	75.27%	73.50%	72.42%	74.61%	74.21%	77.07%	72.63%	73.47%	72.79%	73.50%	74.12%	68.09%	75.86%									
17	Собчак Ксения Анатольевна	1041	9	7	5	11	9	13	13	4	14	21	8	16	6	8	11	30	10	22	28	6	7	7	11	10	23	11	19	19	11	9	9	21	19	14	11	8	10	14	8	14	7	18	10	11	16	12	13	18	14	13	20	21	13	24	8	34	4	17	6	9	9	12	18	12	6	9	25	13	13	19	15	22	12	9	13	11	9	19	1									
		1.44%	1.18%	0.90%	0.73%	1.93%	0.82%	1.34%	1.58%	0.48%	1.19%	1.60%	1.04%	1.23%	1.40%	0.81%	1.81%	2.60%	1.29%	2.10%	2.84%	0.76%	0.83%	0.90%	0.91%	1.15%	2.17%	1.37%	1.87%	1.55%	0.88%	1.38%	0.92%	1.75%	2.10%	1.46%	1.18%	0.77%	0.92%	1.44%	0.97%	1.18%	0.90%	1.53%	1.18%	1.86%	1.92%	1.45%	1.36%	1.21%	1.34%	1.52%	2.11%	1.88%	1.12%	2.57%	0.80%	0.99%	1.07%	4.33%	0.76%	1.32%	1.02%	1.99%	1.57%	1.54%	1.10%	1.14%	3.03%	1.95%	2.06%	1.95%	2.25%	2.28%	1.42%	1.34%	1.46%	1.27%	1.18%	2.03%	1.72%									
18	Сурайкин Максим Александрович	503	4	5	3	2	11	8	13	5	13	9	3	12	3	4	7	5	4	12	3	4	9	3	13	3	5	1	6	8	10	5	6	9	7	4	8	6	2	6	3	7	8	7	10	1	5	5	9	10	14	5	9	11	6	5	8	16	6	1	8	7	5	6	2	2	3	12	4	3	2	5	6	2	6	7	6	6	10	14	0									
		0.69%	0.52%	0.64%	0.44%	0.35%	1.01%	0.83%	1.58%	0.60%	1.10%	0.69%	0.39%	0.92%	0.70%	0.40%	1.15%	0.43%	0.52%	1.14%	0.30%	0.50%	1.07%	0.39%	1.07%	0.34%	0.47%	0.12%	0.59%	0.65%	0.80%	0.76%	0.61%	0.75%	0.78%	0.42%	0.86%	0.58%	0.18%	0.62%	0.36%	0.59%	1.03%	0.60%	1.18%	0.17%	0.60%	0.60%	0.94%	0.67%	1.34%	0.59%	0.95%	0.99%	0.52%	0.54%	0.80%	0.47%	1.60%	0.25%	1.01%	1.02%	0.57%	0.99%	0.17%	0.26%	0.55%	1.52%	0.48%	0.45%	0.32%	0.51%	0.90%	0.21%	0.71%	1.04%	0.67%	0.69%	1.31%	1.50%	0.00%									
19	Титов Борис Юрьевич	533	3	5	3	6	6	5	6	5	8	15	6	5	2	11	4	5	11	3	15	1	10	4	9	4	7	7	5	7	7	10	4	16	15	9	8	3	8	2	5	7	5	9	10	3	6	5	6	7	5	7	6	10	13	15	4	17	1	1	5	4	3	2	3	5	4	6	5	9	6	14	7	5	9	5	5	11	10	13	0									
		0.74%	0.39%	0.64%	0.44%	1.05%	0.55%	0.52%	0.73%	0.60%	0.68%	1.14%	0.78%	0.38%	0.47%	1.11%	0.66%	0.43%	1.42%	0.29%	1.52%	0.13%	1.19%	0.51%	0.74%	0.46%	0.66%	0.87%	0.49%	0.57%	0.56%	1.53%	0.41%	1.34%	1.66%	0.94%	0.86%	0.29%	0.74%	0.21%	0.60%	0.59%	0.64%	0.77%	1.18%	0.51%	0.72%	0.60%	0.63%	0.47%	0.48%	0.82%	0.63%	0.90%	1.12%	1.61%	0.40%	0.49%	0.27%	0.25%	0.63%	0.59%	0.34%	0.33%	0.26%	0.64%	0.73%	0.76%	0.61%	1.35%	0.95%	1.44%	1.05%	0.52%	1.07%	0.75%	0.56%	1.27%	1.31%	1.39%	0.00%									
20	Явлинский Григорий Алексеевич	578	5	4	5	1	3	5	8	4	8	2	2	12	1	4	4	9	9	9	10	7	12	10	10	2	10	7	13	9	11	5	7	12	12	16	12	6	17	7	13	3	5	8	7	8	5	7	10	5	13	6	10	5	6	10	6	12	2	0	6	2	5	4	6	7	4	6	7	7	6	11	5	8	7	9	11	13	6	17	0									
		0.80%	0.66%	0.51%	0.73%	0.18%	0.27%	0.52%	0.97%	0.48%	0.68%	0.15%	0.26%	0.92%	0.23%	0.40%	0.66%	0.78%	1.16%	0.86%	1.01%	0.88%	1.43%	1.28%	0.83%	0.23%	0.94%	0.87%	1.28%	0.74%	0.88%	0.76%	0.72%	1.00%	1.33%	1.67%	1.29%	0.58%	1.56%	0.72%	1.57%	0.25%	0.64%	0.68%	0.83%	1.36%	0.60%	0.84%	1.05%	0.34%	1.24%	0.70%	1.05%	0.45%	0.52%	1.07%	0.60%	0.35%	0.53%	0.00%	0.76%	0.29%	0.57%	0.66%	0.52%	0.90%	0.73%	0.76%	0.85%	1.05%	0.95%	1.13%	0.75%	0.83%	0.83%	1.34%	1.23%	1.50%	0.78%	1.82%	0.00%									
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
