Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Серпуховская городская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704					
1	"Число избирателей, внесенных в список"	107151	2323	1164	1484	1031	1673	683	1582	1633	1703	1160	2014	2314	1141	2032	1114	1692	2012	1386	1230	1938	2017	1298	2068	1671	2002	2342	2356	2907	2422	2123	1072	2192	2781	1979	2181	2487	2276	2175	2136	1578	2087	2720	2285	1731	1942	2332	2682	2137	2121	1914	1710	1845	2169	2129	1570	1854	551					
2	Число полученных избирательных бюллетеней	102961	2250	1105	1407	954	1585	657	1505	1568	1668	1112	1990	2260	1100	1960	1030	1596	1920	1325	1162	1960	1920	1240	1965	1620	1920	2250	2365	2750	2230	2035	1080	2096	2680	1935	2070	2456	2227	2063	2107	1513	1990	2660	2240	1724	1840	2262	2575	2047	2026	1818	1634	1754	2090	1976	1485	1804	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	57323	1110	576	712	466	872	361	785	914	749	573	1075	1253	618	1327	421	785	1128	651	531	886	960	766	1130	841	933	1249	1358	1573	1288	1140	562	1020	1568	1131	1222	1475	1338	1266	1349	834	1118	1512	1317	903	1109	1119	1382	963	1245	1078	934	976	1153	1083	1236	1399	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	4627	84	50	72	49	39	40	42	30	108	61	70	91	39	42	82	116	59	85	100	421	168	93	84	52	111	66	42	45	76	62	186	120	66	70	48	100	73	69	102	49	47	61	84	62	40	98	69	95	66	57	43	57	37	30	27	4	388					
6	Число погашенных избирательных бюллетеней	41011	1056	479	623	439	674	256	678	624	811	478	845	916	443	591	527	695	733	589	531	653	792	381	751	727	876	935	965	1132	866	833	332	956	1046	734	800	881	816	728	656	630	825	1087	839	759	691	1045	1124	989	715	683	657	721	900	863	222	401	12					
7	Число избирательных бюллетеней в переносных ящиках	4627	84	50	72	49	39	40	42	30	108	61	70	91	39	42	82	116	59	85	100	421	168	93	84	52	111	66	42	45	76	62	186	120	66	70	48	100	73	69	102	49	47	61	84	62	40	98	69	95	66	57	43	57	37	30	27	4	388					
8	Число бюллетеней в стационарных ящиках для голосования	57276	1110	576	712	466	872	361	785	914	749	573	1075	1253	617	1324	421	785	1128	651	531	886	952	754	1130	841	932	1249	1358	1572	1288	1140	562	1020	1567	1131	1222	1475	1338	1266	1348	833	1118	1512	1317	903	1109	1119	1381	963	1228	1078	934	976	1153	1083	1236	1399	0					
9	Число недействительных избирательных бюллетеней	438	11	4	9	10	9	4	2	13	5	5	4	11	0	3	1	5	15	3	3	9	8	4	17	2	11	11	7	2	15	3	4	6	16	8	9	13	13	6	9	13	10	3	13	14	9	9	12	0	15	9	11	6	5	10	0	6	3					
10	Число действительных избирательных бюллетеней	61465	1183	622	775	505	902	397	825	931	852	629	1141	1333	656	1363	502	896	1172	733	628	1298	1112	843	1197	891	1032	1304	1393	1615	1349	1199	744	1134	1617	1193	1261	1562	1398	1329	1441	869	1155	1570	1388	951	1140	1208	1438	1058	1279	1126	966	1027	1185	1103	1263	1397	385					
11	Число полученных открепительных  удостоверений	3230	70	40	40	25	50	25	50	50	50	40	70	70	40	70	40	50	70	40	40	50	50	40	50	50	70	70	70	80	70	70	40	70	80	50	70	80	70	70	70	50	70	80	70	50	50	70	80	70	50	50	50	50	70	70	50	50	0					
12	Число выданных открепительных удостоверений	1189	15	5	6	5	11	4	10	19	21	11	31	27	20	46	2	14	26	21	6	13	17	14	10	20	27	22	39	35	25	29	20	28	28	22	17	41	25	33	18	19	19	28	22	29	20	36	27	15	22	18	23	30	27	18	19	34	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	806	16	8	10	5	8	2	12	16	9	8	13	8	6	26	14	9	15	13	11	16	13	13	13	19	12	18	14	18	10	13	16	14	32	29	17	30	31	19	12	14	16	10	19	6	12	10	18	5	10	17	8	38	12	15	5	2	21					
14	Число неиспользованных открепительных удостоверений	2041	55	35	34	20	39	21	40	31	29	29	39	43	20	24	38	36	44	19	34	37	33	26	40	30	43	48	31	45	45	41	20	42	52	28	53	39	45	37	52	31	51	52	48	21	30	34	53	55	28	32	27	20	43	52	31	16	0					
15	"Число открепительных удостоверений, выданных в ТИК"	20	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	3339	77	16	19	26	43	15	38	54	33	47	66	56	45	138	20	52	56	33	20	57	55	40	68	44	42	63	85	85	80	65	25	57	80	72	76	96	63	95	77	37	83	90	71	48	60	61	98	50	67	71	65	70	88	74	54	57	16					
		5.39%	6.45%	2.56%	2.42%	5.05%	4.72%	3.74%	4.59%	5.72%	3.85%	7.41%	5.76%	4.17%	6.86%	10.10%	3.98%	5.77%	4.72%	4.48%	3.17%	4.36%	4.91%	4.72%	5.60%	4.93%	4.03%	4.79%	6.07%	5.26%	5.87%	5.41%	3.34%	5.00%	4.90%	6.00%	5.98%	6.10%	4.46%	7.12%	5.31%	4.20%	7.12%	5.72%	5.07%	4.97%	5.22%	5.01%	6.76%	4.73%	5.18%	6.26%	6.65%	6.78%	7.39%	6.65%	4.28%	4.06%	4.12%					
19	. Малышкин Олег Александрович	1032	18	10	15	8	15	5	23	17	16	7	25	21	14	10	11	9	12	21	10	40	15	8	8	10	24	30	27	21	34	18	9	17	24	20	25	27	25	19	14	12	19	29	31	10	11	18	15	18	21	24	18	18	24	22	27	25	8					
		1.67%	1.51%	1.60%	1.91%	1.55%	1.65%	1.25%	2.78%	1.80%	1.87%	1.10%	2.18%	1.56%	2.13%	0.73%	2.19%	1.00%	1.01%	2.85%	1.58%	3.06%	1.34%	0.94%	0.66%	1.12%	2.30%	2.28%	1.93%	1.30%	2.49%	1.50%	1.20%	1.49%	1.47%	1.67%	1.97%	1.71%	1.77%	1.42%	0.97%	1.36%	1.63%	1.84%	2.21%	1.04%	0.96%	1.48%	1.03%	1.70%	1.62%	2.11%	1.84%	1.74%	2.02%	1.98%	2.14%	1.78%	2.06%					
20	. Миронов Сергей Михайлович	326	5	7	3	2	4	3	3	8	7	2	5	2	2	5	3	3	4	4	5	14	1	14	6	4	5	6	8	7	4	6	2	8	11	5	3	11	3	7	10	8	8	6	5	9	3	6	9	7	6	9	7	11	6	4	4	4	2					
		0.53%	0.42%	1.12%	0.38%	0.39%	0.44%	0.75%	0.36%	0.85%	0.82%	0.32%	0.44%	0.15%	0.30%	0.37%	0.60%	0.33%	0.34%	0.54%	0.79%	1.07%	0.09%	1.65%	0.49%	0.45%	0.48%	0.46%	0.57%	0.43%	0.29%	0.50%	0.27%	0.70%	0.67%	0.42%	0.24%	0.70%	0.21%	0.52%	0.69%	0.91%	0.69%	0.38%	0.36%	0.93%	0.26%	0.49%	0.62%	0.66%	0.46%	0.79%	0.72%	1.06%	0.50%	0.36%	0.32%	0.29%	0.52%					
21	. Путин Владимир Владимирович	43976	863	490	600	364	693	303	588	646	647	451	805	991	486	828	362	653	895	541	481	940	841	569	845	626	751	957	1014	1223	927	862	602	783	1153	822	841	1070	1017	906	1054	609	774	1105	1015	693	787	842	1023	754	864	741	639	702	763	762	966	1163	284					
		71.04%	72.28%	78.27%	76.53%	70.68%	76.07%	75.56%	71.10%	68.43%	75.50%	71.14%	70.31%	73.74%	74.09%	60.61%	71.97%	72.48%	75.40%	73.51%	76.23%	71.92%	75.09%	67.18%	69.60%	70.10%	72.00%	72.78%	72.43%	75.63%	67.96%	71.71%	80.48%	68.68%	70.61%	68.44%	66.22%	67.94%	72.08%	67.87%	72.69%	69.05%	66.44%	70.25%	72.45%	71.81%	68.49%	69.19%	70.55%	71.27%	66.77%	65.29%	65.40%	67.96%	64.12%	68.46%	76.48%	82.89%	73.20%					
22	. Хакамада Ирина Муцуовна	1792	24	13	22	7	21	13	17	12	18	16	28	33	16	58	21	14	36	19	10	60	27	38	30	22	19	36	49	45	30	51	22	47	54	31	47	59	46	41	35	34	29	51	42	24	33	34	40	40	48	36	30	28	39	33	44	14	6					
		2.89%	2.01%	2.08%	2.81%	1.36%	2.31%	3.24%	2.06%	1.27%	2.10%	2.52%	2.45%	2.46%	2.44%	4.25%	4.17%	1.55%	3.03%	2.58%	1.58%	4.59%	2.41%	4.49%	2.47%	2.46%	1.82%	2.74%	3.50%	2.78%	2.20%	4.24%	2.94%	4.12%	3.31%	2.58%	3.70%	3.75%	3.26%	3.07%	2.41%	3.85%	2.49%	3.24%	3.00%	2.49%	2.87%	2.79%	2.76%	3.78%	3.71%	3.17%	3.07%	2.71%	3.28%	2.96%	3.48%	1.00%	1.55%					
23	. Харитонов Николай Михайлович	8008	152	66	89	88	96	41	124	147	100	77	167	171	70	265	64	130	124	78	77	106	122	83	194	144	159	153	138	166	194	143	54	149	201	184	213	220	176	186	195	125	188	199	149	126	200	182	190	140	211	175	150	129	170	147	98	73	50					
		12.94%	12.73%	10.54%	11.35%	17.09%	10.54%	10.22%	14.99%	15.57%	11.67%	12.15%	14.59%	12.72%	10.67%	19.40%	12.72%	14.43%	10.45%	10.60%	12.20%	8.11%	10.89%	9.80%	15.98%	16.13%	15.24%	11.63%	9.86%	10.27%	14.22%	11.90%	7.22%	13.07%	12.31%	15.32%	16.77%	13.97%	12.47%	13.93%	13.45%	14.17%	16.14%	12.65%	10.64%	13.06%	17.41%	14.95%	13.10%	13.23%	16.31%	15.42%	15.35%	12.49%	14.29%	13.21%	7.76%	5.20%	12.89%					
