Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Малосердобинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995					
1	"Число избирателей, внесенных в список"	9084	959	782	1100	692	542	472	442	50	116	344	256	140	396	284	74	348	702	107	427	418	352	81					
2	Число полученных избирательных бюллетеней	9179	976	798	1111	705	556	474	437	52	123	353	258	148	400	284	79	343	698	112	430	405	355	82					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6309	560	460	679	388	277	392	322	42	100	264	216	99	269	246	74	298	545	100	345	309	260	64					
5	"Число избирательных бюллетеней, выданных вне помещения"	634	63	38	47	20	108	26	63	0	10	17	15	23	63	0	0	7	23	0	29	45	28	9					
6	Число погашенных избирательных бюллетеней	2236	353	300	385	297	171	56	52	10	13	72	27	26	68	38	5	38	130	12	56	51	67	9					
7	Число избирательных бюллетеней в переносных ящиках	634	63	38	47	20	108	26	63	0	10	17	15	23	63	0	0	7	23	0	29	45	28	9					
8	Число бюллетеней в стационарных ящиках для голосования	6309	560	460	679	388	277	392	322	42	100	264	216	99	269	246	74	298	545	100	345	309	260	64					
9	Число недействительных избирательных бюллетеней	164	5	7	6	8	2	10	9	0	0	25	1	0	10	26	0	4	35	1	1	12	2	0					
10	Число действительных избирательных бюллетеней	6779	618	491	720	400	383	408	376	42	110	256	230	122	322	220	74	301	533	99	373	342	286	73					
11	Число полученных открепительных  удостоверений	180	15	13	17	12	10	10	10	4	4	7	5	4	7	6	4	7	13	5	8	8	7	4					
12	Число выданных открепительных удостоверений	55	5	8	9	5	4	6	0	2	2	2	0	0	1	1	0	1	6	0	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	0	3	2	2	1	0	3	0	0	0	1	1	3	2	0	0	2	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	125	10	5	8	7	6	4	10	2	2	5	5	4	6	5	4	6	7	5	5	8	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	203	24	19	23	15	5	9	13	2	6	5	14	2	11	5	5	3	5	2	5	11	19	0					
		2.92%	3.85%	3.82%	3.17%	3.68%	1.30%	2.15%	3.38%	4.76%	5.45%	1.78%	6.06%	1.64%	3.31%	2.03%	6.76%	0.98%	0.88%	2.00%	1.34%	3.11%	6.60%	0.00%					
19	. Малышкин Олег Александрович	131	10	4	8	13	9	7	2	0	1	8	2	3	8	1	5	3	12	7	13	7	7	1					
		1.89%	1.61%	0.80%	1.10%	3.19%	2.34%	1.67%	0.52%	0.00%	0.91%	2.85%	0.87%	2.46%	2.41%	0.41%	6.76%	0.98%	2.11%	7.00%	3.48%	1.98%	2.43%	1.37%					
20	. Миронов Сергей Михайлович	32	3	2	7	1	2	1	0	0	0	2	0	0	3	1	0	0	6	3	0	0	1	0					
		0.46%	0.48%	0.40%	0.96%	0.25%	0.52%	0.24%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.90%	0.41%	0.00%	0.00%	1.06%	3.00%	0.00%	0.00%	0.35%	0.00%					
21	. Путин Владимир Владимирович	4251	304	277	438	221	186	281	225	29	71	173	166	91	196	160	50	179	378	56	270	238	200	62					
		61.23%	48.80%	55.62%	60.33%	54.17%	48.31%	67.22%	58.44%	69.05%	64.55%	61.57%	71.86%	74.59%	59.04%	65.04%	67.57%	58.69%	66.55%	56.00%	72.19%	67.23%	69.44%	84.93%					
22	. Хакамада Ирина Муцуовна	109	16	9	15	5	11	1	1	3	4	3	3	2	7	0	0	3	6	1	4	7	8	0					
		1.57%	2.57%	1.81%	2.07%	1.23%	2.86%	0.24%	0.26%	7.14%	3.64%	1.07%	1.30%	1.64%	2.11%	0.00%	0.00%	0.98%	1.06%	1.00%	1.07%	1.98%	2.78%	0.00%					
23	. Харитонов Николай Михайлович	1962	251	169	213	138	164	109	132	7	23	63	43	24	92	48	13	113	120	29	79	78	44	10					
		28.26%	40.29%	33.94%	29.34%	33.82%	42.60%	26.08%	34.29%	16.67%	20.91%	22.42%	18.61%	19.67%	27.71%	19.51%	17.57%	37.05%	21.13%	29.00%	21.12%	22.03%	15.28%	13.70%					
																													
24	Против всех	91	10	11	16	7	6	0	3	1	5	2	2	0	5	5	1	0	6	1	2	1	7	0					
		1.31%	1.61%	2.21%	2.20%	1.72%	1.56%	0.00%	0.78%	2.38%	4.55%	0.71%	0.87%	0.00%	1.51%	2.03%	1.35%	0.00%	1.06%	1.00%	0.53%	0.28%	2.43%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
