Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Саянская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878					
1	"Число избирателей, внесенных в список"	10289	1694	1510	1684	115	67	298	295	351	553	412	98	351	153	225	260	703	206	541	65	200	87	302	119					
2	Число полученных избирательных бюллетеней	10260	1697	1514	1680	118	68	295	292	350	544	415	100	353	151	226	259	695	196	533	66	194	87	307	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4780	761	616	694	77	31	131	140	145	254	206	68	223	114	112	113	294	104	270	35	108	57	155	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	897	94	41	80	7	14	62	69	73	60	68	13	59	22	9	41	79	17	41	6	15	15	12	0					
6	Число погашенных избирательных бюллетеней	4583	842	857	906	34	23	102	83	132	230	141	19	71	15	105	105	322	75	222	25	71	15	140	48					
7	Число избирательных бюллетеней в переносных ящиках	897	94	41	80	7	14	62	69	73	60	68	13	59	22	9	41	79	17	41	6	15	15	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	4780	761	616	694	77	31	131	140	145	254	206	68	223	114	112	113	294	104	270	35	108	57	155	72					
9	Число недействительных избирательных бюллетеней	52	7	3	9	2	1	3	1	2	2	4	0	0	2	0	4	0	1	4	1	1	1	3	1					
10	Число действительных избирательных бюллетеней	5625	848	654	765	82	44	190	208	216	312	270	81	282	134	121	150	373	120	307	40	122	71	164	71					
11	Число полученных открепительных  удостоверений	131	20	20	20	2	2	3	4	3	5	4	2	4	2	2	2	10	2	10	2	4	2	4	2					
12	Число выданных открепительных удостоверений	38	5	11	6	1	0	0	0	0	4	3	0	4	1	0	0	2	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	2	3	2	0	1	1	1	4	1	1	0	1	1	1	1	2	1	4	0	0	2	1	0					
14	Число неиспользованных открепительных удостоверений	93	15	9	14	1	2	3	4	3	1	1	2	0	1	2	2	8	2	10	2	3	2	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	833	167	107	150	6	0	33	19	32	46	28	11	42	33	17	12	56	11	20	2	17	4	12	8					
		14.67%	19.53%	16.29%	19.38%	7.14%	0.00%	17.10%	9.09%	14.68%	14.65%	10.22%	13.58%	14.89%	24.26%	14.05%	7.79%	15.01%	9.09%	6.43%	4.88%	13.82%	5.56%	7.19%	11.11%					
19	. Малышкин Олег Александрович	173	27	13	13	2	0	21	6	9	9	3	12	9	6	5	1	11	5	8	1	10	1	1	0					
		3.05%	3.16%	1.98%	1.68%	2.38%	0.00%	10.88%	2.87%	4.13%	2.87%	1.09%	14.81%	3.19%	4.41%	4.13%	0.65%	2.95%	4.13%	2.57%	2.44%	8.13%	1.39%	0.60%	0.00%					
20	. Миронов Сергей Михайлович	50	10	4	5	1	0	2	0	1	6	2	1	10	0	2	1	1	0	2	0	0	1	1	0					
		0.88%	1.17%	0.61%	0.65%	1.19%	0.00%	1.04%	0.00%	0.46%	1.91%	0.73%	1.23%	3.55%	0.00%	1.65%	0.65%	0.27%	0.00%	0.64%	0.00%	0.00%	1.39%	0.60%	0.00%					
21	. Путин Владимир Владимирович	3236	454	366	436	45	31	105	145	134	168	170	33	149	64	81	109	211	82	178	7	62	39	114	53					
		57.00%	53.10%	55.71%	56.33%	53.57%	68.89%	54.40%	69.38%	61.47%	53.50%	62.04%	40.74%	52.84%	47.06%	66.94%	70.78%	56.57%	67.77%	57.23%	17.07%	50.41%	54.17%	68.26%	73.61%					
22	. Хакамада Ирина Муцуовна	137	21	19	20	6	0	0	3	2	3	6	1	11	4	1	1	15	1	12	1	4	1	4	1					
		2.41%	2.46%	2.89%	2.58%	7.14%	0.00%	0.00%	1.44%	0.92%	0.96%	2.19%	1.23%	3.90%	2.94%	0.83%	0.65%	4.02%	0.83%	3.86%	2.44%	3.25%	1.39%	2.40%	1.39%					
23	. Харитонов Николай Михайлович	1123	153	137	133	22	10	28	32	36	75	55	23	54	25	15	24	75	20	87	29	28	23	30	9					
		19.78%	17.89%	20.85%	17.18%	26.19%	22.22%	14.51%	15.31%	16.51%	23.89%	20.07%	28.40%	19.15%	18.38%	12.40%	15.58%	20.11%	16.53%	27.97%	70.73%	22.76%	31.94%	17.96%	12.50%					
																														
24	Против всех	73	16	8	8	0	3	1	3	2	5	6	0	7	2	0	2	4	1	0	0	1	2	2	0					
		1.29%	1.87%	1.22%	1.03%	0.00%	6.67%	0.52%	1.44%	0.92%	1.59%	2.19%	0.00%	2.48%	1.47%	0.00%	1.30%	1.07%	0.83%	0.00%	0.00%	0.81%	2.78%	1.20%	0.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
