Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Петропавловская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922					
1	"Число избирателей, внесенных в список"	18747	979	918	536	1192	1320	1987	2489	464	978	689	701	798	657	302	911	683	457	1014	604	785	98	185					
2	Число полученных избирательных бюллетеней	17635	900	850	450	1050	1250	1900	2400	450	950	650	650	750	600	300	850	650	450	950	550	750	95	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10335	573	586	262	672	738	985	1390	264	616	407	306	445	443	184	499	330	228	495	316	431	49	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	2672	159	97	128	186	125	146	112	88	184	105	131	169	89	67	192	156	120	124	109	127	18	40					
6	Число погашенных избирательных бюллетеней	4628	168	167	60	192	387	769	898	98	150	138	213	136	68	49	159	164	102	331	125	192	28	34					
7	Число избирательных бюллетеней в переносных ящиках	2672	159	97	128	186	125	146	112	88	184	105	131	169	89	67	192	156	120	124	109	127	18	40					
8	Число бюллетеней в стационарных ящиках для голосования	10333	573	586	262	672	738	983	1390	264	616	407	306	445	443	184	499	330	228	495	316	431	49	116					
9	Число недействительных избирательных бюллетеней	80	6	7	0	1	3	14	10	3	1	4	0	5	3	2	7	2	2	4	4	0	1	1					
10	Число действительных избирательных бюллетеней	12925	726	676	390	857	860	1115	1492	349	799	508	437	609	529	249	684	484	346	615	421	558	66	155					
11	Число полученных открепительных  удостоверений	190	9	16	5	8	7	15	25	5	12	4	6	19	6	5	10	5	7	6	6	8	3	3					
12	Число выданных открепительных удостоверений	97	2	8	2	6	7	9	15	2	8	4	2	14	5	0	5	1	1	1	1	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	1	2	2	0	5	2	9	2	1	2	2	2	2	6	3	1	0	1	2	2	1	1					
14	Число неиспользованных открепительных удостоверений	93	7	8	3	2	0	6	10	3	4	0	4	5	1	5	5	4	6	5	5	4	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	353	25	12	16	28	23	33	69	10	13	27	3	6	12	6	9	7	5	12	4	28	4	1					
		2.71%	3.42%	1.76%	4.10%	3.26%	2.67%	2.92%	4.59%	2.84%	1.62%	5.27%	0.69%	0.98%	2.26%	2.39%	1.30%	1.44%	1.44%	1.94%	0.94%	5.02%	5.97%	0.64%					
19	. Малышкин Олег Александрович	383	16	21	9	31	23	53	28	12	34	15	13	32	11	2	11	17	21	13	6	7	2	6					
		2.95%	2.19%	3.07%	2.31%	3.61%	2.67%	4.69%	1.86%	3.41%	4.25%	2.93%	2.97%	5.21%	2.07%	0.80%	1.59%	3.50%	6.03%	2.10%	1.41%	1.25%	2.99%	3.85%					
20	. Миронов Сергей Михайлович	113	5	3	1	10	8	11	7	2	8	1	2	4	13	2	8	7	2	8	7	3	1	0					
		0.87%	0.68%	0.44%	0.26%	1.17%	0.93%	0.97%	0.47%	0.57%	1.00%	0.20%	0.46%	0.65%	2.44%	0.80%	1.16%	1.44%	0.57%	1.29%	1.65%	0.54%	1.49%	0.00%					
21	. Путин Владимир Владимирович	7012	391	315	202	407	364	586	783	240	474	285	212	349	285	109	372	293	191	410	264	330	45	105					
		53.92%	53.42%	46.12%	51.79%	47.44%	42.18%	51.90%	52.13%	68.18%	59.25%	55.66%	48.51%	56.84%	53.57%	43.43%	53.84%	60.29%	54.89%	66.24%	62.12%	59.14%	67.16%	67.31%					
22	. Хакамада Ирина Муцуовна	192	8	12	4	14	9	17	29	9	5	10	6	10	8	6	7	6	9	7	2	9	1	4					
		1.48%	1.09%	1.76%	1.03%	1.63%	1.04%	1.51%	1.93%	2.56%	0.62%	1.95%	1.37%	1.63%	1.50%	2.39%	1.01%	1.23%	2.59%	1.13%	0.47%	1.61%	1.49%	2.56%					
23	. Харитонов Николай Михайлович	4656	273	304	149	353	419	389	527	68	247	163	195	199	196	123	270	149	116	158	135	173	13	37					
		35.80%	37.30%	44.51%	38.21%	41.14%	48.55%	34.46%	35.09%	19.32%	30.88%	31.84%	44.62%	32.41%	36.84%	49.00%	39.07%	30.66%	33.33%	25.53%	31.76%	31.00%	19.40%	23.72%					
																													
24	Против всех	216	8	9	9	14	14	26	49	8	18	7	6	9	4	1	7	5	2	7	3	8	0	2					
		1.66%	1.09%	1.32%	2.31%	1.63%	1.62%	2.30%	3.26%	2.27%	2.25%	1.37%	1.37%	1.47%	0.75%	0.40%	1.01%	1.03%	0.57%	1.13%	0.71%	1.43%	0.00%	1.28%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
