Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Хунзахская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528					
1	"Число избирателей, внесенных в список"	18616	2496	217	266	176	936	643	531	197	410	164	765	237	1125	353	413	228	151	427	227	418	164	261	391	207	362	215	207	162	145	211	276	186	220	118	763	125	731	1014	286	302	232	288	350	1020					
2	Число полученных избирательных бюллетеней	18470	2462	217	263	176	936	643	531	196	384	160	768	236	1125	354	409	226	151	427	235	418	177	261	391	204	363	192	206	161	144	212	282	186	217	106	766	122	731	994	286	302	233	275	350	992					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17039	1976	193	262	167	881	608	500	171	360	160	741	223	1041	332	386	226	148	377	227	400	160	245	331	160	345	176	182	152	140	200	275	170	210	104	757	122	726	896	265	262	223	254	335	970					
5	"Число избирательных бюллетеней, выданных вне помещения"	872	405	7	0	0	50	0	20	17	19	0	5	9	1	3	11	0	0	30	0	0	0	0	41	28	15	14	20	6	0	10	0	10	7	0	3	0	0	51	16	35	9	14	6	10					
6	Число погашенных избирательных бюллетеней	559	81	17	1	9	5	35	11	8	5	0	22	4	83	19	12	0	3	20	8	18	17	16	19	16	3	2	4	3	4	2	7	6	0	2	6	0	5	47	5	5	1	7	9	12					
7	Число избирательных бюллетеней в переносных ящиках	872	405	7	0	0	50	0	20	17	19	0	5	9	1	3	11	0	0	30	0	0	0	0	41	28	15	14	20	6	0	10	0	10	7	0	3	0	0	51	16	35	9	14	6	10					
8	Число бюллетеней в стационарных ящиках для голосования	17039	1976	193	262	167	881	608	500	171	360	160	741	223	1041	332	386	226	148	377	227	400	160	245	331	160	345	176	182	152	140	200	275	170	210	104	757	122	726	896	265	262	223	254	335	970					
9	Число недействительных избирательных бюллетеней	39	3	1	2	0	1	2	2	0	1	0	1	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	5	0	0	0	0	0	5					
10	Число действительных избирательных бюллетеней	17872	2378	199	260	167	930	606	518	188	378	160	745	229	1040	333	395	226	148	407	227	400	160	245	372	188	360	190	202	158	140	210	275	180	217	104	759	122	720	942	281	297	232	268	341	975					
11	Число полученных открепительных  удостоверений	500	70	8	8	8	70	8	8	8	8	8	8	8	20	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	15	8	8	8	8	8	8	13					
12	Число выданных открепительных удостоверений	20	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	480	70	8	8	8	52	8	8	8	8	8	8	8	19	8	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	15	8	8	8	8	8	8	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.10%					
19	. Малышкин Олег Александрович	11	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
