Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Кировская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247					
1	"Число избирателей, внесенных в список"	29028	1642	1762	1814	1958	2172	2035	1945	2095	2194	2147	167	2273	2122	2209	1328	1165					
2	Число полученных избирательных бюллетеней	27800	1700	1700	1800	1800	2000	2000	1900	2000	2000	2000	200	2100	2000	2000	1300	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36					
4	"Число избирательных бюллетеней, выданных в день голосования"	16702	870	886	1002	1182	1348	1203	1109	1265	1320	1173	102	1381	1151	1326	722	662					
5	"Число избирательных бюллетеней, выданных вне помещения"	324	14	24	14	16	9	7	14	20	38	29	59	12	32	16	12	8					
6	Число погашенных избирательных бюллетеней	10738	816	790	784	602	643	790	777	715	642	798	39	707	817	658	566	594					
7	Число избирательных бюллетеней в переносных ящиках	360	14	24	14	16	9	7	14	20	38	29	59	12	32	16	12	44					
8	Число бюллетеней в стационарных ящиках для голосования	16691	869	886	1002	1180	1348	1203	1109	1264	1315	1173	102	1381	1151	1324	722	662					
9	Число недействительных избирательных бюллетеней	100	4	11	8	2	17	6	4	6	4	2	0	9	10	4	5	8					
10	Число действительных избирательных бюллетеней	16951	879	899	1008	1194	1340	1204	1119	1278	1349	1200	161	1384	1173	1336	729	698					
11	Число полученных открепительных  удостоверений	979	59	60	61	66	73	69	66	71	73	69	0	77	72	72	46	45					
12	Число выданных открепительных удостоверений	287	15	16	17	17	22	26	20	25	22	19	0	20	21	19	9	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	280	4	4	5	3	14	12	6	20	5	6	112	9	5	8	1	66					
14	Число неиспользованных открепительных удостоверений	692	44	44	44	49	51	43	46	46	51	50	0	57	51	53	37	26					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	0	1	0	2	1	2	1	4	2	0	4	0	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	678	29	39	35	47	66	54	37	51	70	54	4	69	25	55	22	21					
		3.98%	3.28%	4.29%	3.44%	3.93%	4.86%	4.46%	3.29%	3.97%	5.17%	4.49%	2.48%	4.95%	2.11%	4.10%	3.00%	2.97%					
19	. Малышкин Олег Александрович	503	28	38	47	28	32	34	25	31	35	21	5	31	38	48	39	23					
		2.95%	3.17%	4.18%	4.63%	2.34%	2.36%	2.81%	2.23%	2.41%	2.59%	1.75%	3.11%	2.23%	3.21%	3.58%	5.31%	3.26%					
20	. Миронов Сергей Михайлович	181	17	10	16	13	14	9	12	14	14	16	4	17	7	12	5	1					
		1.06%	1.93%	1.10%	1.57%	1.09%	1.03%	0.74%	1.07%	1.09%	1.03%	1.33%	2.48%	1.22%	0.59%	0.90%	0.68%	0.14%					
21	. Путин Владимир Владимирович	12137	616	617	736	836	940	876	841	923	878	871	121	1012	836	924	572	538					
		71.18%	69.76%	67.80%	72.44%	69.90%	69.27%	72.40%	74.89%	71.88%	64.89%	72.46%	75.16%	72.65%	70.67%	68.96%	77.93%	76.20%					
22	. Хакамада Ирина Муцуовна	870	45	32	30	49	81	52	68	68	125	63	9	58	71	85	17	17					
		5.10%	5.10%	3.52%	2.95%	4.10%	5.97%	4.30%	6.06%	5.30%	9.24%	5.24%	5.59%	4.16%	6.00%	6.34%	2.32%	2.41%					
23	. Харитонов Николай Михайлович	1682	98	134	96	146	121	116	86	131	138	116	9	122	126	138	54	51					
		9.86%	11.10%	14.73%	9.45%	12.21%	8.92%	9.59%	7.66%	10.20%	10.20%	9.65%	5.59%	8.76%	10.65%	10.30%	7.36%	7.22%					
																							
24	Против всех	900	46	29	48	75	86	63	50	60	89	59	9	75	70	74	20	47					
		5.28%	5.21%	3.19%	4.72%	6.27%	6.34%	5.21%	4.45%	4.67%	6.58%	4.91%	5.59%	5.38%	5.92%	5.52%	2.72%	6.66%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
