Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Георгиевская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №595					
1	"Число избирателей, внесенных в список"	60676	2132	2473	2670	1446	1951	2133	1884	466	860	1775	585	2478	1004	2513	2440	2189	1199	2255	313	2028	947	2090	1344	1740	2274	1900	1498	1758	1593	2489	379	2256	2178	2380	1056					
2	Число полученных избирательных бюллетеней	61520	2150	2450	2650	1430	1980	2150	1920	480	1070	1780	720	2650	1030	2550	2450	2500	1370	2230	300	2000	950	2030	1300	1850	2300	1900	1550	1750	1600	2200	380	2250	2200	2350	1050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32688	998	1272	1319	675	1016	1086	1032	329	552	1034	458	1271	498	1221	1273	1303	669	1420	171	1282	596	1135	772	1104	1123	1013	799	848	819	1406	281	1082	1173	1111	547					
5	"Число избирательных бюллетеней, выданных вне помещения"	3348	159	76	146	105	110	141	92	13	99	90	30	186	80	170	156	74	19	104	83	92	46	185	144	52	73	89	96	120	64	110	8	101	99	55	81					
6	Число погашенных избирательных бюллетеней	25484	993	1102	1185	650	854	923	796	138	419	656	232	1193	452	1159	1021	1123	682	706	46	626	308	710	384	694	1104	798	655	782	717	684	91	1067	928	1184	422					
7	Число избирательных бюллетеней в переносных ящиках	3348	159	76	146	105	110	141	92	13	99	90	30	186	80	170	156	74	19	104	83	92	46	185	144	52	73	89	96	120	64	110	8	101	99	55	81					
8	Число бюллетеней в стационарных ящиках для голосования	32688	998	1272	1319	675	1016	1086	1032	329	552	1034	458	1271	498	1221	1273	1303	669	1420	171	1282	596	1135	772	1104	1123	1013	799	848	819	1406	281	1082	1173	1111	547					
9	Число недействительных избирательных бюллетеней	318	15	19	13	7	4	7	9	2	2	12	7	13	7	15	13	17	7	7	2	12	5	8	9	10	4	17	13	10	6	15	3	8	9	9	2					
10	Число действительных избирательных бюллетеней	35718	1142	1329	1452	773	1122	1220	1115	340	649	1112	481	1444	571	1376	1416	1360	681	1517	252	1362	637	1312	907	1146	1192	1085	882	958	877	1501	286	1175	1263	1157	626					
11	Число полученных открепительных  удостоверений	395	12	12	14	10	10	10	10	6	8	10	6	12	8	12	12	17	8	20	6	17	8	16	10	10	13	10	10	8	10	23	12	12	12	13	8					
12	Число выданных открепительных удостоверений	245	6	9	9	5	4	5	1	0	6	10	3	7	7	9	5	14	5	18	1	17	4	14	8	4	7	2	2	6	10	22	1	5	4	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	1	4	2	0	2	1	1	1	3	2	1	3	1	1	1	4	1	8	2	2	0	6	0	2	2	1	0	4	2	1	2	3	2	6	8					
14	Число неиспользованных открепительных удостоверений	150	6	3	5	5	6	5	9	6	2	0	3	5	1	3	7	3	3	2	5	0	4	2	2	6	6	8	8	2	0	1	11	7	8	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	933	52	37	66	25	24	15	20	6	11	10	8	28	18	26	24	35	15	49	4	31	22	42	23	26	33	25	17	31	34	63	3	21	38	26	25					
		2.59%	4.49%	2.74%	4.51%	3.21%	2.13%	1.22%	1.78%	1.75%	1.69%	0.89%	1.64%	1.92%	3.11%	1.87%	1.68%	2.54%	2.18%	3.22%	1.57%	2.26%	3.43%	3.18%	2.51%	2.25%	2.76%	2.27%	1.90%	3.20%	3.85%	4.16%	1.04%	1.78%	2.99%	2.23%	3.98%					
19	. Малышкин Олег Александрович	1128	49	62	45	29	25	54	16	8	30	26	12	34	16	49	31	54	25	41	10	58	20	44	25	30	46	22	32	32	29	37	9	35	37	31	25					
		3.13%	4.24%	4.60%	3.07%	3.72%	2.22%	4.40%	1.42%	2.34%	4.61%	2.31%	2.46%	2.33%	2.77%	3.52%	2.17%	3.92%	3.63%	2.69%	3.94%	4.22%	3.12%	3.33%	2.73%	2.60%	3.85%	2.00%	3.58%	3.31%	3.28%	2.44%	3.11%	2.96%	2.91%	2.66%	3.98%					
20	. Миронов Сергей Михайлович	272	14	5	23	8	4	7	7	0	7	4	1	16	9	8	8	10	8	13	0	9	5	12	9	7	13	11	6	4	5	10	3	8	10	7	1					
		0.75%	1.21%	0.37%	1.57%	1.03%	0.36%	0.57%	0.62%	0.00%	1.08%	0.36%	0.20%	1.10%	1.56%	0.58%	0.56%	0.73%	1.16%	0.85%	0.00%	0.66%	0.78%	0.91%	0.98%	0.61%	1.09%	1.00%	0.67%	0.41%	0.57%	0.66%	1.04%	0.68%	0.79%	0.60%	0.16%					
21	. Путин Владимир Владимирович	23889	728	866	960	482	776	838	789	246	420	744	357	1071	414	864	807	933	463	1051	192	885	425	842	630	795	808	734	550	656	571	1107	223	730	781	735	416					
		66.29%	62.92%	64.24%	65.53%	61.79%	68.92%	68.30%	70.20%	71.93%	64.52%	66.19%	73.16%	73.51%	71.63%	62.11%	56.47%	67.76%	67.30%	68.96%	75.59%	64.41%	66.20%	63.79%	68.78%	68.77%	67.56%	66.61%	61.45%	67.77%	64.67%	73.02%	77.16%	61.71%	61.40%	63.04%	66.24%					
22	. Хакамада Ирина Муцуовна	684	25	28	32	21	19	15	18	5	7	18	4	25	11	23	23	27	12	29	0	28	15	19	25	15	17	29	18	20	14	35	4	25	32	24	22					
		1.90%	2.16%	2.08%	2.18%	2.69%	1.69%	1.22%	1.60%	1.46%	1.08%	1.60%	0.82%	1.72%	1.90%	1.65%	1.61%	1.96%	1.74%	1.90%	0.00%	2.04%	2.34%	1.44%	2.73%	1.30%	1.42%	2.63%	2.01%	2.07%	1.59%	2.31%	1.38%	2.11%	2.52%	2.06%	3.50%					
23	. Харитонов Николай Михайлович	7804	248	297	268	180	245	254	237	60	150	288	89	242	91	376	484	272	141	283	41	329	135	310	162	239	238	238	226	189	187	187	33	337	342	301	105					
		21.66%	21.43%	22.03%	18.29%	23.08%	21.76%	20.70%	21.09%	17.54%	23.04%	25.62%	18.24%	16.61%	15.74%	27.03%	33.87%	19.75%	20.49%	18.57%	16.14%	23.94%	21.03%	23.48%	17.69%	20.67%	19.90%	21.60%	25.25%	19.52%	21.18%	12.34%	11.42%	28.49%	26.89%	25.81%	16.72%					
																																										
24	Против всех	1008	26	34	58	28	29	37	28	15	24	22	10	28	12	30	39	29	17	51	5	22	15	43	33	34	37	26	33	26	37	62	11	19	23	33	32					
		2.80%	2.25%	2.52%	3.96%	3.59%	2.58%	3.02%	2.49%	4.39%	3.69%	1.96%	2.05%	1.92%	2.08%	2.16%	2.73%	2.11%	2.47%	3.35%	1.97%	1.60%	2.34%	3.26%	3.60%	2.94%	3.09%	2.36%	3.69%	2.69%	4.19%	4.09%	3.81%	1.61%	1.81%	2.83%	5.10%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
