Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Ярославль, Фрунзенская"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК  194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
		2.18%	2.17%	5.80%	2.14%	0.26%	2.56%	2.21%	3.21%	3.27%	2.79%	2.51%	2.04%	2.90%	3.41%	3.07%	2.78%	2.13%	2.51%	1.77%	2.01%	2.17%	2.54%	2.13%	3.17%	1.66%	1.97%	1.82%	2.40%	1.78%	1.49%	2.80%	1.09%	1.79%	1.44%	1.17%	1.77%	1.21%	1.85%	1.83%	1.89%	1.55%	1.62%	2.12%	2.62%	2.25%	1.35%	3.45%	1.76%	0.00%	1.56%	0.95%	2.56%					
20	. Миронов Сергей Михайлович	495	3	6	3	8	5	12	7	5	4	12	7	13	22	6	24	12	1	16	15	8	1	13	3	12	3	15	17	9	16	13	19	9	7	21	12	11	11	5	22	9	12	10	20	13	5	9	6	0	0	0	3					
		0.89%	0.82%	0.71%	0.80%	2.07%	0.75%	0.83%	1.25%	0.68%	0.53%	0.97%	0.51%	0.90%	1.36%	0.88%	1.52%	1.06%	0.16%	1.01%	1.31%	0.64%	0.09%	0.79%	0.21%	0.91%	0.39%	1.09%	1.04%	0.84%	1.04%	0.89%	1.30%	0.60%	0.92%	1.23%	0.76%	0.89%	0.81%	0.48%	1.54%	0.63%	0.81%	0.64%	1.38%	0.83%	0.75%	1.11%	0.76%	0.00%	0.00%	0.00%	0.40%					
21	. Путин Владимир Владимирович	39187	244	569	275	271	483	1020	419	519	535	849	946	1041	1133	474	1085	810	488	1162	803	903	789	1191	990	922	541	916	1107	747	1093	988	1025	1082	525	1121	1091	888	949	735	941	1011	988	1035	1038	1085	521	567	568	44	40	70	550					
		70.10%	66.30%	67.34%	73.53%	70.21%	72.63%	70.30%	74.69%	70.61%	71.05%	68.69%	69.05%	71.84%	70.24%	69.20%	68.50%	71.74%	76.61%	73.54%	70.01%	72.41%	74.15%	72.36%	69.67%	69.74%	71.09%	66.62%	68.00%	69.88%	70.84%	67.39%	69.97%	71.80%	68.63%	65.79%	68.88%	71.73%	70.09%	70.81%	65.90%	71.25%	66.53%	66.56%	71.54%	69.69%	77.99%	69.91%	71.54%	74.58%	62.50%	66.67%	74.12%					
22	. Хакамада Ирина Муцуовна	3188	22	36	23	30	40	64	26	50	56	74	88	86	77	46	87	54	25	80	67	57	49	61	78	83	56	98	106	74	93	118	80	96	42	101	80	67	61	49	74	76	96	117	95	109	22	30	37	0	7	3	42					
		5.70%	5.98%	4.26%	6.15%	7.77%	6.02%	4.41%	4.63%	6.80%	7.44%	5.99%	6.42%	5.94%	4.77%	6.72%	5.49%	4.78%	3.92%	5.06%	5.84%	4.57%	4.61%	3.71%	5.49%	6.28%	7.36%	7.13%	6.51%	6.92%	6.03%	8.05%	5.46%	6.37%	5.49%	5.93%	5.05%	5.41%	4.51%	4.72%	5.18%	5.36%	6.46%	7.52%	6.55%	7.00%	3.29%	3.70%	4.66%	0.00%	10.94%	2.86%	5.66%					
23	. Харитонов Николай Михайлович	5833	47	17	32	52	56	159	51	77	60	156	181	133	157	86	168	105	47	147	132	140	94	172	162	141	80	143	177	115	152	131	158	146	96	196	195	135	153	125	182	158	170	149	115	154	62	100	85	8	5	18	53					
		10.43%	12.77%	2.01%	8.56%	13.47%	8.42%	10.96%	9.09%	10.48%	7.97%	12.62%	13.21%	9.18%	9.73%	12.55%	10.61%	9.30%	7.38%	9.30%	11.51%	11.23%	8.83%	10.45%	11.40%	10.67%	10.51%	10.40%	10.87%	10.76%	9.85%	8.94%	10.78%	9.69%	12.55%	11.50%	12.31%	10.90%	11.30%	12.04%	12.75%	11.13%	11.45%	9.58%	7.93%	9.89%	9.28%	12.33%	10.71%	13.56%	7.81%	17.14%	7.14%					
																																																										
24	Против всех	2368	15	142	14	7	23	68	18	29	36	38	53	53	64	22	80	50	25	52	51	42	44	62	47	47	27	55	66	41	51	75	54	56	27	77	70	41	55	36	60	68	75	96	69	66	15	30	33	1	3	3	36					
		4.24%	4.08%	16.80%	3.74%	1.81%	3.46%	4.69%	3.21%	3.95%	4.78%	3.07%	3.87%	3.66%	3.97%	3.21%	5.05%	4.43%	3.92%	3.29%	4.45%	3.37%	4.14%	3.77%	3.31%	3.56%	3.55%	4.00%	4.05%	3.84%	3.31%	5.12%	3.69%	3.72%	3.53%	4.52%	4.42%	3.31%	4.06%	3.47%	4.20%	4.79%	5.05%	6.17%	4.76%	4.24%	2.25%	3.70%	4.16%	1.69%	4.69%	2.86%	4.85%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
