Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Бердская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347					
1	"Число избирателей, внесенных в список"	72985	1806	982	654	2364	2134	1808	1960	1725	1710	1835	1824	1824	1719	1878	1736	1859	1765	1887	1868	2036	1870	2595	2031	1826	1833	1870	1871	1988	2011	1832	1914	1849	1987	1732	1660	1689	1787	1733	1749	1784					
2	Число полученных избирательных бюллетеней	66130	1650	860	600	2140	1970	1640	1800	1550	1520	1650	1640	1650	1550	1700	1560	1680	1610	1700	1750	1840	1680	2340	1830	1630	1660	1720	1790	1810	1840	1660	1730	1660	1800	1570	1500	1530	1600	1560	1550	1610					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38967	837	307	292	1154	993	902	867	961	954	943	1000	974	936	1012	935	1062	1005	962	994	1001	997	1476	788	1073	994	901	1091	1243	1087	987	1071	1046	1124	1021	1041	1020	1078	1032	859	947					
5	"Число избирательных бюллетеней, выданных вне помещения"	1914	100	123	266	109	133	41	28	15	30	35	30	34	27	26	36	16	44	30	24	59	21	26	42	49	30	49	24	80	44	35	31	46	20	38	24	36	26	18	42	27					
6	Число погашенных избирательных бюллетеней	25249	713	430	42	877	844	697	905	574	536	672	610	642	587	662	589	602	561	708	732	780	662	838	1000	508	636	770	675	487	709	638	628	568	656	511	435	474	496	510	649	636					
7	Число избирательных бюллетеней в переносных ящиках	1914	100	123	266	109	133	41	28	15	30	35	30	34	27	26	36	16	44	30	24	59	21	26	42	49	30	49	24	80	44	35	31	46	20	38	24	36	26	18	42	27					
8	Число бюллетеней в стационарных ящиках для голосования	38942	834	307	292	1154	993	899	867	961	954	942	999	974	936	1012	935	1062	1005	962	993	1001	997	1476	788	1071	994	901	1090	1243	1087	987	1071	1046	1123	1021	1040	1020	1078	1032	848	947					
9	Число недействительных избирательных бюллетеней	393	17	2	10	5	8	11	12	5	15	3	9	8	11	8	7	12	12	16	12	8	16	21	17	5	10	9	5	8	14	10	8	7	15	6	6	18	7	5	7	8					
10	Число действительных избирательных бюллетеней	40463	917	428	548	1258	1118	929	883	971	969	974	1020	1000	952	1030	964	1066	1037	976	1005	1052	1002	1481	813	1115	1014	941	1109	1315	1117	1012	1094	1085	1128	1053	1058	1038	1097	1045	883	966					
11	Число полученных открепительных  удостоверений	490	15	10	10	20	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	20	50	10	10	10	10	25	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	270	12	1	4	9	7	4	6	3	5	6	0	3	3	7	5	6	10	8	7	5	7	45	2	8	6	10	22	2	4	3	3	6	3	5	3	7	4	8	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	17	15	9	7	7	4	6	7	1	4	5	4	2	6	5	3	2	3	3	5	1	4	5	8	4	4	4	3	4	3	3	2	11	4	11	1	5	6	4	27					
14	Число неиспользованных открепительных удостоверений	220	3	9	6	11	3	6	4	7	5	4	10	7	7	3	15	4	0	2	3	5	13	5	8	2	4	0	3	8	6	7	7	4	7	5	7	3	6	2	6	3					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	2452	53	16	21	74	79	44	35	37	40	50	67	49	50	75	62	64	74	60	50	51	61	56	43	80	53	42	35	283	57	51	75	59	73	73	62	56	67	70	44	61					
		6.00%	5.67%	3.72%	3.76%	5.86%	7.02%	4.68%	3.91%	3.79%	4.07%	5.12%	6.51%	4.86%	5.19%	7.23%	6.39%	5.94%	7.05%	6.05%	4.92%	4.81%	5.99%	3.73%	5.18%	7.14%	5.18%	4.42%	3.14%	21.39%	5.04%	4.99%	6.81%	5.40%	6.39%	6.89%	5.83%	5.30%	6.07%	6.67%	4.94%	6.26%					
19	. Малышкин Олег Александрович	675	10	4	17	21	22	22	19	8	11	26	14	9	7	16	11	17	15	22	23	14	12	22	15	20	9	32	39	31	8	20	24	21	11	14	17	24	14	14	7	13					
		1.65%	1.07%	0.93%	3.05%	1.66%	1.95%	2.34%	2.12%	0.82%	1.12%	2.66%	1.36%	0.89%	0.73%	1.54%	1.13%	1.58%	1.43%	2.22%	2.26%	1.32%	1.18%	1.46%	1.81%	1.79%	0.88%	3.37%	3.50%	2.34%	0.71%	1.96%	2.18%	1.92%	0.96%	1.32%	1.60%	2.27%	1.27%	1.33%	0.79%	1.33%					
20	. Миронов Сергей Михайлович	282	7	5	14	7	4	7	5	7	4	7	5	11	2	3	7	6	3	5	11	5	8	12	2	5	4	9	7	17	11	7	6	5	2	10	5	4	13	9	8	13					
		0.69%	0.75%	1.16%	2.51%	0.55%	0.36%	0.74%	0.56%	0.72%	0.41%	0.72%	0.49%	1.09%	0.21%	0.29%	0.72%	0.56%	0.29%	0.50%	1.08%	0.47%	0.79%	0.80%	0.24%	0.45%	0.39%	0.95%	0.63%	1.28%	0.97%	0.68%	0.54%	0.46%	0.17%	0.94%	0.47%	0.38%	1.18%	0.86%	0.90%	1.33%					
21	. Путин Владимир Владимирович	25504	565	309	401	807	764	608	542	654	610	634	611	638	607	656	578	670	563	592	626	644	610	1147	488	718	630	629	832	636	726	660	662	680	728	615	661	649	613	594	533	614					
		62.42%	60.49%	71.86%	71.86%	63.90%	67.85%	64.68%	60.56%	67.01%	61.99%	64.89%	59.38%	63.29%	63.03%	63.20%	59.53%	62.15%	53.67%	59.68%	61.55%	60.75%	59.92%	76.36%	58.80%	64.11%	61.52%	66.21%	74.69%	48.07%	64.19%	64.58%	60.07%	62.27%	63.69%	58.07%	62.12%	61.46%	55.53%	56.57%	59.89%	63.04%					
22	. Хакамада Ирина Муцуовна	1949	50	19	13	64	74	39	29	55	35	67	58	60	43	51	52	59	43	46	53	55	42	34	35	51	66	35	29	59	78	66	46	52	61	60	43	49	60	34	44	40					
		4.77%	5.35%	4.42%	2.33%	5.07%	6.57%	4.15%	3.24%	5.64%	3.56%	6.86%	5.64%	5.95%	4.47%	4.91%	5.36%	5.47%	4.10%	4.64%	5.21%	5.19%	4.13%	2.26%	4.22%	4.55%	6.45%	3.68%	2.60%	4.46%	6.90%	6.46%	4.17%	4.76%	5.34%	5.67%	4.04%	4.64%	5.43%	3.24%	4.94%	4.11%					
23	. Харитонов Николай Михайлович	7819	204	66	74	221	130	178	220	168	233	141	210	183	208	177	221	186	295	213	192	243	207	174	208	193	202	158	99	245	184	154	233	212	191	238	203	216	274	267	212	186					
		19.14%	21.84%	15.35%	13.26%	17.50%	11.55%	18.94%	24.58%	17.21%	23.68%	14.43%	20.41%	18.15%	21.60%	17.05%	22.76%	17.25%	28.12%	21.47%	18.88%	22.92%	20.33%	11.58%	25.06%	17.23%	19.73%	16.63%	8.89%	18.52%	16.27%	15.07%	21.14%	19.41%	16.71%	22.47%	19.08%	20.45%	24.82%	25.43%	23.82%	19.10%					
																																															
24	Против всех	1782	28	9	8	64	45	31	33	42	36	49	55	50	35	52	33	64	44	38	50	40	62	36	22	48	50	36	68	44	53	54	48	56	62	43	67	40	56	57	35	39					
		4.36%	3.00%	2.09%	1.43%	5.07%	4.00%	3.30%	3.69%	4.30%	3.66%	5.02%	5.34%	4.96%	3.63%	5.01%	3.40%	5.94%	4.19%	3.83%	4.92%	3.77%	6.09%	2.40%	2.65%	4.29%	4.88%	3.79%	6.10%	3.33%	4.69%	5.28%	4.36%	5.13%	5.42%	4.06%	6.30%	3.79%	5.07%	5.43%	3.93%	4.00%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
