Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Чебаркульская городская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2230					
1	"Число избирателей, внесенных в список избирателей"	36977	445	659	354	227	461	635	743	1969	1912	1143	1532	1378	1363	1313	1179	1393	1207	1277	1105	1580	1359	1485	1127	1702	2615	947	2813	906	2148					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28900	300	500	300	200	350	450	550	1400	1400	800	1100	1000	1000	1000	1000	1200	1000	1000	1000	1100	1100	1100	800	1200	2200	700	2300	650	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21125	281	446	234	112	174	298	333	1191	1081	572	797	522	821	804	678	732	715	750	621	959	829	795	485	853	1471	587	1557	328	2099					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	813	15	14	4	7	8	14	10	16	52	28	32	10	26	56	23	144	20	46	45	36	32	42	36	7	20	6	11	53	0					
6	Число погашенных избирательных бюллетеней	6925	4	40	62	81	168	138	207	193	267	200	271	468	153	140	299	324	265	204	334	105	239	263	279	338	709	107	732	269	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	848	15	14	4	7	8	14	10	16	52	28	32	10	26	56	23	144	20	46	45	36	32	42	36	7	20	6	11	53	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21122	281	446	234	112	174	298	333	1191	1081	572	796	522	821	804	678	732	715	750	621	959	829	795	485	851	1471	587	1557	328	2099					
9	Число недействительных избирательных бюллетеней	519	1	9	3	3	2	8	11	29	19	12	13	143	16	19	15	6	9	20	14	13	17	19	19	24	17	11	38	8	1					
10	Число действительных избирательных бюллетеней	21451	295	451	235	116	180	304	332	1178	1114	588	815	389	831	841	686	870	726	776	652	982	844	818	502	834	1474	582	1530	373	2133					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	478	6	6	7	3	4	5	8	30	28	12	23	12	16	13	14	20	15	11	15	21	13	15	10	11	54	46	50	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	473	6	6	7	3	4	5	8	30	28	12	23	12	16	13	14	19	15	11	15	20	12	15	10	11	54	46	48	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	771	62	148	68	15	1	7	1	17	27	16	26	7	26	46	20	11	7	22	12	107	7	24	9	2	18	19	16	7	23					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	0	0	1	0	0	2	1	5	2	1	4	2	0	3	2	2	1	3	2	3	3	3	2	1	16	10	12	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3685	69	135	68	29	33	52	64	213	180	119	161	101	144	150	123	167	143	161	115	159	186	146	104	144	252	71	250	64	82					
		16.77%	23.31%	29.35%	28.57%	24.37%	18.13%	16.67%	18.66%	17.65%	15.89%	19.83%	19.44%	18.98%	17.00%	17.44%	17.55%	19.06%	19.46%	20.23%	17.27%	15.98%	21.60%	17.44%	19.96%	16.78%	16.90%	11.97%	15.94%	16.80%	3.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2926	22	52	29	19	24	43	57	187	154	96	134	38	116	131	95	131	103	91	104	158	102	111	81	140	231	119	253	56	49					
		13.32%	7.43%	11.30%	12.18%	15.97%	13.19%	13.78%	16.62%	15.49%	13.59%	16.00%	16.18%	7.14%	13.70%	15.23%	13.55%	14.95%	14.01%	11.43%	15.62%	15.88%	11.85%	13.26%	15.55%	16.32%	15.49%	20.07%	16.14%	14.70%	2.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	223	3	0	3	4	4	3	6	17	17	8	3	3	12	6	6	14	13	5	3	15	14	10	1	4	15	8	24	1	1					
		1.02%	1.01%	0.00%	1.26%	3.36%	2.20%	0.96%	1.75%	1.41%	1.50%	1.33%	0.36%	0.56%	1.42%	0.70%	0.86%	1.60%	1.77%	0.63%	0.45%	1.51%	1.63%	1.19%	0.19%	0.47%	1.01%	1.35%	1.53%	0.26%	0.05%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4267	89	119	53	26	43	57	54	256	276	134	176	32	189	202	175	213	180	217	155	236	209	176	86	195	208	88	268	74	81					
		19.42%	30.07%	25.87%	22.27%	21.85%	23.63%	18.27%	15.74%	21.21%	24.36%	22.33%	21.26%	6.02%	22.31%	23.49%	24.96%	24.32%	24.49%	27.26%	23.27%	23.72%	24.27%	21.03%	16.51%	22.73%	13.95%	14.84%	17.09%	19.42%	3.80%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	548	16	23	1	5	6	2	13	38	31	17	16	8	27	33	26	25	24	17	14	28	36	26	17	15	36	9	31	8	0					
		2.49%	5.41%	5.00%	0.42%	4.20%	3.30%	0.64%	3.79%	3.15%	2.74%	2.83%	1.93%	1.50%	3.19%	3.84%	3.71%	2.85%	3.27%	2.14%	2.10%	2.81%	4.18%	3.11%	3.26%	1.75%	2.41%	1.52%	1.98%	2.10%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9680	95	120	79	33	68	145	137	456	446	207	317	205	336	315	251	317	255	284	255	381	295	345	212	331	728	284	696	167	1920					
		44.06%	32.09%	26.09%	33.19%	27.73%	37.36%	46.47%	39.94%	37.78%	39.36%	34.50%	38.29%	38.53%	39.67%	36.63%	35.81%	36.19%	34.69%	35.68%	38.29%	38.29%	34.26%	41.22%	40.69%	38.58%	48.83%	47.89%	44.39%	43.83%	89.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	122	1	2	2	0	2	2	1	11	10	7	8	2	7	4	10	3	8	1	6	5	2	4	1	5	4	3	8	3	0					
