Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Климовская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549					
1	"Число избирателей, внесенных в список"	26814	2418	2579	2570	2518	2406	357	523	469	400	353	393	244	142	138	172	543	431	375	380	320	380	1063	216	866	210	239	264	99	265	119	611	208	307	256	300	178	389	591	361	629	609	447	476					
2	Число полученных избирательных бюллетеней	27000	2350	2540	2555	2505	2355	370	535	470	405	355	388	245	147	138	172	548	450	395	400	303	385	1095	200	874	218	250	270	102	270	126	650	212	325	300	320	190	400	615	370	650	607	460	485					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15729	1263	1231	1154	1263	1215	216	315	278	266	230	278	187	116	97	157	510	313	283	274	245	325	606	168	478	106	183	190	73	184	36	397	167	248	180	246	76	246	362	237	370	378	351	231					
5	"Число избирательных бюллетеней, выданных вне помещения"	2616	39	123	142	97	62	68	62	87	62	61	22	36	20	22	0	22	80	46	52	0	0	67	19	146	67	33	46	20	60	58	65	30	52	76	33	67	60	120	55	110	129	32	168					
6	Число погашенных избирательных бюллетеней	8655	1048	1186	1259	1145	1078	86	158	105	77	64	88	22	11	19	15	16	57	66	74	58	60	422	13	250	45	34	34	9	26	32	188	15	25	44	41	47	94	133	78	170	100	77	86					
7	Число избирательных бюллетеней в переносных ящиках	2616	39	123	142	97	62	68	62	87	62	61	22	36	20	22	0	22	80	46	52	0	0	67	19	146	67	33	46	20	60	58	65	30	52	76	33	67	60	120	55	110	129	32	168					
8	Число бюллетеней в стационарных ящиках для голосования	15729	1263	1231	1154	1263	1215	216	315	278	266	230	278	187	116	97	157	510	313	283	274	245	325	606	168	478	106	183	190	73	184	36	397	167	248	180	246	76	246	362	237	370	378	351	231					
9	Число недействительных избирательных бюллетеней	148	12	9	10	11	7	4	3	5	2	3	1	3	1	1	1	1	0	3	2	1	7	6	4	5	1	0	2	0	4	0	6	3	5	2	4	2	4	3	2	3	4	1	0					
10	Число действительных избирательных бюллетеней	18197	1290	1345	1286	1349	1270	280	374	360	326	288	299	220	135	118	156	531	393	326	324	244	318	667	183	619	172	216	234	93	240	94	456	194	295	254	275	141	302	479	290	477	503	382	399					
11	Число полученных открепительных  удостоверений	391	27	33	34	33	31	6	8	7	6	6	6	4	3	3	4	8	6	6	6	5	5	17	4	12	4	4	4	3	4	3	10	4	9	5	5	4	6	8	6	8	10	7	7					
