Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    Климовская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №534	УИК №535	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543									
1	"Число избирателей, включенных в список избирателей"	21919	1998	2441	2127	1278	412	1937	1313	275	448	309	292	210	567	56	466	258	279	321	256	187	290	621	142	222	831	91	180	207	143	305	129	490	207	372	237	478	404	425	335	380									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21890	1960	2380	2300	1260	405	1890	1290	275	450	310	285	210	565	60	460	255	275	310	260	185	290	650	145	225	830	85	180	210	140	305	130	495	205	370	240	480	400	410	335	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15716	1591	1761	1309	877	379	1150	886	185	296	212	238	156	450	44	250	131	202	267	192	141	249	525	93	119	595	68	147	167	115	240	90	374	172	249	186	362	344	331	240	333									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4307	318	438	350	200	21	488	362	62	107	41	47	46	84	8	191	113	70	43	52	36	31	77	35	91	202	15	28	34	23	59	36	93	25	104	41	91	56	79	71	39									
6	Число погашенных избирательных бюллетеней	1867	51	181	641	183	5	252	42	28	47	57	0	8	31	8	19	11	3	0	16	8	10	48	17	15	33	2	5	9	2	6	4	28	8	17	13	27	0	0	24	8									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4307	318	438	350	200	21	488	362	62	107	41	47	46	84	8	191	113	70	43	52	36	31	77	35	91	202	15	28	34	23	59	36	93	25	104	41	91	56	79	71	39									
