Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Краснотурьинская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028					
1	"Число избирателей, внесенных в список"	53937	838	477	939	2131	1454	897	439	2126	3087	641	565	1551	2630	2622	2177	2653	277	1727	1368	1254	1642	1494	1618	1063	735	1061	1431	662	720	1042	1373	981	1310	1473	2776	1684	1637	207	813	185	177					
2	Число полученных избирательных бюллетеней	47500	700	400	800	1800	1300	700	400	1800	2700	600	500	1300	2300	2300	1900	2300	500	1500	1200	1100	1400	1300	1400	1000	700	1000	1200	600	700	1000	1200	900	1100	1300	2500	1500	1300	200	700	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31510	347	229	427	1054	867	337	280	1247	1856	254	220	887	1690	1554	1345	1509	207	1109	909	769	1068	850	887	706	422	666	830	411	356	643	854	596	852	933	1727	995	847	46	482	121	121					
5	"Число избирательных бюллетеней, выданных вне помещения"	1160	26	25	26	59	29	27	12	16	24	47	42	37	30	25	44	48	0	24	15	19	30	34	46	20	3	27	20	22	17	30	50	13	20	17	23	13	128	54	18	0	0					
6	Число погашенных избирательных бюллетеней	14829	327	146	347	687	404	335	108	537	820	299	238	376	580	721	511	743	293	367	276	312	302	416	467	274	275	307	350	167	327	327	296	291	228	350	750	492	325	100	200	79	79					
7	Число избирательных бюллетеней в переносных ящиках	1160	26	25	26	59	29	27	12	16	24	47	42	37	30	25	44	48	0	24	15	19	30	34	46	20	3	27	20	22	17	30	50	13	20	17	23	13	128	54	18	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	31502	347	229	427	1054	867	337	280	1247	1855	254	220	887	1690	1554	1345	1505	207	1109	909	769	1068	850	887	706	422	665	828	411	356	643	854	596	852	933	1727	995	847	46	482	121	121					
9	Число недействительных избирательных бюллетеней	309	5	5	0	16	8	3	3	5	9	0	0	4	5	18	16	15	1	12	9	8	7	7	18	8	4	7	4	9	4	8	14	7	8	11	14	11	14	0	8	4	0					
10	Число действительных избирательных бюллетеней	32353	368	249	453	1097	888	361	289	1258	1870	301	262	920	1715	1561	1373	1538	206	1121	915	780	1091	877	915	718	421	685	844	424	369	665	890	602	864	939	1736	997	961	100	492	117	121					
11	Число полученных открепительных  удостоверений	956	15	10	16	37	25	15	10	37	54	11	10	27	47	46	38	46	0	30	21	22	29	26	28	18	13	18	25	11	12	18	24	17	22	26	49	29	27	8	14	14	11					
12	Число выданных открепительных удостоверений	180	0	1	1	5	6	0	0	12	4	2	0	2	13	9	9	11	0	7	11	4	4	2	2	3	6	10	1	0	0	5	1	3	3	13	8	7	2	0	0	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	2	0	0	6	4	3	0	2	3	1	6	3	4	2	2	3	2	1	6	3	4	1	8	4	1	7	7	1	0	16	1	3	13	5	0	2	2	3	2	0	6					
14	Число неиспользованных открепительных удостоверений	776	15	9	15	32	19	15	10	25	50	9	10	25	34	37	29	35	0	23	10	18	25	24	26	15	7	8	24	11	12	13	23	14	19	13	41	22	25	8	14	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	1	0	0	0	0	0	0	1	0	0	0	3	2	0	2	0	0	0	0	2	2	1	0	1	1	0	1	0	0	2	0	1	1	1	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1038	9	11	13	39	32	3	12	38	59	8	10	33	52	44	56	43	7	42	41	19	31	28	30	24	7	24	39	7	14	28	25	19	23	33	57	26	31	1	17	3	0					
		3.18%	2.41%	4.33%	2.87%	3.50%	3.57%	0.82%	4.11%	3.01%	3.14%	2.66%	3.82%	3.57%	3.02%	2.79%	4.03%	2.77%	3.38%	3.71%	4.44%	2.41%	2.82%	3.17%	3.22%	3.31%	1.65%	3.47%	4.60%	1.62%	3.75%	4.16%	2.77%	3.12%	2.64%	3.47%	3.26%	2.58%	3.18%	1.00%	3.40%	2.48%	0.00%					
19	. Малышкин Олег Александрович	711	21	11	12	37	22	10	5	30	34	7	7	16	33	42	19	33	2	25	19	21	19	20	13	13	12	14	10	7	4	14	21	15	17	25	37	26	22	2	11	3	0					
		2.18%	5.63%	4.33%	2.65%	3.32%	2.46%	2.75%	1.71%	2.38%	1.81%	2.33%	2.67%	1.73%	1.92%	2.66%	1.37%	2.12%	0.97%	2.21%	2.06%	2.66%	1.73%	2.26%	1.39%	1.79%	2.82%	2.02%	1.18%	1.62%	1.07%	2.08%	2.32%	2.46%	1.95%	2.63%	2.11%	2.58%	2.26%	2.00%	2.20%	2.48%	0.00%					
20	. Миронов Сергей Михайлович	203	0	3	5	11	7	5	1	8	12	0	1	4	6	8	4	10	0	7	4	9	3	6	6	3	1	1	5	3	7	6	4	3	8	5	10	6	18	0	1	1	1					
		0.62%	0.00%	1.18%	1.10%	0.99%	0.78%	1.37%	0.34%	0.63%	0.64%	0.00%	0.38%	0.43%	0.35%	0.51%	0.29%	0.64%	0.00%	0.62%	0.43%	1.14%	0.27%	0.68%	0.64%	0.41%	0.24%	0.14%	0.59%	0.69%	1.88%	0.89%	0.44%	0.49%	0.92%	0.53%	0.57%	0.60%	1.85%	0.00%	0.20%	0.83%	0.83%					
21	. Путин Владимир Владимирович	26240	282	198	371	846	680	317	235	1031	1541	252	221	730	1439	1236	1116	1283	182	890	707	635	879	722	762	565	355	560	668	339	293	529	728	474	714	761	1433	823	771	63	408	95	106					
		80.34%	75.60%	77.95%	81.90%	76.01%	75.89%	87.09%	80.48%	81.63%	82.01%	83.72%	84.35%	79.00%	83.66%	78.28%	80.35%	82.61%	87.92%	78.55%	76.52%	80.58%	80.05%	81.67%	81.67%	77.82%	83.53%	80.92%	78.77%	78.29%	78.55%	78.60%	80.53%	77.83%	81.88%	80.11%	81.89%	81.65%	79.08%	63.00%	81.60%	78.51%	87.60%					
22	. Хакамада Ирина Муцуовна	1349	9	3	14	40	39	4	6	65	106	11	9	36	75	71	62	69	6	49	50	25	54	31	41	40	17	30	28	24	16	23	36	27	34	35	67	37	31	3	14	7	5					
		4.13%	2.41%	1.18%	3.09%	3.59%	4.35%	1.10%	2.05%	5.15%	5.64%	3.65%	3.44%	3.90%	4.36%	4.50%	4.46%	4.44%	2.90%	4.32%	5.41%	3.17%	4.92%	3.51%	4.39%	5.51%	4.00%	4.34%	3.30%	5.54%	4.29%	3.42%	3.98%	4.43%	3.90%	3.68%	3.83%	3.67%	3.18%	3.00%	2.80%	5.79%	4.13%					
23	. Харитонов Николай Михайлович	1760	32	18	30	88	85	17	21	51	53	16	10	65	49	100	79	54	5	71	58	44	55	40	41	48	11	40	71	26	27	47	50	37	44	45	70	45	52	28	30	3	4					
		5.39%	8.58%	7.09%	6.62%	7.91%	9.49%	4.67%	7.19%	4.04%	2.82%	5.32%	3.82%	7.03%	2.85%	6.33%	5.69%	3.48%	2.42%	6.27%	6.28%	5.58%	5.01%	4.52%	4.39%	6.61%	2.59%	5.78%	8.37%	6.00%	7.24%	6.98%	5.53%	6.08%	5.05%	4.74%	4.00%	4.46%	5.33%	28.00%	6.00%	2.48%	3.31%					
																																																
24	Против всех	1052	15	5	8	36	23	5	9	35	65	7	4	36	61	60	37	46	4	37	36	27	50	30	22	25	18	16	23	18	8	18	26	27	24	35	62	34	36	3	11	5	5					
