Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Улетовская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	250	1	14	5	0	19	7	28	3	4	3	7	4	1	7	4	19	23	13	2	3	10	63	7	3					
		2.88%	0.92%	4.08%	3.88%	0.00%	3.75%	3.70%	4.83%	1.66%	2.53%	1.68%	2.05%	1.21%	1.18%	1.96%	1.20%	2.03%	2.34%	2.69%	0.48%	1.20%	3.05%	5.45%	7.22%	2.97%					
19	. Малышкин Олег Александрович	405	3	23	4	10	34	20	32	4	7	13	10	11	2	15	3	31	22	13	25	4	21	91	3	4					
		4.67%	2.75%	6.71%	3.10%	9.80%	6.71%	10.58%	5.52%	2.21%	4.43%	7.26%	2.92%	3.33%	2.35%	4.20%	0.90%	3.31%	2.24%	2.69%	6.01%	1.61%	6.40%	7.88%	3.09%	3.96%					
20	. Миронов Сергей Михайлович	96	0	2	0	0	4	5	7	1	0	2	6	4	0	7	3	9	9	2	3	3	1	26	2	0					
		1.11%	0.00%	0.58%	0.00%	0.00%	0.79%	2.65%	1.21%	0.55%	0.00%	1.12%	1.75%	1.21%	0.00%	1.96%	0.90%	0.96%	0.92%	0.41%	0.72%	1.20%	0.30%	2.25%	2.06%	0.00%					
21	. Путин Владимир Владимирович	5479	85	198	70	37	305	89	365	133	112	100	238	205	68	213	261	647	676	331	252	161	229	580	53	71					
		63.18%	77.98%	57.73%	54.26%	36.27%	60.16%	47.09%	62.93%	73.48%	70.89%	55.87%	69.59%	62.12%	80.00%	59.66%	78.38%	69.12%	68.77%	68.53%	60.58%	64.66%	69.82%	50.22%	54.64%	70.30%					
22	. Хакамада Ирина Муцуовна	200	1	5	2	0	11	3	6	6	3	9	5	2	2	7	7	22	24	10	6	6	2	55	3	3					
		2.31%	0.92%	1.46%	1.55%	0.00%	2.17%	1.59%	1.03%	3.31%	1.90%	5.03%	1.46%	0.61%	2.35%	1.96%	2.10%	2.35%	2.44%	2.07%	1.44%	2.41%	0.61%	4.76%	3.09%	2.97%					
23	. Харитонов Николай Михайлович	1957	19	82	42	54	124	60	135	32	30	43	73	93	10	95	47	176	196	103	105	65	57	276	24	16					
		22.57%	17.43%	23.91%	32.56%	52.94%	24.46%	31.75%	23.28%	17.68%	18.99%	24.02%	21.35%	28.18%	11.76%	26.61%	14.11%	18.80%	19.94%	21.33%	25.24%	26.10%	17.38%	23.90%	24.74%	15.84%					
																															
24	Против всех	192	0	15	5	1	7	2	4	1	1	2	1	2	0	6	6	27	22	7	21	2	8	46	3	3					
		2.21%	0.00%	4.37%	3.88%	0.98%	1.38%	1.06%	0.69%	0.55%	0.63%	1.12%	0.29%	0.61%	0.00%	1.68%	1.80%	2.88%	2.24%	1.45%	5.05%	0.80%	2.44%	3.98%	3.09%	2.97%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
