Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Донской район																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №3138	УИК №3139	УИК №3140	УИК №3141					
1	"Число избирателей, внесенных в список"	29983	1721	1664	1901	1560	1925	821	1688	1836	1184	2715	2267	2285	2345	2136	2394	155	136	596	654					
2	Число полученных избирательных бюллетеней	29400	1700	1500	1700	1500	1700	800	1500	1700	1000	2400	2100	2000	2000	2100	2300	700	200	700	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16543	926	944	984	832	1043	535	915	948	605	1371	1159	1203	1147	1077	1317	152	135	596	654					
5	"Число избирательных бюллетеней, выданных вне помещения"	563	33	97	55	33	37	28	21	31	26	29	29	24	42	38	40	0	0	0	0					
6	Число погашенных избирательных бюллетеней	12294	741	459	661	635	620	237	564	721	369	1000	912	773	811	985	943	548	65	104	1146					
7	Число избирательных бюллетеней в переносных ящиках	563	33	97	55	33	37	28	21	31	26	29	29	24	42	38	40	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16472	914	944	956	832	1030	535	915	948	605	1371	1156	1203	1141	1077	1310	151	135	596	653					
9	Число недействительных избирательных бюллетеней	209	3	17	5	6	6	8	12	8	2	13	10	18	3	54	12	3	0	9	20					
10	Число действительных избирательных бюллетеней	16826	944	1024	1006	859	1061	555	924	971	629	1387	1175	1209	1180	1061	1338	148	135	587	633					
11	Число полученных открепительных  удостоверений	740	45	45	65	45	60	25	40	45	40	55	50	50	50	60	65	0	0	0	0					
12	Число выданных открепительных удостоверений	445	25	22	38	16	40	14	21	38	12	44	21	38	26	31	59	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	522	38	16	55	19	32	27	20	11	16	16	24	16	36	28	38	28	16	30	56					
14	Число неиспользованных открепительных удостоверений	295	20	23	27	29	20	11	19	7	28	11	29	12	24	29	6	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	3	1	0	0	0	0	0	1	0	2	2	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	1148	101	73	72	64	106	21	54	46	29	79	96	73	76	66	101	14	8	38	31					
		6.74%	10.67%	7.01%	7.12%	7.40%	9.93%	3.73%	5.77%	4.70%	4.60%	5.64%	8.10%	5.95%	6.42%	5.92%	7.48%	9.27%	5.93%	6.38%	4.75%					
19	. Малышкин Олег Александрович	218	9	9	14	15	6	8	12	11	14	13	20	16	18	13	16	2	1	1	20					
		1.28%	0.95%	0.86%	1.38%	1.73%	0.56%	1.42%	1.28%	1.12%	2.22%	0.93%	1.69%	1.30%	1.52%	1.17%	1.19%	1.32%	0.74%	0.17%	3.06%					
20	. Миронов Сергей Михайлович	105	3	7	8	9	5	6	5	5	5	5	10	8	3	12	5	0	2	1	6					
		0.62%	0.32%	0.67%	0.79%	1.04%	0.47%	1.07%	0.53%	0.51%	0.79%	0.36%	0.84%	0.65%	0.25%	1.08%	0.37%	0.00%	1.48%	0.17%	0.92%					
21	. Путин Владимир Владимирович	11471	508	645	605	579	575	400	654	724	464	980	802	853	854	784	939	107	104	440	454					
		67.34%	53.64%	61.96%	59.84%	66.94%	53.89%	71.05%	69.87%	73.95%	73.53%	70.00%	67.68%	69.52%	72.19%	70.31%	69.56%	70.86%	77.04%	73.83%	69.53%					
22	. Хакамада Ирина Муцуовна	1526	145	142	113	60	168	54	89	72	35	98	78	99	82	99	109	9	6	29	39					
		8.96%	15.31%	13.64%	11.18%	6.94%	15.75%	9.59%	9.51%	7.35%	5.55%	7.00%	6.58%	8.07%	6.93%	8.88%	8.07%	5.96%	4.44%	4.87%	5.97%					
23	. Харитонов Николай Михайлович	1244	84	70	111	74	111	33	57	50	53	107	95	83	94	80	71	7	3	39	22					
		7.30%	8.87%	6.72%	10.98%	8.55%	10.40%	5.86%	6.09%	5.11%	8.40%	7.64%	8.02%	6.76%	7.95%	7.17%	5.26%	4.64%	2.22%	6.54%	3.37%					
																										
24	Против всех	1114	94	78	83	58	90	33	53	63	29	105	74	77	53	7	97	9	11	39	61					
		6.54%	9.93%	7.49%	8.21%	6.71%	8.43%	5.86%	5.66%	6.44%	4.60%	7.50%	6.24%	6.28%	4.48%	0.63%	7.19%	5.96%	8.15%	6.54%	9.34%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
