Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Краснооктябрьская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460					
1	"Число избирателей, внесенных в список"	123800	2911	2935	2667	2423	2322	2273	2086	2731	2394	1937	918	1470	1725	2082	1995	2871	2723	3026	2571	2630	2605	2601	2343	2513	1497	2184	2435	2110	2188	1398	2242	1119	2652	2453	2566	2814	2522	2627	1672	2965	2610	2674	2840	2867	3074	2968	2424	2751	2721	2527	2164	1984					
2	Число полученных избирательных бюллетеней	122930	2950	2900	2700	2460	2350	2300	2050	2800	2450	2010	1000	1440	1680	2100	2020	2900	2700	3000	2600	2650	2580	2450	2360	2540	1460	2200	2200	2000	2000	1300	2200	1080	2700	2400	2600	2800	2520	2650	1620	3000	2600	2700	2850	2820	2990	2950	2350	2750	2500	2500	2200	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	61272	1358	1193	1304	1318	1099	1234	1084	1275	1151	869	499	580	755	1121	974	1585	1499	1609	1368	1411	1395	1256	1176	1185	683	1120	1433	875	958	538	937	414	1367	1309	1466	1463	1386	1379	815	1382	1379	1205	1493	1360	1511	1469	1197	1290	1324	1232	1199	790					
5	"Число избирательных бюллетеней, выданных вне помещения"	1803	35	32	27	18	45	33	25	43	34	23	15	25	27	19	29	36	20	47	24	41	31	48	46	40	29	46	40	106	14	26	27	9	28	26	24	56	28	34	28	33	32	29	35	34	28	27	17	135	45	41	24	39					
6	Число погашенных избирательных бюллетеней	59855	1557	1675	1369	1124	1206	1033	941	1482	1265	1118	486	835	898	960	1017	1279	1181	1344	1208	1198	1154	1146	1138	1315	748	1034	727	1019	1028	736	1236	657	1305	1065	1110	1281	1106	1237	777	1585	1189	1466	1322	1426	1451	1454	1136	1325	1131	1227	977	1171					
7	Число избирательных бюллетеней в переносных ящиках	1803	35	32	27	18	45	33	25	43	34	23	15	25	27	19	29	36	20	47	24	41	31	48	46	40	29	46	40	106	14	26	27	9	28	26	24	56	28	34	28	33	32	29	35	34	28	27	17	135	45	41	24	39					
8	Число бюллетеней в стационарных ящиках для голосования	61253	1356	1193	1304	1318	1099	1234	1084	1275	1151	869	499	580	755	1120	974	1585	1499	1609	1368	1411	1395	1256	1176	1185	683	1120	1433	875	958	538	932	414	1367	1309	1466	1462	1386	1379	815	1380	1379	1202	1493	1360	1511	1467	1194	1290	1324	1232	1199	790					
9	Число недействительных избирательных бюллетеней	465	11	14	15	13	12	11	9	0	16	8	2	11	2	5	2	22	5	3	12	14	15	13	6	13	6	12	15	6	11	0	11	8	8	4	6	9	7	9	8	14	11	5	13	7	7	5	5	6	8	8	13	9					
10	Число действительных избирательных бюллетеней	62591	1380	1211	1316	1323	1132	1256	1100	1318	1169	884	512	594	780	1134	1001	1599	1514	1653	1380	1438	1411	1291	1216	1212	706	1154	1458	975	961	564	948	415	1387	1331	1484	1509	1407	1404	835	1399	1400	1226	1515	1387	1532	1489	1206	1419	1361	1265	1210	820					
