Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Татышлинская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269					
1	"Число избирателей, внесенных в список"	18914	319	108	357	555	146	199	214	282	375	381	150	126	515	365	799	1404	795	786	773	490	239	97	462	436	81	502	167	644	302	517	381	198	228	105	244	332	112	686	218	263	154	490	201	342	375	389	438	384	385	199	204					
2	Число полученных избирательных бюллетеней	19079	327	111	353	562	147	209	224	285	390	382	153	127	518	372	807	1423	789	769	797	494	242	97	467	438	84	499	169	655	305	519	386	199	231	107	248	336	115	686	220	265	155	490	205	343	374	389	438	387	387	201	203					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18153	305	108	326	536	140	199	183	268	312	367	116	117	498	352	783	1343	781	759	759	488	232	88	452	428	71	479	153	629	288	510	339	198	215	102	224	285	107	679	215	252	139	461	201	334	365	376	438	375	383	199	196					
5	"Число избирательных бюллетеней, выданных вне помещения"	642	14	0	27	16	6	0	30	14	60	12	34	9	17	11	7	33	0	10	7	2	7	8	10	8	9	20	14	15	14	4	36	0	13	2	18	46	5	7	3	11	15	29	0	8	9	10	0	6	0	0	6					
6	Число погашенных избирательных бюллетеней	284	8	3	0	10	1	10	11	3	18	3	3	1	3	9	17	47	8	0	31	4	3	1	5	2	4	0	2	11	3	5	11	1	3	3	6	5	3	0	2	2	1	0	4	1	0	3	0	6	4	2	1					
7	Число избирательных бюллетеней в переносных ящиках	642	14	0	27	16	6	0	30	14	60	12	34	9	17	11	7	33	0	10	7	2	7	8	10	8	9	20	14	15	14	4	36	0	13	2	18	46	5	7	3	11	15	29	0	8	9	10	0	6	0	0	6					
8	Число бюллетеней в стационарных ящиках для голосования	18153	305	108	326	536	140	199	183	268	312	367	116	117	498	352	783	1343	781	759	759	488	232	88	452	428	71	479	153	629	288	510	339	198	215	102	224	285	107	679	215	252	139	461	201	334	365	376	438	375	383	199	196					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	18785	319	108	353	552	146	199	213	282	372	379	150	125	515	363	790	1376	781	767	766	490	239	96	462	436	80	499	167	644	302	510	374	198	228	104	242	331	112	685	218	263	154	490	201	342	373	386	438	381	383	199	202					
