Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Сасовская городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333					
1	"Число избирателей, внесенных в списки"	26656	1509	1445	2973	2995	3020	3056	2933	3033	1481	1441	1337	1433					
2	"Число бюллетеней, полученных участковыми комиссиями"	27000	1500	1500	3000	3000	3000	3100	3000	3100	1500	1450	1350	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11343	652	558	1211	1285	1354	1356	1339	1152	592	550	482	812					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	296	17	27	30	28	19	12	29	28	35	11	19	41					
6	Число погашенных бюллетеней	15361	831	915	1759	1687	1627	1732	1632	1920	873	889	849	647					
7	Число бюллетеней в переносных ящиках для голосования	296	17	27	30	28	19	12	29	28	35	11	19	41					
8	Число бюллетеней в стационарных ящиках для голосования	11335	651	558	1205	1285	1354	1356	1338	1152	592	550	482	812					
9	Число недействительных бюллетеней	155	12	16	13	20	9	12	12	14	13	13	15	6					
10	Число действительных бюллетеней	11476	656	569	1222	1293	1364	1356	1355	1166	614	548	486	847					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	184	13	13	17	17	17	17	17	17	14	14	14	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	4	2	7	7	5	14	11	4	2	0	2	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	5	1	4	6	4	6	4	1	3	3	3	4					
14	Число погашенных открепительных удостоверений	115	9	11	10	10	12	3	6	13	12	14	12	3					
15	Число открепительных удостоверений выданных ТИК	16	0	2	0	2	2	4	3	1	0	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	71	8	3	7	8	7	7	7	4	5	6	1	8					
		0.61%	1.19%	0.51%	0.56%	0.60%	0.50%	0.51%	0.51%	0.33%	0.79%	1.06%	0.19%	0.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	264	12	4	20	36	23	49	38	28	16	12	10	16					
		2.26%	1.79%	0.68%	1.61%	2.74%	1.67%	3.58%	2.77%	2.37%	2.55%	2.13%	1.99%	1.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1336	95	93	181	153	112	113	193	84	92	63	87	70					
		11.48%	14.22%	15.89%	14.65%	11.65%	8.15%	8.26%	14.11%	7.11%	14.67%	11.22%	17.36%	8.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	242	11	9	13	26	39	35	39	32	7	7	12	12					
		2.08%	1.64%	1.53%	1.05%	1.98%	2.84%	2.55%	2.85%	2.71%	1.11%	1.24%	2.39%	1.40%					
22	"5. ""За Русь Святую"""	51	6	2	7	3	5	9	6	3	3	5	0	2					
		0.43%	0.89%	0.34%	0.56%	0.22%	0.36%	0.65%	0.43%	0.25%	0.47%	0.89%	0.0%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	1	0	4	1	1	3	1	1	1	1	1	0					
		0.12%	0.14%	0.0%	0.32%	0.07%	0.07%	0.21%	0.07%	0.08%	0.15%	0.17%	0.19%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	46	6	1	2	4	5	5	7	5	5	2	2	2					
		0.39%	0.89%	0.17%	0.16%	0.30%	0.36%	0.36%	0.51%	0.42%	0.79%	0.35%	0.39%	0.23%					
25	"8. ""Народно-республиканская партия России"""	11	1	1	1	0	1	4	0	0	0	2	1	0					
		0.09%	0.14%	0.17%	0.08%	0.0%	0.07%	0.29%	0.0%	0.0%	0.0%	0.35%	0.19%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	1	0	2	3	1	1	3	0	0	3	2	3					
		0.16%	0.14%	0.0%	0.16%	0.22%	0.07%	0.07%	0.21%	0.0%	0.0%	0.53%	0.39%	0.35%					
27	"10. ""Аграрная партия России"""	418	26	17	50	60	35	46	40	51	27	20	13	33					
		3.59%	3.89%	2.90%	4.04%	4.56%	2.54%	3.36%	2.92%	4.32%	4.30%	3.56%	2.59%	3.86%					
28	"11. ""Истинные патриоты России"""	12	1	1	0	3	2	2	1	0	1	0	1	0					
		0.10%	0.14%	0.17%	0.0%	0.22%	0.14%	0.14%	0.07%	0.0%	0.15%	0.0%	0.19%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	97	9	2	10	10	6	10	16	14	6	3	2	9					
		0.83%	1.34%	0.34%	0.80%	0.76%	0.43%	0.73%	1.17%	1.18%	0.95%	0.53%	0.39%	1.05%					
30	"13. ""Демократическая партия России"""	23	0	0	4	5	2	1	0	3	4	0	2	2					
		0.19%	0.0%	0.0%	0.32%	0.38%	0.14%	0.07%	0.0%	0.25%	0.63%	0.0%	0.39%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	0	0	2	1	2	1	0	5	0	0	0	0					
		0.09%	0.0%	0.0%	0.16%	0.07%	0.14%	0.07%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	1	2	0	2	3	0	1	1	0	1	0					
		0.10%	0.14%	0.17%	0.16%	0.0%	0.14%	0.21%	0.0%	0.08%	0.15%	0.0%	0.19%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1366	63	51	139	178	194	177	168	141	61	48	37	109					
		11.74%	9.43%	8.71%	11.25%	13.55%	14.12%	12.93%	12.28%	11.94%	9.72%	8.55%	7.38%	12.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	1	1	2	2	4	1	4	1	2	1	0	0					
		0.16%	0.14%	0.17%	0.16%	0.15%	0.29%	0.07%	0.29%	0.08%	0.31%	0.17%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1494	89	81	139	200	233	190	170	133	57	72	61	69					
		12.84%	13.32%	13.84%	11.25%	15.23%	16.97%	13.88%	12.43%	11.27%	9.09%	12.83%	12.17%	8.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	127	9	8	11	14	12	12	20	10	5	11	5	10					
