Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Торжокская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255					
1	"Число избирателей, внесенных в список"	17397	243	210	490	165	419	549	548	886	411	146	233	178	1076	271	702	118	245	215	406	387	184	171	518	607	400	488	773	1378	352	355	429	434	442	155	379	591	521	240	280	418	384					
2	Число полученных избирательных бюллетеней	17180	240	200	490	160	440	540	540	900	380	135	220	170	1050	270	660	115	250	200	400	390	180	220	500	600	390	480	770	1380	350	380	430	420	440	150	370	600	500	230	270	400	370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8413	100	91	205	68	182	232	137	516	239	75	107	105	530	164	331	62	88	121	166	186	61	49	294	316	207	263	279	907	179	113	235	197	187	53	187	264	266	110	131	202	208					
5	"Число избирательных бюллетеней, выданных вне помещения"	3740	97	70	216	76	122	111	156	30	5	57	71	51	130	44	165	45	83	64	165	118	72	104	133	34	83	60	177	25	87	150	52	92	110	60	81	131	30	94	117	102	70					
6	Число погашенных избирательных бюллетеней	5027	43	39	69	16	136	197	247	354	136	3	42	14	390	62	164	8	79	15	69	86	47	67	73	250	100	157	314	448	84	117	143	131	143	37	102	205	204	26	22	96	92					
7	Число избирательных бюллетеней в переносных ящиках	3740	97	70	216	76	122	111	156	30	5	57	71	51	130	44	165	45	83	64	165	118	72	104	133	34	83	60	177	25	87	150	52	92	110	60	81	131	30	94	117	102	70					
8	Число бюллетеней в стационарных ящиках для голосования	8413	100	91	205	68	182	232	137	516	239	75	107	105	530	164	331	62	88	121	166	186	61	49	294	316	207	263	279	907	179	113	235	197	187	53	187	264	266	110	131	202	208					
9	Число недействительных избирательных бюллетеней	51	0	0	3	0	2	1	2	4	3	1	0	0	5	0	4	0	0	1	0	1	0	0	2	1	2	2	1	2	1	0	1	2	0	0	2	0	6	1	0	0	1					
10	Число действительных избирательных бюллетеней	12102	197	161	418	144	302	342	291	542	241	131	178	156	655	208	492	107	171	184	331	303	133	153	425	349	288	321	455	930	265	263	286	287	297	113	266	395	290	203	248	304	277					
