Выборы Президента Российской Федерации																																																																													
Дата голосования: 02.03.2008																																																																													
																																																																													
"Наименование Избирательной комиссии:    Владикавказ, Правобережная"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
	Число участковых избирательных комиссий	70																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																											
																																																																													
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294					
1	"Число избирателей, включенных в списки избирателей"	100793	1762	230	957	1719	1472	1616	2200	879	2004	1003	2000	1441	201	2269	1911	836	2450	793	90	159	686	1469	1978	2466	1047	2642	1865	899	50	2199	2290	2227	1307	1425	2095	1932	2007	1662	2400	1553	1435	2258	789	340	892	858	1481	1107	2064	1657	2649	2125	2140	2612	1153	2871	147	2597	1212	90	130	82	952	2066	778	614	1359	1300	1548	1296					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91689	1500	230	900	1500	1500	1400	2000	800	2000	1000	2000	1000	300	1500	2000	700	2000	800	90	170	500	1200	1900	2000	1000	2000	1500	800	50	2000	2000	2000	1609	1000	2470	2770	2000	1500	2000	1500	1000	2000	800	350	900	800	1500	1000	1500	1500	2000	2000	2000	2000	900	2000	150	2350	2200	100	150	100	1000	1900	700	700	1500	1200	1200	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	595	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	185	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	69782	1465	176	636	1164	1084	1390	1931	424	554	583	1277	587	180	1286	1166	542	1823	693	90	159	476	988	1428	1890	492	1715	1218	521	50	1959	1698	1652	1009	916	1500	1250	1794	1231	1940	1263	949	1530	600	316	613	494	1089	760	1391	1150	1736	1393	1510	1629	757	1301	147	927	794	88	130	78	934	1588	647	591	1343	1135	1063	899					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1831	32	54	23	19	12	7	64	28	15	3	10	14	0	142	60	18	50	46	0	0	5	9	9	33	46	32	24	27	0	31	20	19	0	0	0	30	10	31	60	17	16	14	21	0	45	18	22	15	42	27	200	45	40	44	11	63	0	23	2	0	0	0	18	49	15	23	16	17	14	31					
6	Число погашенных избирательных бюллетеней	17815	3	0	241	317	404	3	5	348	1431	414	713	395	120	72	774	140	127	61	0	11	19	203	463	77	462	253	258	252	0	10	282	329	500	84	375	859	196	238	0	220	35	456	179	34	242	288	389	225	67	323	64	562	450	327	132	636	3	654	1219	12	20	22	48	263	38	86	141	48	123	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4087	32	54	23	19	12	7	64	28	15	3	10	14	0	142	60	18	50	46	0	0	5	9	9	33	46	32	23	27	0	31	20	19	100	0	595	661	10	31	60	17	16	14	21	0	45	18	22	15	42	27	200	45	40	44	11	63	0	769	187	0	0	0	18	49	15	23	16	17	14	31					
8	Число бюллетеней в стационарных ящиках для голосования	69761	1465	176	636	1164	1084	1390	1931	424	554	583	1277	587	180	1286	1166	542	1823	693	90	159	476	973	1428	1890	492	1715	1212	521	50	1959	1698	1652	1009	916	1500	1250	1794	1231	1940	1263	949	1530	600	316	613	494	1089	760	1391	1150	1736	1393	1510	1629	757	1301	147	927	794	88	130	78	934	1588	647	591	1343	1135	1063	899					
9	Число недействительных избирательных бюллетеней	813	3	15	9	6	7	1	0	0	8	4	11	3	2	13	17	6	16	1	1	3	4	8	6	19	4	37	23	6	0	66	22	18	6	7	0	3	34	22	0	11	6	37	10	7	5	3	69	9	14	0	13	14	16	14	7	9	0	34	9	3	26	2	9	27	6	6	4	0	8	24					
10	Число действительных избирательных бюллетеней	73035	1494	215	650	1177	1089	1396	1995	452	561	582	1276	598	178	1415	1209	554	1857	738	89	156	477	974	1431	1904	534	1710	1212	542	50	1924	1696	1653	1103	909	2095	1908	1770	1240	2000	1269	959	1507	611	309	653	509	1042	766	1419	1177	1923	1424	1534	1659	761	1355	147	1662	972	85	104	76	943	1610	656	608	1355	1152	1069	906					
11	Число полученных открепительных  удостоверений	2999	50	0	50	50	20	50	80	80	70	20	50	20	0	20	20	20	50	20	0	0	50	20	20	20	20	80	50	20	0	20	20	30	20	70	70	70	70	70	70	60	70	70	70	0	70	50	50	70	70	70	70	50	50	50	50	50	0	70	70	0	0	0	70	50	69	70	20	80	20	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	997	4	0	10	50	9	3	59	20	14	20	47	9	0	11	11	8	12	10	0	0	10	4	5	20	5	37	12	4	0	20	20	20	20	11	15	0	61	70	61	4	3	17	11	0	14	5	7	13	13	11	27	15	17	21	6	25	0	60	0	0	0	0	4	7	1	0	5	7	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	446	2	3	0	9	1	1	4	9	6	6	0	8	7	1	1	27	1	6	0	64	3	3	1	7	3	21	45	7	0	16	7	13	2	0	0	3	3	10	15	0	0	1	8	0	4	9	8	3	3	9	1	11	5	0	15	4	0	2	16	0	0	0	1	17	0	0	0	7	6	1					
14	Число неиспользованных открепительных удостоверений	2002	46	0	40	0	11	47	21	60	56	0	3	11	0	9	9	12	38	10	0	0	40	16	15	0	15	43	38	16	0	0	0	10	0	59	55	70	9	0	9	56	67	53	59	0	56	45	43	57	57	59	43	35	33	29	44	25	0	10	70	0	0	0	66	43	68	70	15	73	14	44					
