Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Кабанская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в список"	43540	458	89	86	999	313	106	449	470	477	433	295	151	97	192	354	205	196	141	90	790	538	307	117	1435	2008	1583	1717	1528	1468	1217	222	163	327	373	656	616	1030	926	803	436	495	229	498	411	180	399	284	226	1195	1253	1272	1710	683	254	139	550	315	603	184	198	1042	1083	1170	1035	105	78	99	667	73	721	1255	1273					
2	Число полученных избирательных бюллетеней	42810	450	100	100	1000	400	120	500	500	650	450	350	200	100	200	500	300	230	150	100	900	700	300	150	1300	1800	1400	1500	1500	1400	1000	250	200	350	400	600	500	1100	800	900	400	500	200	500	400	200	400	300	260	1000	1100	1300	1800	600	250	150	600	400	500	200	200	1100	1000	1000	900	100	100	100	700	100	700	1200	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26596	280	71	66	685	205	83	336	339	418	298	241	141	87	114	309	136	175	124	55	500	300	183	103	756	987	820	802	961	755	578	162	117	187	237	365	380	616	524	510	287	348	157	417	326	150	262	201	169	710	674	722	802	335	193	118	423	293	445	176	163	498	592	652	587	86	46	86	438	57	438	837	902					
5	"Число избирательных бюллетеней, выданных вне помещения"	2436	78	0	4	117	46	12	61	60	59	50	29	8	10	32	45	29	21	14	16	60	111	0	0	29	41	23	35	28	18	43	20	11	55	0	34	20	54	62	44	23	33	18	17	27	7	18	18	12	52	31	73	23	28	5	0	33	22	24	0	19	81	54	67	110	0	21	0	77	5	33	67	59					
6	Число погашенных избирательных бюллетеней	13778	92	29	30	198	149	25	103	101	173	102	80	51	3	54	146	135	34	12	29	340	289	117	47	515	772	557	663	511	627	379	68	72	108	163	201	100	430	214	346	90	119	25	66	47	43	120	81	79	238	395	505	975	237	52	32	144	85	31	24	18	521	354	281	203	14	33	14	185	38	229	296	139					
7	Число избирательных бюллетеней в переносных ящиках	2436	78	0	4	117	46	12	61	60	59	50	29	8	10	32	45	29	21	14	16	60	111	0	0	29	41	23	35	28	18	43	20	11	55	0	34	20	54	62	44	23	33	18	17	27	7	18	18	12	52	31	73	23	28	5	0	33	22	24	0	19	81	54	67	110	0	21	0	77	5	33	67	59					
8	Число бюллетеней в стационарных ящиках для голосования	26596	280	71	66	685	205	83	336	339	418	298	241	141	87	114	309	136	175	124	55	500	300	183	103	756	987	820	802	961	755	578	162	117	187	237	365	380	616	524	510	287	348	157	417	326	150	262	201	169	710	674	722	802	335	193	118	423	293	445	176	163	498	592	652	587	86	46	86	438	57	438	837	902					
9	Число недействительных избирательных бюллетеней	445	1	0	0	23	6	3	1	5	6	10	12	3	1	4	0	3	1	1	1	7	16	8	4	6	5	30	13	17	13	12	5	3	9	2	4	4	5	7	0	1	10	3	12	10	3	10	8	6	3	6	11	23	4	6	2	9	5	0	10	1	1	5	14	6	0	0	0	1	1	4	8	11					
10	Число действительных избирательных бюллетеней	28587	357	71	70	779	245	92	396	394	471	338	258	146	96	142	354	162	195	137	70	553	395	175	99	779	1023	813	824	972	760	609	177	125	233	235	395	396	665	579	554	309	371	172	422	343	154	270	211	175	759	699	784	802	359	192	116	447	310	469	166	181	578	641	705	691	86	67	86	514	61	467	896	950					
