Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Тракторозаводская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
1	"Число избирателей, внесенных в список"	109843	2341	2425	2239	2803	2636	2545	2517	2828	1859	1947	1977	2556	2579	2182	1932	2444	2648	2100	1989	2642	2666	2617	1409	1507	2054	1906	2072	1706	1842	2443	1579	1446	1657	1987	1851	2148	891	1824	2008	1942	1519	2520	2337	1626	1297	2211	2572	1870	1977	2541	2034	2595					
2	Число полученных избирательных бюллетеней	106220	2300	2400	2200	2700	2500	2500	2500	2800	1800	1900	1900	2500	2500	2100	1720	2400	2600	2000	1900	2600	2600	2500	1300	1400	2000	1800	2000	1600	1800	2300	1500	1400	1600	1900	1800	2000	800	1800	1900	1900	1400	2500	2300	1600	1200	2200	2600	1800	1900	2500	2000	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55740	1281	1356	1230	1446	1372	1337	1399	1638	1001	1073	1073	1483	1488	1000	1171	1170	1529	1230	1087	1318	1568	1439	583	556	906	986	1002	873	921	965	760	616	760	855	984	978	372	768	733	929	609	1260	1188	759	502	1136	1392	909	968	1380	1077	1324					
5	"Число избирательных бюллетеней, выданных вне помещения"	1543	19	27	15	49	22	19	21	32	28	29	16	29	21	27	20	13	13	38	22	31	26	22	17	26	16	34	26	22	28	130	17	24	10	35	21	49	19	64	45	14	111	48	25	48	30	23	19	9	18	28	24	24					
6	Число погашенных избирательных бюллетеней	48937	1000	1017	955	1205	1106	1144	1080	1130	771	798	811	988	991	1073	529	1217	1058	732	791	1251	1006	1039	700	818	1078	780	972	705	851	1205	723	760	830	1010	795	973	409	968	1122	957	680	1192	1087	793	668	1041	1189	882	914	1092	899	1152					
7	Число избирательных бюллетеней в переносных ящиках	1543	19	27	15	49	22	19	21	32	28	29	16	29	21	27	20	13	13	38	22	31	26	22	17	26	16	34	26	22	28	130	17	24	10	35	21	49	19	64	45	14	111	48	25	48	30	23	19	9	18	28	24	24					
8	Число бюллетеней в стационарных ящиках для голосования	55710	1281	1356	1230	1446	1372	1337	1399	1638	1001	1073	1071	1483	1488	1000	1171	1170	1529	1230	1087	1318	1568	1439	583	556	906	986	1001	873	921	965	760	616	760	855	984	978	372	768	733	929	609	1260	1163	759	502	1136	1390	909	968	1380	1077	1324					
9	Число недействительных избирательных бюллетеней	517	9	7	15	14	22	11	8	12	8	11	9	11	6	5	8	7	10	8	8	7	17	14	5	14	11	19	15	5	6	8	8	6	11	10	10	10	5	5	10	9	7	12	15	4	6	7	9	13	15	15	15	5					
10	Число действительных избирательных бюллетеней	56736	1291	1376	1230	1481	1372	1345	1412	1658	1021	1091	1078	1501	1503	1022	1183	1176	1532	1260	1101	1342	1577	1447	595	568	911	1001	1012	890	943	1087	769	634	759	880	995	1017	386	827	768	934	713	1296	1173	803	526	1152	1400	905	971	1393	1086	1343					
