Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Приютненская																
																
Итоги голосования 																
																
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166					
1	"Число избирателей, внесенных в список"	8659	2397	2654	581	403	623	418	206	780	597					
2	Число полученных избирательных бюллетеней	8705	2363	2601	543	518	621	410	220	864	565					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5977	1567	2068	324	341	363	199	125	743	247					
5	"Число избирательных бюллетеней, выданных вне помещения"	1272	289	89	115	58	190	187	81	37	226					
6	Число погашенных избирательных бюллетеней	1456	507	444	104	119	68	24	14	84	92					
7	Число избирательных бюллетеней в переносных ящиках	1272	289	89	115	58	190	187	81	37	226					
8	Число бюллетеней в стационарных ящиках для голосования	5977	1567	2068	324	341	363	199	125	743	247					
9	Число недействительных избирательных бюллетеней	137	8	5	5	1	6	0	1	110	1					
10	Число действительных избирательных бюллетеней	7112	1848	2152	434	398	547	386	205	670	472					
11	Число полученных открепительных  удостоверений	265	35	55	20	55	20	20	20	20	20					
12	Число выданных открепительных удостоверений	149	25	43	4	55	3	2	12	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	5	12	2	31	1	6	3	7	5					
14	Число неиспользованных открепительных удостоверений	116	10	12	16	0	17	18	8	17	18					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	2	1	0	2	2	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	97	19	23	9	7	11	6	2	13	7					
		1.34%	1.02%	1.07%	2.05%	1.75%	1.99%	1.55%	0.97%	1.67%	1.48%					
19	. Малышкин Олег Александрович	63	16	11	2	7	4	4	1	12	6					
		0.87%	0.86%	0.51%	0.46%	1.75%	0.72%	1.04%	0.49%	1.54%	1.27%					
20	. Миронов Сергей Михайлович	17	3	5	1	0	4	2	0	0	2					
		0.23%	0.16%	0.23%	0.23%	0.00%	0.72%	0.52%	0.00%	0.00%	0.42%					
21	. Путин Владимир Владимирович	6018	1504	1879	381	331	443	316	184	560	420					
		83.02%	81.03%	87.11%	86.79%	82.96%	80.11%	81.87%	89.32%	71.79%	88.79%					
22	. Хакамада Ирина Муцуовна	86	10	9	11	14	19	4	6	5	8					
		1.19%	0.54%	0.42%	2.51%	3.51%	3.44%	1.04%	2.91%	0.64%	1.69%					
23	. Харитонов Николай Михайлович	781	283	208	26	31	62	54	12	77	28					
		10.77%	15.25%	9.64%	5.92%	7.77%	11.21%	13.99%	5.83%	9.87%	5.92%					
																
24	Против всех	50	13	17	4	8	4	0	0	3	1					
		0.69%	0.70%	0.79%	0.91%	2.01%	0.72%	0.00%	0.00%	0.38%	0.21%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
