Выборы Президента Российской Федерации																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Братская городская																																																																																																								
																																																																																																								
Итоги голосования 																																																																																																								
																																																																																																								
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №292	УИК №293	УИК №1593					
11	Число полученных открепительных  удостоверений	1650	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	25	15	20	15	14	16	15	15	15	20	20	15	15	20	15	15	20	25	15	15	25	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0	15	0	15	25	15	15	20	15	15	20	15	20	20	15	15	20	20	15	20	15	100	25	15	15	15	15	21	15	21	25	20	15	15	15	15	15	15	15	15	15	15	15	23					
12	Число выданных открепительных удостоверений	1119	3	2	14	15	6	15	7	8	13	4	12	8	11	10	4	11	17	15	16	11	10	12	12	9	15	14	17	12	15	17	8	13	14	21	11	11	23	15	14	12	4	12	11	10	9	12	13	9	10	10	9	5	0	0	3	0	3	24	8	13	17	7	6	15	12	14	16	15	11	16	19	7	16	14	69	21	10	9	13	1	16	10	16	16	14	9	2	10	5	7	5	4	15	6	9	5	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	950	3	2	11	1	7	8	9	3	0	2	7	2	4	6	4	12	6	9	5	23	6	12	2	10	17	12	8	1	4	11	2	8	2	4	3	1	9	6	6	9	7	9	3	8	3	4	16	8	4	7	8	15	78	45	6	49	5	5	11	12	12	15	9	14	6	2	1	5	15	12	5	14	6	27	29	10	16	8	6	29	10	12	9	7	11	14	13	7	11	8	12	5	3	15	3	6	3					
14	Число неиспользованных открепительных удостоверений	531	12	13	1	5	9	0	8	7	2	11	3	7	4	5	11	4	8	0	4	4	4	4	3	6	0	6	3	3	0	3	7	2	6	4	4	4	2	0	6	3	11	3	4	5	6	3	2	6	5	5	6	10	0	0	12	0	12	1	7	2	3	8	9	5	3	6	4	0	4	4	1	8	4	1	31	4	5	6	2	14	5	5	5	9	6	6	13	5	10	8	10	11	0	9	6	10	3					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																								
18	. Глазьев Сергей Юрьевич	5477	18	11	46	46	53	38	32	58	53	37	63	18	26	48	40	30	97	88	95	88	69	65	52	95	79	65	81	69	59	78	91	64	64	90	91	46	61	84	68	76	67	89	68	64	79	60	64	68	76	73	70	51	9	9	28	8	29	31	39	48	30	39	28	64	82	43	57	91	72	97	89	105	81	95	41	78	72	57	88	9	56	44	68	51	54	42	21	54	21	13	43	31	58	56	24	25	36					
		5.35%	2.78%	2.10%	3.92%	4.60%	5.39%	3.58%	3.34%	5.46%	5.25%	4.01%	5.44%	2.37%	3.13%	5.14%	5.01%	4.13%	6.32%	5.29%	5.99%	6.06%	5.31%	6.40%	5.41%	6.13%	5.20%	5.30%	6.09%	5.62%	4.65%	5.62%	7.06%	5.29%	5.24%	5.70%	5.77%	5.27%	4.72%	5.71%	4.80%	5.27%	5.12%	7.06%	6.30%	5.19%	6.69%	5.12%	5.38%	5.67%	6.67%	7.08%	5.90%	5.98%	7.56%	3.64%	4.52%	1.11%	4.93%	3.44%	5.63%	6.19%	3.84%	7.01%	4.50%	5.76%	6.39%	4.47%	4.87%	7.03%	6.70%	8.39%	6.30%	6.65%	5.77%	8.16%	2.96%	5.86%	6.34%	5.23%	6.72%	4.00%	6.33%	4.92%	5.12%	4.05%	4.23%	4.01%	5.22%	4.46%	4.17%	3.38%	6.33%	6.47%	4.83%	5.25%	4.55%	3.27%	3.51%					
