Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Староуткинская поселковая								
								
Итоги голосования 								
								
		Сумма	УИК №2602					
1	"Число избирателей, внесенных в список"	2502	2502					
2	Число полученных избирательных бюллетеней	2500	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1118	1118					
5	"Число избирательных бюллетеней, выданных вне помещения"	294	294					
6	Число погашенных избирательных бюллетеней	1088	1088					
7	Число избирательных бюллетеней в переносных ящиках	294	294					
8	Число бюллетеней в стационарных ящиках для голосования	1118	1118					
9	Число недействительных избирательных бюллетеней	30	30					
10	Число действительных избирательных бюллетеней	1382	1382					
11	Число полученных открепительных  удостоверений	150	150					
12	Число выданных открепительных удостоверений	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	14					
14	Число неиспользованных открепительных удостоверений	135	135					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	30	30					
		2.12%	2.12%					
19	. Малышкин Олег Александрович	29	29					
		2.05%	2.05%					
20	. Миронов Сергей Михайлович	6	6					
		0.42%	0.42%					
21	. Путин Владимир Владимирович	1174	1174					
		83.14%	83.14%					
22	. Хакамада Ирина Муцуовна	19	19					
		1.35%	1.35%					
23	. Харитонов Николай Михайлович	105	105					
		7.44%	7.44%					
								
24	Против всех	19	19					
		1.35%	1.35%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
