Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Новосергиевская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в список"	27007	2270	2111	1574	1397	2662	365	44	81	610	41	671	119	89	226	351	702	121	797	204	127	858	52	39	697	279	773	690	792	901	189	78	180	460	213	63	54	118	486	112	103	401	964	56	127	206	269	641	105	176	29	544	254	68	383	418	234	433					
2	Число полученных избирательных бюллетеней	27153	2270	2160	1560	1365	2674	360	45	82	630	41	680	120	88	230	355	740	124	790	210	125	860	52	40	680	280	770	690	800	900	192	79	180	460	215	64	55	120	480	103	105	410	980	56	130	205	290	640	105	175	31	520	255	67	420	425	230	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19544	1338	1063	790	785	1462	313	43	72	537	38	592	113	82	212	282	620	110	626	181	119	615	49	39	629	218	534	455	480	670	139	70	172	375	200	57	52	113	453	103	94	318	772	56	119	183	269	578	101	168	29	459	226	65	286	402	228	390					
5	"Число избирательных бюллетеней, выданных вне помещения"	653	76	74	33	25	34	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	31	16	56	34	31	15	0	0	14	0	0	0	0	0	0	0	30	41	0	5	0	0	0	0	0	0	34	8	0	77	0	0	0					
6	Число погашенных избирательных бюллетеней	6956	856	1023	737	555	1178	47	2	10	93	3	69	7	6	18	73	120	14	164	29	6	245	3	1	51	31	220	179	286	199	38	9	8	71	15	7	3	7	27	0	11	62	167	0	6	22	21	62	4	7	2	27	21	2	57	23	2	50					
7	Число избирательных бюллетеней в переносных ящиках	653	76	74	33	25	34	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	31	16	56	34	31	15	0	0	14	0	0	0	0	0	0	0	30	41	0	5	0	0	0	0	0	0	34	8	0	77	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19544	1338	1063	790	785	1462	313	43	72	537	38	592	113	82	212	282	620	110	626	181	119	615	49	39	629	218	534	455	480	670	139	70	172	375	200	57	52	113	453	103	94	318	772	56	119	183	269	578	101	168	29	459	226	65	286	402	228	390					
9	Число недействительных избирательных бюллетеней	178	20	12	6	8	10	1	0	0	8	1	7	0	0	2	12	2	0	6	0	1	3	0	0	7	4	7	1	5	5	0	1	1	0	1	1	1	1	4	0	1	3	8	1	2	2	0	6	3	2	0	1	0	0	1	6	0	4					
10	Число действительных избирательных бюллетеней	20019	1394	1125	817	802	1486	312	43	72	529	37	604	113	82	210	270	618	110	620	181	118	612	49	39	622	245	543	510	509	696	154	69	171	389	199	56	51	112	449	103	93	345	805	55	122	181	269	572	98	166	29	492	234	65	362	396	228	386					
11	Число полученных открепительных  удостоверений	498	20	20	20	20	25	5	3	5	10	3	10	5	3	5	10	10	5	15	5	5	10	3	3	15	5	15	15	15	15	5	5	5	10	5	5	5	5	10	5	5	10	15	5	5	10	10	10	5	5	3	10	5	5	10	10	5	10					
