Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Горшеченская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374					
1	"Число избирателей, внесенных в список"	16341	1695	1116	2278	376	246	128	336	104	126	390	479	136	505	170	282	142	380	155	334	655	419	720	317	312	323	250	145	242	232	401	228	474	394	483	176	88	660	444					
2	Число полученных избирательных бюллетеней	15140	1570	1024	1989	346	229	143	322	112	130	409	428	126	449	170	253	142	353	154	299	585	373	660	315	271	293	230	139	229	218	396	215	419	355	469	192	89	630	414					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9541	1005	643	1244	208	155	66	196	76	89	202	285	103	369	121	145	84	269	76	181	364	253	408	187	179	193	148	98	119	84	196	87	313	225	221	116	63	414	356					
5	"Число избирательных бюллетеней, выданных вне помещения"	3553	101	203	150	110	55	62	112	21	29	188	99	21	32	29	96	42	73	58	115	181	120	117	75	79	50	73	36	101	117	158	128	106	126	219	54	21	144	52					
6	Число погашенных избирательных бюллетеней	2046	464	178	595	28	19	15	14	15	12	19	44	2	48	20	12	16	11	20	3	40	0	135	53	13	50	9	5	9	17	42	0	0	4	29	22	5	72	6					
7	Число избирательных бюллетеней в переносных ящиках	3553	101	203	150	110	55	62	112	21	29	188	99	21	32	29	96	42	73	58	115	181	120	117	75	79	50	73	36	101	117	158	128	106	126	219	54	21	144	52					
8	Число бюллетеней в стационарных ящиках для голосования	9541	1005	643	1244	208	155	66	196	76	89	202	285	103	369	121	145	84	269	76	181	364	253	408	187	179	193	148	98	119	84	196	87	313	225	221	116	63	414	356					
9	Число недействительных избирательных бюллетеней	154	16	8	7	1	0	0	2	1	5	1	5	1	3	6	7	1	10	1	2	8	6	5	5	2	1	7	0	5	0	5	3	2	5	2	0	8	4	9					
10	Число действительных избирательных бюллетеней	12940	1090	838	1387	317	210	128	306	96	113	389	379	123	398	144	234	125	332	133	294	537	367	520	257	256	242	214	134	215	201	349	212	417	346	438	170	76	554	399					
11	Число полученных открепительных  удостоверений	220	15	5	21	5	5	5	9	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
