Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Любытинская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177					
1	"Число избирателей, внесенных в список"	9455	99	218	124	205	187	278	158	36	218	465	116	347	85	304	47	103	304	341	161	1388	2096	382	1793					
2	Число полученных избирательных бюллетеней	8890	94	213	112	200	200	250	155	38	200	450	115	300	90	300	48	99	270	300	166	1300	2000	390	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5517	70	106	73	152	107	222	126	36	154	269	73	171	76	203	45	87	133	166	94	749	1053	258	1094					
5	"Число избирательных бюллетеней, выданных вне помещения"	867	16	64	27	8	42	21	10	0	34	52	5	75	9	15	0	8	105	65	21	76	82	10	122					
6	Число погашенных избирательных бюллетеней	2506	8	43	12	40	51	7	19	2	12	129	37	54	5	82	3	4	32	69	51	475	865	122	384					
7	Число избирательных бюллетеней в переносных ящиках	867	16	64	27	8	42	21	10	0	34	52	5	75	9	15	0	8	105	65	21	76	82	10	122					
8	Число бюллетеней в стационарных ящиках для голосования	5517	70	106	73	152	107	222	126	36	154	269	73	171	76	203	45	87	133	166	94	749	1053	258	1094					
9	Число недействительных избирательных бюллетеней	22	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	2	5	1	7					
10	Число действительных избирательных бюллетеней	6362	86	170	99	160	149	242	136	36	188	319	78	246	85	217	45	95	238	229	115	823	1130	267	1209					
11	Число полученных открепительных  удостоверений	190	8	5	3	5	15	10	3	3	5	9	3	6	3	7	3	2	5	5	5	30	20	5	30					
12	Число выданных открепительных удостоверений	67	6	2	0	1	15	3	0	0	0	3	0	2	0	0	0	0	1	4	2	7	11	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	3	1	0	0	2	2	2	0	4	4	1	5	2	4	1	0	2	2	0	5	7	0	8					
14	Число неиспользованных открепительных удостоверений	123	2	3	3	4	0	7	3	3	5	6	3	4	3	7	3	2	4	1	3	23	9	1	24					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	122	2	4	4	2	2	4	0	0	4	9	5	2	3	2	0	0	3	6	1	18	27	13	11					
		1.91%	2.33%	2.35%	4.00%	1.25%	1.34%	1.65%	0.00%	0.00%	2.13%	2.80%	6.41%	0.81%	3.53%	0.92%	0.00%	0.00%	1.26%	2.60%	0.87%	2.18%	2.38%	4.85%	0.90%					
19	. Малышкин Олег Александрович	118	0	10	2	1	1	4	1	1	1	6	1	1	1	6	2	0	3	3	1	11	36	5	21					
		1.85%	0.00%	5.88%	2.00%	0.62%	0.67%	1.65%	0.74%	2.78%	0.53%	1.87%	1.28%	0.41%	1.18%	2.75%	4.44%	0.00%	1.26%	1.30%	0.87%	1.33%	3.17%	1.87%	1.73%					
20	. Миронов Сергей Михайлович	47	4	2	0	3	1	1	0	0	2	3	0	1	0	0	0	2	1	1	0	5	9	7	5					
		0.74%	4.65%	1.18%	0.00%	1.88%	0.67%	0.41%	0.00%	0.00%	1.06%	0.93%	0.00%	0.41%	0.00%	0.00%	0.00%	2.11%	0.42%	0.43%	0.00%	0.61%	0.79%	2.61%	0.41%					
21	. Путин Владимир Владимирович	5005	63	135	78	140	128	176	122	34	158	230	47	218	68	165	35	75	175	187	105	634	818	187	1027					
		78.40%	73.26%	79.41%	78.00%	87.50%	85.91%	72.43%	89.71%	94.44%	84.04%	71.65%	60.26%	88.62%	80.00%	75.69%	77.78%	78.95%	73.53%	80.95%	91.30%	76.85%	72.07%	69.78%	84.46%					
22	. Хакамада Ирина Муцуовна	109	0	2	2	1	1	6	0	0	4	13	0	6	0	3	1	0	8	5	0	13	25	7	12					
		1.71%	0.00%	1.18%	2.00%	0.62%	0.67%	2.47%	0.00%	0.00%	2.13%	4.05%	0.00%	2.44%	0.00%	1.38%	2.22%	0.00%	3.36%	2.16%	0.00%	1.58%	2.20%	2.61%	0.99%					
23	. Харитонов Николай Михайлович	872	13	16	11	13	16	48	13	1	18	55	24	18	13	38	7	18	45	23	7	126	190	41	118					
		13.66%	15.12%	9.41%	11.00%	8.12%	10.74%	19.75%	9.56%	2.78%	9.57%	17.13%	30.77%	7.32%	15.29%	17.43%	15.56%	18.95%	18.91%	9.96%	6.09%	15.27%	16.74%	15.30%	9.70%					
																														
24	Против всех	89	4	1	2	0	0	3	0	0	1	3	1	0	0	3	0	0	3	4	1	16	25	7	15					
		1.39%	4.65%	0.59%	2.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.53%	0.93%	1.28%	0.00%	0.00%	1.38%	0.00%	0.00%	1.26%	1.73%	0.87%	1.94%	2.20%	2.61%	1.23%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
