Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Большеулуйская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057					
1	"Число избирателей, внесенных в список"	6517	3003	419	157	478	140	252	290	165	613	136	276	138	60	44	236	76	34					
2	Число полученных избирательных бюллетеней	6543	2950	458	160	488	145	250	290	165	620	135	280	140	65	48	240	75	34					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3356	1322	269	93	263	86	130	173	109	352	85	112	93	36	33	131	39	30					
5	"Число избирательных бюллетеней, выданных вне помещения"	501	200	28	33	33	12	14	16	10	12	35	56	8	2	2	35	5	0					
6	Число погашенных избирательных бюллетеней	2686	1428	161	34	192	47	106	101	46	256	15	112	39	27	13	74	31	4					
7	Число избирательных бюллетеней в переносных ящиках	501	200	28	33	33	12	14	16	10	12	35	56	8	2	2	35	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	3355	1321	269	93	263	86	130	173	109	352	85	112	93	36	33	131	39	30					
9	Число недействительных избирательных бюллетеней	34	7	7	3	1	0	4	2	3	3	0	1	1	0	0	1	0	1					
10	Число действительных избирательных бюллетеней	3822	1514	290	123	295	98	140	187	116	361	120	167	100	38	35	165	44	29					
11	Число полученных открепительных  удостоверений	61	10	3	3	3	3	3	3	3	6	3	3	3	3	3	3	3	3					
12	Число выданных открепительных удостоверений	12	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	6	2	0	0	1	1	0	0	5	1	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	49	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	433	241	23	14	12	5	24	17	10	44	8	6	10	6	0	6	6	1					
		11.23%	15.84%	7.74%	11.11%	4.05%	5.10%	16.67%	8.99%	8.40%	12.09%	6.67%	3.57%	9.90%	15.79%	0.00%	3.61%	13.64%	3.33%					
19	. Малышкин Олег Александрович	117	38	20	4	2	0	5	11	5	8	1	7	2	1	1	8	1	3					
		3.03%	2.50%	6.73%	3.17%	0.68%	0.00%	3.47%	5.82%	4.20%	2.20%	0.83%	4.17%	1.98%	2.63%	2.86%	4.82%	2.27%	10.00%					
20	. Миронов Сергей Михайлович	19	6	1	0	1	1	0	4	1	0	0	0	1	1	2	1	0	0					
		0.49%	0.39%	0.34%	0.00%	0.34%	1.02%	0.00%	2.12%	0.84%	0.00%	0.00%	0.00%	0.99%	2.63%	5.71%	0.60%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2524	914	209	56	244	82	82	132	88	223	67	116	77	30	24	133	26	21					
		65.46%	60.09%	70.37%	44.44%	82.43%	83.67%	56.94%	69.84%	73.95%	61.26%	55.83%	69.05%	76.24%	78.95%	68.57%	80.12%	59.09%	70.00%					
22	. Хакамада Ирина Муцуовна	62	38	2	1	3	0	5	0	1	7	0	1	2	0	1	1	0	0					
		1.61%	2.50%	0.67%	0.79%	1.01%	0.00%	3.47%	0.00%	0.84%	1.92%	0.00%	0.60%	1.98%	0.00%	2.86%	0.60%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	605	242	34	48	32	10	22	23	10	71	42	30	7	0	5	16	10	3					
		15.69%	15.91%	11.45%	38.10%	10.81%	10.20%	15.28%	12.17%	8.40%	19.51%	35.00%	17.86%	6.93%	0.00%	14.29%	9.64%	22.73%	10.00%					
																								
24	Против всех	62	35	1	0	1	0	2	0	1	8	2	7	1	0	2	0	1	1					
		1.61%	2.30%	0.34%	0.00%	0.34%	0.00%	1.39%	0.00%	0.84%	2.20%	1.67%	4.17%	0.99%	0.00%	5.71%	0.00%	2.27%	3.33%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
