Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Дуванская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256					
1	"Число избирателей, внесенных в список"	21277	935	1400	948	585	1174	149	820	668	392	315	272	526	309	427	261	279	587	454	824	157	722	92	506	528	1020	328	160	203	236	654	826	782	307	740	416	635	752	363	525					
2	Число полученных избирательных бюллетеней	21540	950	1370	950	600	1180	150	820	700	400	320	270	570	320	450	260	290	600	450	820	160	720	90	500	520	1000	320	160	210	240	650	850	800	300	750	430	650	800	380	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19352	882	1264	918	570	1123	140	764	632	352	303	267	480	290	402	246	266	535	355	632	146	702	89	458	478	916	309	138	200	233	631	668	708	270	679	379	559	497	350	521					
5	"Число избирательных бюллетеней, выданных вне помещения"	1503	34	94	14	10	28	9	24	22	35	0	0	36	15	12	10	8	32	90	170	8	8	1	40	42	84	10	19	0	0	11	140	60	30	54	29	68	243	13	0					
6	Число погашенных избирательных бюллетеней	685	34	12	18	20	29	1	32	46	13	17	3	54	15	36	4	16	33	5	18	6	10	0	2	0	0	1	3	10	7	8	42	32	0	17	22	23	60	17	19					
7	Число избирательных бюллетеней в переносных ящиках	1503	34	94	14	10	28	9	24	22	35	0	0	36	15	12	10	8	32	90	170	8	8	1	40	42	84	10	19	0	0	11	140	60	30	54	29	68	243	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	19352	882	1264	918	570	1123	140	764	632	352	303	267	480	290	402	246	266	535	355	632	146	702	89	458	478	916	309	138	200	233	631	668	708	270	679	379	559	497	350	521					
9	Число недействительных избирательных бюллетеней	75	10	4	7	0	0	1	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	17	27	0	0	0	0	0	0	2	0	0	1					
10	Число действительных избирательных бюллетеней	20780	906	1354	925	580	1151	148	787	654	387	303	266	516	305	414	256	273	564	445	802	154	710	90	498	520	1000	319	157	183	206	642	808	768	300	733	408	625	740	363	520					
