Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Жуковская городская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602					
1	"Число избирателей, внесенных в список избирателей"	80416	2343	3085	2712	2808	2706	2427	2317	2095	2539	2210	2543	2109	2499	2141	2208	2373	2719	2257	2229	2918	2615	2126	2737	1741	2293	2460	2485	1879	2828	2094	2049	2806	2469	596					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65995	2000	2000	2000	2000	2000	2000	2000	1800	2000	2000	2000	2000	2000	1799	1807	1998	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1799	2000	2000	2000	2000	2000	792					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	42049	1197	1552	1383	1444	1307	1247	1218	948	1433	1163	1367	1073	1351	1089	1108	1088	1282	1147	1132	1462	1279	1177	1404	1711	1231	1217	1245	874	1479	1118	1032	1511	1305	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	735	16	17	17	22	26	28	23	15	26	38	23	36	18	21	27	17	19	39	20	8	5	25	32	30	16	33	27	22	31	17	4	20	17	0					
6	Число погашенных избирательных бюллетеней	23149	787	416	600	502	667	725	759	837	541	799	610	891	630	689	672	893	699	805	840	530	716	798	540	285	753	750	728	904	490	865	964	469	678	317					
7	Число избирательных бюллетеней в переносных ящиках для голосования	735	16	17	17	22	26	28	23	15	26	38	23	36	18	21	27	17	19	39	20	8	5	25	32	30	16	33	27	22	31	17	4	20	17	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41832	1197	1552	1383	1444	1303	1243	1218	947	1432	1163	1362	1073	1350	1086	1108	1088	1243	1142	1107	1462	1279	1177	1393	1640	1229	1217	1243	847	1479	1117	1021	1509	1305	473					
9	Число недействительных избирательных бюллетеней	1004	19	28	25	40	19	37	27	16	34	23	38	23	29	23	18	22	33	23	36	41	16	27	26	26	48	36	40	27	47	31	17	38	51	20					
10	Число действительных избирательных бюллетеней	41563	1194	1541	1375	1426	1310	1234	1214	946	1424	1178	1347	1086	1339	1084	1117	1083	1229	1158	1091	1429	1268	1175	1399	1644	1197	1214	1230	842	1463	1103	1008	1491	1271	453					
