Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Архангельская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
1	"Число избирателей, внесенных в список"	13999	342	374	386	248	2099	2087	516	183	295	246	198	99	189	530	485	194	655	285	478	237	202	165	463	207	139	251	429	268	138	87	102	259	81	452	290	340					
2	Число полученных избирательных бюллетеней	14281	372	391	403	249	2136	2084	537	191	322	253	196	101	188	565	522	186	665	292	480	240	202	166	453	208	139	254	433	275	138	95	103	259	81	471	287	344					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11705	325	193	349	248	1921	1821	431	117	180	217	155	54	131	349	374	155	537	222	415	213	200	145	341	154	125	247	347	194	112	82	65	238	63	380	277	328					
5	"Число избирательных бюллетеней, выданных вне помещения"	2026	17	181	33	0	136	224	66	64	115	29	18	45	55	137	111	20	102	56	56	24	2	17	112	53	14	4	81	74	26	5	30	20	18	62	7	12					
6	Число погашенных избирательных бюллетеней	550	30	17	21	1	79	39	40	10	27	7	23	2	2	79	37	11	26	14	9	3	0	4	0	1	0	3	5	7	0	8	8	1	0	29	3	4					
7	Число избирательных бюллетеней в переносных ящиках	2026	17	181	33	0	136	224	66	64	115	29	18	45	55	137	111	20	102	56	56	24	2	17	112	53	14	4	81	74	26	5	30	20	18	62	7	12					
8	Число бюллетеней в стационарных ящиках для голосования	11705	325	193	349	248	1921	1821	431	117	180	217	155	54	131	349	374	155	537	222	415	213	200	145	341	154	125	247	347	194	112	82	65	238	63	380	277	328					
9	Число недействительных избирательных бюллетеней	30	0	0	1	0	4	0	0	0	0	0	0	1	0	14	0	0	5	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	13701	342	374	381	248	2053	2045	497	181	295	246	173	98	186	472	485	175	634	275	471	236	202	162	453	207	139	251	427	268	138	87	95	258	81	442	284	340					
11	Число полученных открепительных  удостоверений	350	5	5	5	5	62	85	10	5	10	5	5	5	5	20	8	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	179	2	0	3	0	44	23	10	5	6	5	2	0	0	20	8	2	3	5	0	5	2	3	1	3	0	0	10	3	2	0	1	1	3	5	0	2					
