Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Чистопольская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896					
1	"Число избирателей, внесенных в список"	14836	708	124	289	386	266	274	500	111	235	475	544	548	593	524	157	395	308	238	175	372	272	592	116	494	213	387	243	127	396	598	467	226	230	464	508	113	394	102	467	158	532	515					
2	Число полученных избирательных бюллетеней	15400	710	120	290	390	270	280	580	110	240	480	550	580	610	540	170	410	320	250	180	370	280	600	120	510	220	400	250	130	430	620	530	230	240	470	540	120	430	110	500	160	530	530					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12656	629	120	252	294	182	271	461	104	196	412	479	453	501	439	108	353	223	171	154	335	256	499	107	449	177	359	226	116	328	407	373	216	226	436	448	90	356	89	415	119	426	401					
5	"Число избирательных бюллетеней, выданных вне помещения"	1288	24	0	26	69	69	0	39	6	35	36	47	28	50	62	36	38	57	51	20	16	15	60	5	38	23	14	15	11	37	43	50	10	3	21	60	23	22	9	34	13	26	47					
6	Число погашенных избирательных бюллетеней	1456	57	0	12	27	19	9	80	0	9	32	24	99	59	39	26	19	40	28	6	19	9	41	8	23	20	27	9	3	65	170	107	4	11	13	32	7	52	12	51	28	78	82					
7	Число избирательных бюллетеней в переносных ящиках	1288	24	0	26	69	69	0	39	6	35	36	47	28	50	62	36	38	57	51	20	16	15	60	5	38	23	14	15	11	37	43	50	10	3	21	60	23	22	9	34	13	26	47					
8	Число бюллетеней в стационарных ящиках для голосования	12656	629	120	252	294	182	271	461	104	196	412	479	453	501	439	108	353	223	171	154	335	256	499	107	449	177	359	226	116	328	407	373	216	226	436	448	90	356	89	415	119	426	401					
9	Число недействительных избирательных бюллетеней	98	5	0	4	0	3	0	0	1	7	6	3	8	5	6	1	0	0	3	0	2	0	0	5	5	1	0	3	0	2	2	6	0	0	9	0	0	5	0	3	3	0	0					
10	Число действительных избирательных бюллетеней	13846	648	120	274	363	248	271	500	109	224	442	523	473	546	495	143	391	280	219	174	349	271	559	107	482	199	373	238	127	363	448	417	226	229	448	508	113	373	98	446	129	452	448					
11	Число полученных открепительных  удостоверений	500	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11					
12	Число выданных открепительных удостоверений	186	6	1	2	6	4	2	2	1	4	3	2	12	3	4	0	9	1	1	0	1	0	2	0	11	1	3	2	1	12	12	12	4	4	3	11	3	12	1	11	0	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	3	4	4	5	4	1	6	3	6	3	4	0	3	10	0	4	3	1	2	6	3	3	2	3	4	1	5	2	1	4	3	4	1	2	4	8	4	2	11	3	2	1					
