Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Ельнинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
1	"Число избирателей, внесенных в список"	13863	2228	1055	2459	1232	1827	199	154	184	207	249	540	205	327	184	364	156	204	360	313	254	117	233	320	162	203	127					
2	Число полученных избирательных бюллетеней	13874	2190	1097	2454	1268	1776	205	159	189	208	248	546	202	335	182	362	159	211	357	311	250	122	221	320	163	211	128					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6413	1024	527	999	455	955	95	70	98	100	131	333	91	107	57	167	79	105	147	165	107	34	105	190	85	129	58					
5	"Число избирательных бюллетеней, выданных вне помещения"	1796	104	69	73	132	18	48	26	45	80	46	76	56	124	72	99	51	64	110	78	87	47	78	88	47	38	40					
6	Число погашенных избирательных бюллетеней	5665	1062	501	1382	681	803	62	63	46	28	71	137	55	104	53	96	29	42	100	68	56	41	38	42	31	44	30					
7	Число избирательных бюллетеней в переносных ящиках	1796	104	69	73	132	18	48	26	45	80	46	76	56	124	72	99	51	64	110	78	87	47	78	88	47	38	40					
8	Число бюллетеней в стационарных ящиках для голосования	6409	1024	527	995	455	955	95	70	98	100	131	333	91	107	57	167	79	105	147	165	107	34	105	190	85	129	58					
9	Число недействительных избирательных бюллетеней	41	9	4	6	3	0	1	0	0	0	1	2	0	3	2	1	0	0	0	0	3	0	0	2	1	0	3					
10	Число действительных избирательных бюллетеней	8164	1119	592	1062	584	973	142	96	143	180	176	407	147	228	127	265	130	169	257	243	191	81	183	276	131	167	95					
11	Число полученных открепительных  удостоверений	435	25	15	15	15	50	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	67	17	1	7	2	26	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	11	1	2	0	18	0	0	1	0	2	1	1	1	0	0	0	0	0	1	6	0	5	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	368	8	14	8	13	24	12	13	14	15	15	15	15	15	15	14	15	15	15	15	15	14	15	15	14	13	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	194	42	16	39	8	31	5	0	0	0	1	8	1	2	2	11	1	1	4	9	2	0	0	2	1	5	3					
		2.36%	3.72%	2.68%	3.65%	1.36%	3.19%	3.50%	0.00%	0.00%	0.00%	0.56%	1.96%	0.68%	0.87%	1.55%	4.14%	0.77%	0.59%	1.56%	3.70%	1.03%	0.00%	0.00%	0.72%	0.76%	2.99%	3.06%					
19	. Малышкин Олег Александрович	197	20	12	22	19	31	4	4	4	15	3	5	5	3	3	11	1	0	11	1	5	0	6	2	3	6	1					
		2.40%	1.77%	2.01%	2.06%	3.24%	3.19%	2.80%	4.17%	2.80%	8.33%	1.69%	1.22%	3.40%	1.30%	2.33%	4.14%	0.77%	0.00%	4.28%	0.41%	2.58%	0.00%	3.28%	0.72%	2.27%	3.59%	1.02%					
20	. Миронов Сергей Михайлович	55	8	4	7	3	5	1	2	0	3	2	1	0	1	1	5	0	2	4	1	0	2	0	2	0	0	1					
		0.67%	0.71%	0.67%	0.66%	0.51%	0.51%	0.70%	2.08%	0.00%	1.67%	1.13%	0.24%	0.00%	0.43%	0.78%	1.88%	0.00%	1.18%	1.56%	0.41%	0.00%	2.47%	0.00%	0.72%	0.00%	0.00%	1.02%					
21	. Путин Владимир Владимирович	4923	593	277	664	343	658	82	66	93	105	94	254	105	161	75	177	79	69	186	125	112	55	87	187	89	115	72					
		60.00%	52.57%	46.48%	62.17%	58.43%	67.63%	57.34%	68.75%	65.03%	58.33%	53.11%	62.10%	71.43%	69.70%	58.14%	66.54%	60.77%	40.83%	72.37%	51.44%	57.73%	67.90%	47.54%	67.27%	67.42%	68.86%	73.47%					
22	. Хакамада Ирина Муцуовна	156	40	9	14	10	39	0	0	1	2	0	6	0	7	1	5	2	0	1	4	1	1	1	4	4	3	1					
		1.90%	3.55%	1.51%	1.31%	1.70%	4.01%	0.00%	0.00%	0.70%	1.11%	0.00%	1.47%	0.00%	3.03%	0.78%	1.88%	1.54%	0.00%	0.39%	1.65%	0.52%	1.23%	0.55%	1.44%	3.03%	1.80%	1.02%					
23	. Харитонов Николай Михайлович	2328	374	198	278	173	149	47	21	41	53	75	130	32	54	41	47	43	95	50	101	65	21	86	69	34	36	15					
		28.37%	33.16%	33.22%	26.03%	29.47%	15.31%	32.87%	21.88%	28.67%	29.44%	42.37%	31.78%	21.77%	23.38%	31.78%	17.67%	33.08%	56.21%	19.46%	41.56%	33.51%	25.93%	46.99%	24.82%	25.76%	21.56%	15.31%					
																																	
24	Против всех	311	42	76	38	28	60	3	3	4	2	1	3	4	0	4	9	4	2	1	2	6	2	3	10	0	2	2					
