Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Дедовичская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253					
1	"Число избирателей, внесенных в список"	14149	2722	2568	2724	150	411	312	694	310	397	593	342	318	390	234	483	406	357	565	173					
2	Число полученных избирательных бюллетеней	12750	2450	2350	2430	137	370	280	625	270	346	538	313	283	350	210	435	365	322	517	159					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6621	1200	1421	1411	99	272	152	198	84	157	265	131	96	151	119	216	87	107	382	73					
5	"Число избирательных бюллетеней, выданных вне помещения"	1974	60	14	83	23	36	99	198	143	155	165	147	161	140	28	133	197	131	0	61					
6	Число погашенных избирательных бюллетеней	4155	1190	915	936	15	62	29	229	43	34	108	35	26	59	63	86	81	84	135	25					
7	Число избирательных бюллетеней в переносных ящиках	1974	60	14	83	23	36	99	198	143	155	165	147	161	140	28	133	197	131	0	61					
8	Число бюллетеней в стационарных ящиках для голосования	6620	1200	1421	1410	99	272	152	198	84	157	265	131	96	151	119	216	87	107	382	73					
9	Число недействительных избирательных бюллетеней	57	20	12	9	0	0	4	0	0	3	2	1	2	0	1	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	8537	1240	1423	1484	122	308	247	396	227	309	428	277	255	291	146	346	284	238	382	134					
11	Число полученных открепительных  удостоверений	205	37	36	36	4	6	5	9	5	6	8	6	5	6	5	7	6	6	8	4					
12	Число выданных открепительных удостоверений	50	11	16	8	0	1	0	0	2	2	2	1	0	0	0	1	0	2	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	6	8	4	0	0	3	2	2	2	2	2	0	0	1	0	1	4	0	0					
14	Число неиспользованных открепительных удостоверений	155	26	20	28	4	5	5	9	3	4	6	5	5	6	5	6	6	4	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	181	19	77	43	0	3	3	9	3	4	5	3	0	4	2	0	1	1	4	0					
		2.11%	1.51%	5.37%	2.88%	0.00%	0.97%	1.20%	2.27%	1.32%	1.28%	1.16%	1.08%	0.00%	1.37%	1.36%	0.00%	0.35%	0.42%	1.05%	0.00%					
19	. Малышкин Олег Александрович	155	25	24	35	0	5	3	10	2	7	4	7	5	7	2	3	3	2	10	1					
		1.80%	1.98%	1.67%	2.34%	0.00%	1.62%	1.20%	2.53%	0.88%	2.24%	0.93%	2.52%	1.95%	2.41%	1.36%	0.86%	1.06%	0.84%	2.62%	0.75%					
20	. Миронов Сергей Михайлович	81	15	21	10	3	3	3	8	0	2	3	0	2	3	2	3	1	1	1	0					
		0.94%	1.19%	1.46%	0.67%	2.46%	0.97%	1.20%	2.02%	0.00%	0.64%	0.70%	0.00%	0.78%	1.03%	1.36%	0.86%	0.35%	0.42%	0.26%	0.00%					
21	. Путин Владимир Владимирович	6232	869	975	1039	97	242	199	296	195	236	301	196	221	212	122	288	237	188	211	108					
		72.52%	68.97%	67.94%	69.59%	79.51%	78.57%	79.28%	74.75%	85.90%	75.64%	70.00%	70.50%	85.99%	72.85%	82.99%	82.52%	83.45%	78.99%	55.24%	80.60%					
22	. Хакамада Ирина Муцуовна	215	27	64	51	1	8	8	4	2	6	0	2	5	3	2	4	6	7	15	0					
		2.50%	2.14%	4.46%	3.42%	0.82%	2.60%	3.19%	1.01%	0.88%	1.92%	0.00%	0.72%	1.95%	1.03%	1.36%	1.15%	2.11%	2.94%	3.93%	0.00%					
23	. Харитонов Николай Михайлович	1452	263	188	241	19	44	29	60	25	48	108	63	22	56	14	47	35	37	130	23					
		16.90%	20.87%	13.10%	16.14%	15.57%	14.29%	11.55%	15.15%	11.01%	15.38%	25.12%	22.66%	8.56%	19.24%	9.52%	13.47%	12.32%	15.55%	34.03%	17.16%					
																										
24	Против всех	221	22	74	65	2	3	2	9	0	6	7	6	0	6	2	1	1	2	11	2					
		2.57%	1.75%	5.16%	4.35%	1.64%	0.97%	0.80%	2.27%	0.00%	1.92%	1.63%	2.16%	0.00%	2.06%	1.36%	0.29%	0.35%	0.84%	2.88%	1.49%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
