Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Кайтагская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547					
1	"Число избирателей, внесенных в список"	16761	542	237	104	1258	212	176	66	777	1002	479	590	208	123	433	324	237	127	128	86	820	244	137	44	680	2013	1161	247	458	924	611	673	152	150	230	630	292	186					
2	Число полученных избирательных бюллетеней	16140	530	220	90	1200	180	180	70	750	1000	480	590	200	110	430	320	220	120	120	80	820	240	130	40	650	2000	1100	240	400	920	600	650	130	150	230	550	250	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15817	524	177	90	1168	180	176	66	750	975	473	590	196	110	424	320	216	103	118	80	805	240	130	40	621	1973	1100	240	398	858	600	638	130	147	226	550	240	145					
5	"Число избирательных бюллетеней, выданных вне помещения"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	322	6	43	0	32	0	4	4	0	25	7	0	4	0	6	0	4	17	2	0	15	0	0	0	29	26	0	0	2	62	0	12	0	3	4	0	10	5					
7	Число избирательных бюллетеней в переносных ящиках	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	15817	524	177	90	1168	180	176	66	750	975	473	590	196	110	424	320	216	103	118	80	805	240	130	40	621	1973	1100	240	398	858	600	638	130	147	226	550	240	145					
9	Число недействительных избирательных бюллетеней	40	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	4	0	0	26	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	15778	521	175	90	1168	180	176	66	750	975	473	590	196	110	424	320	216	103	118	80	802	240	130	40	619	1974	1096	240	398	832	600	638	130	147	226	550	240	145					
