Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Гагинская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №2500					
1	"Число избирателей, внесенных в список"	11226	899	917	923	296	110	180	114	214	274	281	139	296	93	80	542	102	266	485	97	111	132	326	159	152	278	50	64	485	163	59	303	192	72	296	171	223	605	158	407	512					
2	Число полученных избирательных бюллетеней	10433	807	825	867	269	117	178	114	206	240	273	128	292	94	79	484	109	262	439	94	112	131	287	143	134	250	50	65	453	148	61	287	177	77	273	165	207	545	152	366	473					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7475	531	601	522	187	80	113	79	176	222	209	93	184	80	69	329	27	172	324	82	99	116	202	131	133	202	47	52	309	140	55	213	126	53	190	99	141	375	100	245	367					
5	"Число избирательных бюллетеней, выданных вне помещения"	1017	35	9	33	27	24	36	5	15	17	42	25	91	12	10	77	62	28	22	0	0	2	40	0	0	33	0	7	67	0	0	46	47	14	37	33	20	15	19	51	16					
6	Число погашенных избирательных бюллетеней	1941	241	215	312	55	13	29	30	15	1	22	10	17	2	0	78	20	62	93	12	13	13	45	12	1	15	3	6	77	8	6	28	4	10	46	33	46	155	33	70	90					
7	Число избирательных бюллетеней в переносных ящиках	1017	35	9	33	27	24	36	5	15	17	42	25	91	12	10	77	62	28	22	0	0	2	40	0	0	33	0	7	67	0	0	46	47	14	37	33	20	15	19	51	16					
8	Число бюллетеней в стационарных ящиках для голосования	7475	531	601	522	187	80	113	79	176	222	209	93	184	80	69	329	27	172	324	82	99	116	202	131	133	202	47	52	309	140	55	213	126	53	190	99	141	375	100	245	367					
9	Число недействительных избирательных бюллетеней	77	2	4	0	4	0	1	2	3	4	4	1	8	0	3	2	0	3	3	0	0	0	1	0	9	0	0	0	4	2	1	1	1	0	4	1	1	1	0	2	5					
10	Число действительных избирательных бюллетеней	8415	564	606	555	210	104	148	82	188	235	247	117	267	92	76	404	89	197	343	82	99	118	241	131	124	235	47	59	372	138	54	258	172	67	223	131	160	389	119	294	378					
11	Число полученных открепительных  удостоверений	341	14	50	25	8	2	5	2	5	7	13	3	8	2	2	19	6	8	10	2	2	3	7	2	2	8	2	2	36	3	2	12	5	4	8	2	7	15	5	8	15					
12	Число выданных открепительных удостоверений	167	7	32	15	0	0	2	0	2	1	10	1	6	2	1	17	5	3	2	0	0	0	0	0	0	6	0	0	11	0	0	12	1	4	2	2	2	3	5	3	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	8	5	0	2	3	2	1	3	0	0	0	3	1	4	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	3	5	1	1	1	1	2	3	2	1					
14	Число неиспользованных открепительных удостоверений	174	7	18	10	8	2	3	2	3	6	3	2	2	0	1	2	1	5	8	2	2	3	7	2	2	2	2	2	25	3	2	0	4	0	6	0	5	12	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
