Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Кузнецкая																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
1	"Число избирателей, внесенных в список"	31168	1388	161	223	1187	972	1818	1582	1798	1663	1030	168	530	161	1683	605	336	1163	304	1216	1262	69	1005	490	613	1162	404	71	466	77	100	631	222	121	559	421	186	357	1477	791	981	1715					
2	Число полученных избирательных бюллетеней	29809	1300	172	220	1100	900	1600	1500	1700	1600	1000	170	500	167	1600	600	320	1100	280	1200	1200	82	1000	480	600	1100	380	70	450	77	102	600	200	122	550	400	177	350	1400	770	970	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19250	947	105	144	884	677	1173	861	1016	773	575	130	380	71	908	312	208	671	193	653	624	69	687	324	451	802	281	35	348	58	88	390	153	83	397	247	131	241	774	493	570	1323					
5	"Число избирательных бюллетеней, выданных вне помещения"	2799	72	34	46	12	12	34	266	149	140	149	20	79	75	114	74	48	168	21	117	100	0	69	30	40	89	23	23	72	15	11	107	26	28	107	74	19	40	145	42	43	66					
6	Число погашенных избирательных бюллетеней	7760	281	33	30	204	211	393	373	535	687	276	20	41	21	578	214	64	261	66	430	476	13	244	126	109	209	76	12	30	4	3	103	21	11	46	79	27	69	481	235	357	311					
7	Число избирательных бюллетеней в переносных ящиках	2799	72	34	46	12	12	34	266	149	140	149	20	79	75	114	74	48	168	21	117	100	0	69	30	40	89	23	23	72	15	11	107	26	28	107	74	19	40	145	42	43	66					
8	Число бюллетеней в стационарных ящиках для голосования	19245	947	105	144	884	677	1173	861	1016	773	575	130	380	71	908	312	208	671	193	653	624	69	687	324	451	802	281	35	348	58	88	390	153	83	397	247	131	236	774	493	570	1323					
9	Число недействительных избирательных бюллетеней	199	6	0	2	5	6	27	9	5	13	3	4	1	0	3	4	0	17	3	7	4	0	3	4	1	15	2	0	2	0	3	5	0	0	3	0	2	2	5	10	13	10					
10	Число действительных избирательных бюллетеней	21845	1013	139	188	891	683	1180	1118	1160	900	721	146	458	146	1019	382	256	822	211	763	720	69	753	350	490	876	302	58	418	73	96	492	179	111	501	321	148	274	914	525	600	1379					
11	Число полученных открепительных  удостоверений	450	10	5	5	15	15	15	15	15	15	10	5	10	5	15	5	10	20	5	15	10	5	10	3	7	15	5	5	5	5	5	10	5	5	10	5	5	5	15	10	10	85					
12	Число выданных открепительных удостоверений	184	3	0	5	3	3	0	8	8	7	3	1	3	1	6	1	0	18	5	8	5	5	5	2	3	1	1	0	3	1	0	3	0	0	5	1	0	3	7	3	5	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	15	1	3	1	2	2	3	0	2	16	1	3	1	5	4	2	6	2	1	4	5	2	5	4	1	1	4	3	1	1	0	1	0	1	3	1	2	3	1	1	8					
14	Число неиспользованных открепительных удостоверений	266	7	5	0	12	12	15	7	7	8	7	4	7	4	9	4	10	2	0	7	5	0	5	1	4	14	4	5	2	4	5	7	5	5	5	4	5	2	8	7	5	37					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
