Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Шемуршинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969					
1	"Число избирателей, внесенных в список"	11584	1888	746	345	48	69	287	503	72	416	765	370	349	992	46	582	210	675	288	1156	369	668	589	50	101					
2	Число полученных избирательных бюллетеней	11470	1900	750	340	49	68	280	500	72	410	750	370	350	1000	45	550	200	670	310	1100	370	660	570	52	104					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9764	1545	659	300	48	68	255	420	58	377	637	280	282	825	45	507	166	572	253	933	329	583	479	48	95					
5	"Число избирательных бюллетеней, выданных вне помещения"	1082	99	47	19	0	0	21	78	14	31	93	74	56	75	0	42	32	69	28	114	21	72	89	2	6					
6	Число погашенных избирательных бюллетеней	624	256	44	21	1	0	4	2	0	2	20	16	12	100	0	1	2	29	29	53	20	5	2	2	3					
7	Число избирательных бюллетеней в переносных ящиках	1082	99	47	19	0	0	21	78	14	31	93	74	56	75	0	42	32	69	28	114	21	72	89	2	6					
8	Число бюллетеней в стационарных ящиках для голосования	9764	1545	659	300	48	68	255	420	58	377	637	280	282	825	45	507	166	572	253	933	329	583	479	48	95					
9	Число недействительных избирательных бюллетеней	243	12	7	21	2	0	0	16	0	8	27	7	6	27	1	11	4	22	12	12	3	19	24	2	0					
10	Число действительных избирательных бюллетеней	10603	1632	699	298	46	68	276	482	72	400	703	347	332	873	44	538	194	619	269	1035	347	636	544	48	101					
11	Число полученных открепительных  удостоверений	435	80	35	10	5	5	10	25	5	10	20	10	10	40	5	10	10	20	30	30	20	20	15	5	5					
12	Число выданных открепительных удостоверений	293	80	30	7	2	0	6	17	0	2	15	8	1	36	0	3	1	11	29	8	14	5	15	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	14	2	2	3	0	4	2	3	2	4	1	1	3	3	3	1	5	3	2	3	6	4	3	0					
14	Число неиспользованных открепительных удостоверений	142	0	5	3	3	5	4	8	5	8	5	2	9	4	5	7	9	9	1	22	6	15	0	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	95	18	11	2	0	0	4	1	1	4	13	5	2	4	0	6	5	3	4	6	2	1	2	1	0					
		0.88%	1.09%	1.56%	0.63%	0.00%	0.00%	1.45%	0.20%	1.39%	0.98%	1.78%	1.41%	0.59%	0.44%	0.00%	1.09%	2.53%	0.47%	1.42%	0.57%	0.57%	0.15%	0.35%	2.00%	0.00%					
19	. Малышкин Олег Александрович	119	26	14	2	0	1	7	0	3	7	20	4	2	2	0	6	1	5	2	8	1	5	3	0	0					
		1.10%	1.58%	1.98%	0.63%	0.00%	1.47%	2.54%	0.00%	4.17%	1.72%	2.74%	1.13%	0.59%	0.22%	0.00%	1.09%	0.51%	0.78%	0.71%	0.76%	0.29%	0.76%	0.53%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	49	13	4	1	0	0	0	0	1	0	7	2	1	1	0	2	0	2	0	10	0	3	2	0	0					
