Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Усть-Майская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626					
1	"Число избирателей, внесенных в список"	7388	242	276	614	88	695	862	606	869	414	109	248	361	50	825	534	112	309	174					
2	Число полученных избирательных бюллетеней	7283	285	288	602	90	652	701	534	859	453	116	291	370	52	778	545	138	350	179					
3	"Число избирательных бюллетеней, выданных  досрочно"	222	119	13	6	4	0	21	0	0	0	0	5	2	2	10	0	0	40	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5418	116	185	507	73	459	484	378	607	295	77	211	308	45	732	466	110	246	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	754	0	58	53	6	75	66	90	140	85	22	20	25	2	36	39	0	15	22					
6	Число погашенных избирательных бюллетеней	889	50	32	36	7	118	130	66	112	73	17	55	35	3	0	40	28	49	38					
7	Число избирательных бюллетеней в переносных ящиках	976	119	71	59	10	75	87	90	140	85	22	25	27	4	46	39	0	55	22					
8	Число бюллетеней в стационарных ящиках для голосования	5418	116	185	507	73	459	484	378	607	295	77	211	308	45	732	466	110	246	119					
9	Число недействительных избирательных бюллетеней	53	2	3	3	0	7	3	5	5	3	0	2	7	0	4	5	0	1	3					
10	Число действительных избирательных бюллетеней	6341	233	253	563	83	527	568	463	742	377	99	234	328	49	774	500	110	300	138					
11	Число полученных открепительных  удостоверений	300	5	10	24	5	30	30	30	25	25	15	15	15	5	18	18	15	5	10					
12	Число выданных открепительных удостоверений	139	0	1	14	5	14	15	16	12	7	6	15	10	2	13	6	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	3	2	6	0	8	6	6	5	4	0	5	2	1	7	1	1	7	4					
14	Число неиспользованных открепительных удостоверений	161	5	9	10	0	16	15	14	13	18	9	0	5	3	5	12	15	2	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	146	1	6	13	1	19	15	11	22	6	3	12	5	0	18	9	0	3	2					
		2.28%	0.43%	2.34%	2.30%	1.20%	3.56%	2.63%	2.35%	2.95%	1.58%	3.03%	5.08%	1.49%	0.00%	2.31%	1.78%	0.00%	1.00%	1.42%					
19	. Малышкин Олег Александрович	133	4	2	2	0	11	8	10	20	22	1	2	2	2	8	32	1	6	0					
		2.08%	1.70%	0.78%	0.35%	0.00%	2.06%	1.40%	2.14%	2.68%	5.79%	1.01%	0.85%	0.60%	4.08%	1.03%	6.34%	0.91%	1.99%	0.00%					
20	. Миронов Сергей Михайлович	38	0	2	5	0	4	6	2	4	0	2	1	3	0	4	2	0	2	1					
		0.59%	0.00%	0.78%	0.88%	0.00%	0.75%	1.05%	0.43%	0.54%	0.00%	2.02%	0.42%	0.90%	0.00%	0.51%	0.40%	0.00%	0.66%	0.71%					
21	. Путин Владимир Владимирович	5007	212	208	407	69	381	390	365	633	307	79	176	238	35	651	375	90	270	121					
		78.31%	90.21%	81.25%	71.91%	83.13%	71.35%	68.30%	77.99%	84.74%	80.79%	79.80%	74.58%	71.04%	71.43%	83.68%	74.26%	81.82%	89.70%	85.82%					
22	. Хакамада Ирина Муцуовна	232	2	5	16	1	16	46	16	13	4	4	15	34	5	27	9	6	9	4					
		3.63%	0.85%	1.95%	2.83%	1.20%	3.00%	8.06%	3.42%	1.74%	1.05%	4.04%	6.36%	10.15%	10.20%	3.47%	1.78%	5.45%	2.99%	2.84%					
23	. Харитонов Николай Михайлович	641	8	27	107	10	76	84	56	36	28	8	27	43	6	48	51	13	5	8					
		10.03%	3.40%	10.55%	18.90%	12.05%	14.23%	14.71%	11.97%	4.82%	7.37%	8.08%	11.44%	12.84%	12.24%	6.17%	10.10%	11.82%	1.66%	5.67%					
																									
24	Против всех	144	6	3	13	2	20	19	3	14	10	2	1	3	1	18	22	0	5	2					
		2.25%	2.55%	1.17%	2.30%	2.41%	3.75%	3.33%	0.64%	1.87%	2.63%	2.02%	0.42%	0.90%	2.04%	2.31%	4.36%	0.00%	1.66%	1.42%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
