Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Степновская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154					
1	"Число избирателей, внесенных в список"	14754	775	328	783	271	156	1143	340	2724	132	1126	700	1979	1426	1317	1173	381					
2	Число полученных избирательных бюллетеней	15678	843	340	835	270	183	1180	357	2845	142	1188	710	2120	1570	1435	1255	405					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8606	633	257	478	183	107	698	261	1195	109	707	411	1096	1014	634	514	309					
5	"Число избирательных бюллетеней, выданных вне помещения"	1108	0	0	52	15	21	69	0	270	4	46	48	120	120	150	193	0					
6	Число погашенных избирательных бюллетеней	5964	210	83	305	72	55	413	96	1380	29	435	251	904	436	651	548	96					
7	Число избирательных бюллетеней в переносных ящиках	1108	0	0	52	15	21	69	0	270	4	46	48	120	120	150	193	0					
8	Число бюллетеней в стационарных ящиках для голосования	8605	633	257	478	182	107	698	261	1195	109	707	411	1096	1014	634	514	309					
9	Число недействительных избирательных бюллетеней	81	0	6	2	1	0	4	0	9	0	5	3	19	5	8	16	3					
10	Число действительных избирательных бюллетеней	9632	633	251	528	196	128	763	261	1456	113	748	456	1197	1129	776	691	306					
11	Число полученных открепительных  удостоверений	194	10	5	10	5	5	10	5	34	5	10	10	20	20	20	20	5					
12	Число выданных открепительных удостоверений	120	0	0	7	1	0	10	1	34	4	10	7	10	16	11	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	0	2	0	0	2	0	3	2	0	0	0	7	4	2	0					
14	Число неиспользованных открепительных удостоверений	74	10	5	3	4	5	0	4	0	1	0	3	10	4	9	12	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	221	4	0	4	2	1	19	4	19	0	17	4	34	36	31	28	18					
		2.28%	0.63%	0.00%	0.75%	1.02%	0.78%	2.48%	1.53%	1.30%	0.00%	2.26%	0.87%	2.80%	3.17%	3.95%	3.96%	5.83%					
19	. Малышкин Олег Александрович	247	4	3	19	6	1	7	3	33	4	31	29	60	16	11	19	1					
		2.54%	0.63%	1.17%	3.58%	3.05%	0.78%	0.91%	1.15%	2.25%	3.54%	4.12%	6.32%	4.93%	1.41%	1.40%	2.69%	0.32%					
20	. Миронов Сергей Михайлович	52	0	1	3	0	1	7	1	12	1	1	1	5	5	9	4	1					
		0.54%	0.00%	0.39%	0.57%	0.00%	0.78%	0.91%	0.38%	0.82%	0.88%	0.13%	0.22%	0.41%	0.44%	1.15%	0.57%	0.32%					
21	. Путин Владимир Владимирович	6265	258	150	399	163	83	554	216	978	93	510	336	807	730	420	458	110					
		64.50%	40.76%	58.37%	75.28%	82.74%	64.84%	72.23%	82.76%	66.76%	82.30%	67.73%	73.20%	66.37%	64.37%	53.57%	64.78%	35.60%					
22	. Хакамада Ирина Муцуовна	140	6	7	4	1	4	8	0	33	0	22	2	6	26	13	7	1					
		1.44%	0.95%	2.72%	0.75%	0.51%	3.12%	1.04%	0.00%	2.25%	0.00%	2.92%	0.44%	0.49%	2.29%	1.66%	0.99%	0.32%					
23	. Харитонов Николай Михайлович	2517	357	90	93	19	33	155	34	355	14	157	82	267	276	274	141	170					
		25.91%	56.40%	35.02%	17.55%	9.64%	25.78%	20.21%	13.03%	24.23%	12.39%	20.85%	17.86%	21.96%	24.34%	34.95%	19.94%	55.02%					
																							
24	Против всех	190	4	0	6	5	5	13	3	26	1	10	2	18	40	18	34	5					
		1.96%	0.63%	0.00%	1.13%	2.54%	3.91%	1.69%	1.15%	1.77%	0.88%	1.33%	0.44%	1.48%	3.53%	2.30%	4.81%	1.62%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
