Выборы Президента Российской Федерации																										
																										
"Наименование Избирательной комиссии:    Киров, Нововятская"																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в список"	36580	1012	722	2081	2426	1735	2426	2291	2550	2298	1700	2401	2073	2505	2398	1923	1870	1856	2117	196					
2	Число полученных избирательных бюллетеней	34600	1000	700	2000	2300	1600	2300	2100	2400	2100	1600	2300	2000	2300	2300	1800	1800	1800	2000	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19579	368	417	1166	1350	827	1232	1429	1420	1246	768	1283	1056	1328	1322	1012	1045	981	1137	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	801	173	77	11	41	65	14	47	38	47	87	25	34	18	64	14	18	11	13	4					
6	Число погашенных избирательных бюллетеней	14220	459	206	823	909	708	1054	624	942	807	745	992	910	954	914	774	737	808	850	4					
7	Число избирательных бюллетеней в переносных ящиках	800	173	77	11	41	65	14	47	38	47	87	25	34	18	63	14	18	11	13	4					
8	Число бюллетеней в стационарных ящиках для голосования	19575	368	417	1166	1350	827	1230	1429	1420	1246	768	1283	1056	1327	1321	1012	1045	981	1137	192					
9	Число недействительных избирательных бюллетеней	134	5	2	11	15	7	7	5	8	7	4	10	5	8	12	5	8	5	10	0					
10	Число действительных избирательных бюллетеней	20241	536	492	1166	1376	885	1237	1471	1450	1286	851	1298	1085	1337	1372	1021	1055	987	1140	196					
11	Число полученных открепительных  удостоверений	275	15	15	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	0					
12	Число выданных открепительных удостоверений	171	4	2	11	12	5	20	12	6	8	13	11	5	5	12	12	10	13	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	9	7	10	5	4	14	13	13	13	2	4	1	7	8	8	14	7	7	1					
14	Число неиспользованных открепительных удостоверений	104	11	13	4	3	10	0	3	9	7	2	4	10	10	3	3	5	2	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	0	0	0	4	4	0	0	1	0	2	2	0	1	0	2	1	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	980	26	32	60	55	35	59	73	71	67	21	60	48	63	78	51	46	48	77	10					
		4.81%	4.81%	6.48%	5.10%	3.95%	3.92%	4.74%	4.95%	4.87%	5.18%	2.46%	4.59%	4.40%	4.68%	5.64%	4.97%	4.33%	4.84%	6.70%	5.10%					
19	. Малышкин Олег Александрович	586	21	12	32	45	28	34	30	42	26	36	41	35	39	34	36	30	28	29	8					
		2.88%	3.88%	2.43%	2.72%	3.24%	3.14%	2.73%	2.03%	2.88%	2.01%	4.21%	3.13%	3.21%	2.90%	2.46%	3.51%	2.82%	2.82%	2.52%	4.08%					
20	. Миронов Сергей Михайлович	204	3	6	12	17	7	11	8	13	14	6	22	7	18	15	11	10	7	13	4					
		1.00%	0.55%	1.21%	1.02%	1.22%	0.78%	0.88%	0.54%	0.89%	1.08%	0.70%	1.68%	0.64%	1.34%	1.08%	1.07%	0.94%	0.71%	1.13%	2.04%					
21	. Путин Владимир Владимирович	13291	372	332	715	861	618	798	896	941	837	584	879	708	876	910	707	730	665	739	123					
		65.23%	68.76%	67.21%	60.75%	61.90%	69.28%	64.15%	60.70%	64.54%	64.73%	68.30%	67.20%	64.95%	65.13%	65.75%	68.91%	68.67%	67.04%	64.26%	62.76%					
22	. Хакамада Ирина Муцуовна	763	21	13	42	48	34	59	66	63	38	27	40	31	32	53	44	46	45	54	7					
		3.74%	3.88%	2.63%	3.57%	3.45%	3.81%	4.74%	4.47%	4.32%	2.94%	3.16%	3.06%	2.84%	2.38%	3.83%	4.29%	4.33%	4.54%	4.70%	3.57%					
23	. Харитонов Николай Михайлович	3639	76	74	271	299	139	231	340	230	252	155	205	223	251	236	142	147	152	177	39					
		17.86%	14.05%	14.98%	23.02%	21.50%	15.58%	18.57%	23.04%	15.78%	19.49%	18.13%	15.67%	20.46%	18.66%	17.05%	13.84%	13.83%	15.32%	15.39%	19.90%					
																										
24	Против всех	778	17	23	34	51	24	45	58	90	52	22	51	33	58	46	30	46	42	51	5					
		3.82%	3.14%	4.66%	2.89%	3.67%	2.69%	3.62%	3.93%	6.17%	4.02%	2.57%	3.90%	3.03%	4.31%	3.32%	2.92%	4.33%	4.23%	4.43%	2.55%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
