Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Петровск-Забайкальская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235					
1	"Число избирателей, внесенных в список"	14396	347	87	133	1104	1026	552	142	478	160	155	267	653	1326	1151	210	89	891	963	1629	1230	176	403	1224					
2	Число полученных избирательных бюллетеней	14246	346	87	134	1100	1020	556	142	480	155	155	270	653	1295	1110	208	92	885	943	1610	1210	180	400	1215					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7613	242	63	114	676	539	379	127	248	120	77	154	328	618	611	140	82	407	600	617	461	135	270	605					
5	"Число избирательных бюллетеней, выданных вне помещения"	306	0	0	0	15	15	28	0	54	0	9	0	7	39	23	0	0	3	3	37	17	3	0	53					
6	Число погашенных избирательных бюллетеней	6327	104	24	20	409	466	149	15	178	35	69	116	318	638	476	68	10	475	340	956	732	42	130	557					
7	Число избирательных бюллетеней в переносных ящиках	306	0	0	0	15	15	28	0	54	0	9	0	7	39	23	0	0	3	3	37	17	3	0	53					
8	Число бюллетеней в стационарных ящиках для голосования	7613	242	63	114	676	539	379	127	248	120	77	154	328	618	611	140	82	407	600	617	461	135	270	605					
9	Число недействительных избирательных бюллетеней	86	1	1	0	8	4	3	2	7	0	2	1	9	8	4	1	0	7	8	6	4	1	2	7					
10	Число действительных избирательных бюллетеней	7833	241	62	114	683	550	404	125	295	120	84	153	326	649	630	139	82	403	595	648	474	137	268	651					
11	Число полученных открепительных  удостоверений	150	5	4	4	8	8	8	4	8	4	4	4	8	10	10	4	4	8	8	10	10	4	5	8					
12	Число выданных открепительных удостоверений	28	0	0	0	5	2	3	0	2	0	0	0	0	4	2	0	0	1	4	2	0	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	2	0	1	1	3	1	3	1	2	0	2	1	1	0	0	2	0	4	2	0	0	2					
14	Число неиспользованных открепительных удостоверений	122	5	4	4	3	6	5	4	6	4	4	4	8	6	8	4	4	7	4	8	10	3	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	221	5	3	2	13	10	7	11	8	2	9	4	4	26	6	4	0	9	9	37	23	4	11	14					
		2.79%	2.07%	4.76%	1.75%	1.88%	1.81%	1.72%	8.66%	2.65%	1.67%	10.47%	2.60%	1.19%	3.96%	0.95%	2.86%	0.00%	2.20%	1.49%	5.66%	4.81%	2.90%	4.07%	2.13%					
