Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Дахадаевская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387					
1	"Число избирателей, внесенных в список"	21051	1098	788	1005	543	439	272	127	717	656	475	369	437	200	380	555	175	558	185	165	106	597	875	974	939	34	1052	326	176	354	450	101	204	142	173	223	141	89	78	100	185	78	385	305	139	298	147	406	70	261	898	795	152	191	157	205	101					
2	Число полученных избирательных бюллетеней	21029	1098	788	1005	543	439	272	127	717	656	475	369	437	200	380	555	175	558	176	165	106	597	875	974	939	34	1052	326	176	354	450	101	204	142	173	228	141	86	78	100	176	78	385	305	139	298	147	406	70	261	898	795	146	191	157	205	101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20392	1026	775	988	533	431	256	125	717	640	467	362	429	194	376	545	175	475	161	165	105	597	767	965	930	34	1052	316	170	350	444	101	200	140	138	223	141	84	71	100	172	78	379	299	136	294	144	356	70	248	886	780	146	191	157	187	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	252	50	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0					
6	Число погашенных избирательных бюллетеней	385	22	13	17	10	8	4	2	0	16	8	7	8	6	4	10	0	8	15	0	1	0	17	9	9	0	0	10	6	4	6	0	4	2	33	5	0	2	7	0	0	0	6	6	3	4	3	50	0	13	12	15	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	252	50	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	20392	1026	775	988	533	431	256	125	717	640	467	362	429	194	376	545	175	475	161	165	105	597	767	965	930	34	1052	316	170	350	444	101	200	140	138	223	141	84	71	100	172	78	379	299	136	294	144	356	70	248	886	780	146	191	157	187	101					
9	Число недействительных избирательных бюллетеней	66	2	0	5	1	2	0	0	16	0	0	0	0	0	1	2	0	0	0	0	0	0	5	2	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	6	10	0	0	0					
10	Число действительных избирательных бюллетеней	20578	1074	775	983	532	429	268	125	701	640	467	362	429	194	375	543	175	550	161	165	105	597	853	963	930	34	1052	315	170	350	444	101	200	140	138	222	141	84	71	100	176	78	379	290	136	294	143	356	70	248	886	780	140	181	157	205	101					
11	Число полученных открепительных  удостоверений	297	10	6	10	8	5	5	3	5	8	5	5	5	3	7	8	3	5	3	3	3	8	10	10	10	2	10	5	3	5	8	3	5	3	3	5	3	3	3	3	3	3	5	5	3	5	3	5	3	5	10	10	5	5	5	5	5					
