Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Карабулакская городская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15257	963	1560	1155	2252	2801	2177	1487	2862									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13749	855	1400	1000	2000	2600	2000	1350	2544									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12035	652	1248	875	1924	2354	1966	1039	1977									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	313	111	0	1	0	4	9	38	150									
6	Число погашенных избирательных бюллетеней	1401	92	152	124	76	242	25	273	417									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	313	111	0	1	0	4	9	38	150									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12035	652	1248	875	1924	2354	1966	1039	1977									
9	Число недействительных избирательных бюллетеней	31	7	0	2	12	0	7	3	0									
10	Число действительных избирательных бюллетеней	12317	756	1248	874	1912	2358	1968	1074	2127									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	148	15	19	19	19	19	19	19	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	8	0	3	1	2	0	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	0	0	0	0	1	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	140	15	16	18	17	19	18	18	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	574	23	130	29	118	79	98	34	63									
		4.65%	3.01%	10.42%	3.31%	6.13%	3.35%	4.96%	3.16%	2.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	22	1	2	1	3	8	1	2	4									
		0.18%	0.13%	0.16%	0.11%	0.16%	0.34%	0.05%	0.19%	0.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	19	2	3	1	3	5	2	1	2									
		0.15%	0.26%	0.24%	0.11%	0.16%	0.21%	0.10%	0.09%	0.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8773	549	824	605	1239	1799	1384	775	1598									
		71.05%	71.95%	66.03%	69.06%	64.40%	76.29%	70.08%	71.96%	75.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	198	1	6	1	75	2	85	25	3									
		1.60%	0.13%	0.48%	0.11%	3.90%	0.08%	4.30%	2.32%	0.14%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	3	4	0	2	7	4	3	4									
		0.22%	0.39%	0.32%	0.00%	0.10%	0.30%	0.20%	0.28%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	186	8	36	32	7	27	20	30	26									
		1.51%	1.05%	2.88%	3.65%	0.36%	1.15%	1.01%	2.79%	1.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	0	1	0	1	1	1	1	0									
		0.04%	0.00%	0.08%	0.00%	0.05%	0.04%	0.05%	0.09%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	410	9	21	14	274	29	17	18	28									
		3.32%	1.18%	1.68%	1.60%	14.24%	1.23%	0.86%	1.67%	1.32%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	5	6	2	8	12	8	2	9									
		0.42%	0.66%	0.48%	0.23%	0.42%	0.51%	0.41%	0.19%	0.42%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	2	1	1	2	1	1	2	1									
		0.09%	0.26%	0.08%	0.11%	0.10%	0.04%	0.05%	0.19%	0.05%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	708	53	76	69	60	131	121	71	127									
		5.73%	6.95%	6.09%	7.88%	3.12%	5.56%	6.13%	6.59%	5.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	238	19	33	21	20	46	31	27	41									
		1.93%	2.49%	2.64%	2.40%	1.04%	1.95%	1.57%	2.51%	1.93%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1094	81	105	98	100	211	195	83	221									
		8.86%	10.62%	8.41%	11.19%	5.20%	8.95%	9.87%	7.71%	10.39%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
