Выборы Президента Российской Федерации																													
																													
"Наименование Избирательной комиссии:    Новокузнецк, Новоильинская"																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682					
1	"Число избирателей, внесенных в список"	49952	2001	1968	2642	2400	1839	2325	2533	2740	2538	1791	2588	1810	1759	1979	1558	2001	2538	2537	2676	2722	2863	2144					
2	Число полученных избирательных бюллетеней	48300	2000	2000	2500	2300	2000	2300	2500	2600	2500	1600	2500	1700	1600	2000	1500	1800	2500	2500	2500	2600	2800	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32821	1357	1326	1574	1512	1265	1493	1603	1782	1649	1159	1738	1121	1206	1291	947	1390	1692	1765	1767	1877	1777	1530					
5	"Число избирательных бюллетеней, выданных вне помещения"	1470	31	65	83	37	81	65	68	43	50	32	56	29	60	30	105	43	50	42	45	93	315	47					
6	Число погашенных избирательных бюллетеней	14009	612	609	843	751	654	742	829	775	801	409	706	550	334	679	448	367	758	693	688	630	708	423					
7	Число избирательных бюллетеней в переносных ящиках	1470	31	65	83	37	81	65	68	43	50	32	56	29	60	30	105	43	50	42	45	93	315	47					
8	Число бюллетеней в стационарных ящиках для голосования	32709	1357	1326	1566	1512	1265	1493	1603	1779	1649	1159	1738	1080	1206	1290	947	1390	1688	1760	1767	1877	1774	1483					
9	Число недействительных избирательных бюллетеней	267	8	8	13	13	3	9	12	12	5	11	9	18	13	13	14	0	14	19	11	26	24	12					
10	Число действительных избирательных бюллетеней	33912	1380	1383	1636	1536	1343	1549	1659	1810	1694	1180	1785	1091	1253	1307	1038	1433	1724	1783	1801	1944	2065	1518					
11	Число полученных открепительных  удостоверений	790	30	30	35	30	30	40	50	45	45	30	45	35	20	40	20	35	40	35	40	40	45	30					
12	Число выданных открепительных удостоверений	674	20	21	35	24	29	40	46	39	42	28	36	28	14	32	12	30	31	32	37	36	39	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	428	17	24	7	12	20	12	16	6	15	6	22	6	77	35	10	31	13	30	15	22	19	13					
