Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Тахтамукайская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223					
1	"Число избирателей, внесенных в список"	48222	1495	1868	2078	732	496	254	2040	1637	2116	1738	1774	1592	1033	1381	158	294	560	270	1132	2058	1888	1770	2039	2204	1975	1696	1880	1840	907	123	1958	952	523	270	1461	1132	434	199	265					
2	Число полученных избирательных бюллетеней	44325	1350	1700	1900	650	470	252	1900	1500	1900	1600	1650	1450	950	1250	156	270	520	250	1100	1900	1700	1600	1900	2000	1800	1600	1700	1700	800	125	1800	930	500	250	1300	1050	400	202	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36369	1081	1392	1556	574	451	246	1527	1257	1792	847	951	1214	473	1098	152	236	446	248	674	1604	1268	1458	1450	1964	1456	989	1571	1235	640	116	1744	930	454	228	1224	993	391	194	245					
5	"Число избирательных бюллетеней, выданных вне помещения"	1929	70	231	252	22	19	6	67	65	38	23	36	27	41	97	0	28	17	0	140	31	145	22	20	28	36	59	27	229	4	0	18	0	21	14	53	29	5	5	4					
6	Число погашенных избирательных бюллетеней	6027	199	77	92	54	0	0	306	178	70	730	663	209	436	55	4	6	57	2	286	265	287	120	430	8	308	552	102	236	156	9	38	0	25	8	23	28	4	3	1					
7	Число избирательных бюллетеней в переносных ящиках	1929	70	231	252	22	19	6	67	65	38	23	36	27	41	97	0	28	17	0	140	31	145	22	20	28	36	59	27	229	4	0	18	0	21	14	53	29	5	5	4					
8	Число бюллетеней в стационарных ящиках для голосования	36368	1081	1392	1556	574	451	246	1527	1257	1792	846	951	1214	473	1098	152	236	446	248	674	1604	1268	1458	1450	1964	1456	989	1571	1235	640	116	1744	930	454	228	1224	993	391	194	245					
9	Число недействительных избирательных бюллетеней	212	18	6	11	2	0	11	5	1	10	4	9	10	5	5	1	2	1	1	9	4	9	6	15	0	8	3	18	4	9	0	7	2	5	1	4	3	0	0	3					
10	Число действительных избирательных бюллетеней	38085	1133	1617	1797	594	470	241	1589	1321	1820	865	978	1231	509	1190	151	262	462	247	805	1631	1404	1474	1455	1992	1484	1045	1580	1460	635	116	1755	928	470	241	1273	1019	396	199	246					
11	Число полученных открепительных  удостоверений	199	4	5	7	4	4	4	8	5	7	4	5	8	5	5	4	1	4	4	5	8	5	5	8	8	8	5	5	5	4	4	7	4	4	4	5	5	4	4	4					
12	Число выданных открепительных удостоверений	73	0	2	2	0	0	0	7	5	6	3	3	8	1	0	0	0	0	0	1	6	1	1	5	4	8	4	1	3	0	0	0	0	1	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	3	1	2	2	4	0	1	4	0	2	0	2	1	0	0	3	0	0	0	3	1	2	1	1	0	1	0	6	3	0	5	2	0	0	5	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	126	4	3	5	4	4	4	1	0	1	1	2	0	4	5	4	1	4	4	4	2	4	4	3	4	0	1	4	2	4	4	7	4	3	4	4	5	4	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	718	0	15	32	17	4	0	27	0	61	31	32	17	17	25	1	7	1	2	3	39	31	35	60	56	43	8	10	33	49	1	25	0	18	6	0	3	0	0	9					
		1.87%	0.00%	0.92%	1.77%	2.85%	0.85%	0.00%	1.69%	0.00%	3.33%	3.57%	3.24%	1.37%	3.31%	2.09%	0.66%	2.65%	0.22%	0.81%	0.37%	2.39%	2.19%	2.36%	4.08%	2.81%	2.88%	0.76%	0.63%	2.25%	7.61%	0.86%	1.42%	0.00%	3.79%	2.48%	0.00%	0.29%	0.00%	0.00%	3.61%					
19	. Малышкин Олег Александрович	271	0	3	8	4	0	0	16	0	15	10	20	14	15	9	0	2	1	1	3	30	19	3	14	10	9	5	12	20	8	6	5	0	2	3	0	3	0	0	1					
		0.71%	0.00%	0.18%	0.44%	0.67%	0.00%	0.00%	1.00%	0.00%	0.82%	1.15%	2.03%	1.13%	2.92%	0.75%	0.00%	0.76%	0.22%	0.40%	0.37%	1.83%	1.34%	0.20%	0.95%	0.50%	0.60%	0.48%	0.75%	1.37%	1.24%	5.17%	0.28%	0.00%	0.42%	1.24%	0.00%	0.29%	0.00%	0.00%	0.40%					
20	. Миронов Сергей Михайлович	196	0	4	7	4	0	0	10	0	5	7	5	0	0	8	0	1	1	1	6	23	20	2	12	27	4	2	21	5	5	0	9	1	1	0	0	3	0	0	2					
		0.51%	0.00%	0.25%	0.39%	0.67%	0.00%	0.00%	0.63%	0.00%	0.27%	0.81%	0.51%	0.00%	0.00%	0.67%	0.00%	0.38%	0.22%	0.40%	0.74%	1.41%	1.42%	0.14%	0.82%	1.36%	0.27%	0.19%	1.31%	0.34%	0.78%	0.00%	0.51%	0.11%	0.21%	0.00%	0.00%	0.29%	0.00%	0.00%	0.80%					
21	. Путин Владимир Владимирович	30957	811	1114	1477	410	377	174	1432	1306	1507	588	642	1054	308	980	123	193	450	215	660	1356	1094	1382	1096	1486	1162	879	1229	1181	431	94	1620	922	368	184	1136	783	327	197	209					
		80.83%	70.46%	68.64%	81.69%	68.79%	80.21%	69.05%	89.84%	98.79%	82.35%	67.66%	65.05%	84.93%	59.92%	82.01%	80.92%	73.11%	97.19%	86.69%	81.08%	82.94%	77.42%	93.38%	74.56%	74.60%	77.88%	83.87%	76.91%	80.67%	66.93%	81.03%	91.94%	99.14%	77.47%	76.03%	88.96%	76.61%	82.58%	98.99%	83.94%					
22	. Хакамада Ирина Муцуовна	553	0	26	30	8	2	0	30	0	23	22	29	9	18	29	9	7	0	8	10	25	38	10	29	41	28	12	27	26	22	7	10	1	9	0	0	5	0	0	3					
		1.44%	0.00%	1.60%	1.66%	1.34%	0.43%	0.00%	1.88%	0.00%	1.26%	2.53%	2.94%	0.73%	3.50%	2.43%	5.92%	2.65%	0.00%	3.23%	1.23%	1.53%	2.69%	0.68%	1.97%	2.06%	1.88%	1.15%	1.69%	1.78%	3.42%	6.03%	0.57%	0.11%	1.89%	0.00%	0.00%	0.49%	0.00%	0.00%	1.20%					
23	. Харитонов Николай Михайлович	4736	306	429	207	124	87	64	55	15	171	174	211	91	137	108	10	50	9	19	114	142	166	40	202	339	189	119	258	175	94	6	68	2	67	42	137	217	69	2	21					
		12.37%	26.59%	26.43%	11.45%	20.81%	18.51%	25.40%	3.45%	1.13%	9.34%	20.02%	21.38%	7.33%	26.65%	9.04%	6.58%	18.94%	1.94%	7.66%	14.00%	8.69%	11.75%	2.70%	13.74%	17.02%	12.67%	11.35%	16.15%	11.95%	14.60%	5.17%	3.86%	0.22%	14.11%	17.36%	10.73%	21.23%	17.42%	1.01%	8.43%					
																																														
24	Против всех	654	16	26	36	27	0	3	19	0	38	33	39	46	14	31	8	2	0	1	9	16	36	2	42	33	49	20	23	20	26	2	18	2	5	6	0	5	0	0	1					
		1.71%	1.39%	1.60%	1.99%	4.53%	0.00%	1.19%	1.19%	0.00%	2.08%	3.80%	3.95%	3.71%	2.72%	2.59%	5.26%	0.76%	0.00%	0.40%	1.11%	0.98%	2.55%	0.14%	2.86%	1.66%	3.28%	1.91%	1.44%	1.37%	4.04%	1.72%	1.02%	0.22%	1.05%	2.48%	0.00%	0.49%	0.00%	0.00%	0.40%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
