Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Спас-Деменская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618					
1	"Число избирателей, внесенных в список избирателей"	7179	185	193	155	390	99	127	108	229	221	161	98	2270	2118	246	579					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7330	185	187	160	405	95	125	113	240	230	160	100	2300	2195	245	590					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4546	136	144	139	255	73	108	61	138	49	101	89	1438	1207	189	419					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	782	28	34	13	95	15	17	34	59	150	36	1	58	143	47	52					
6	Число погашенных избирательных бюллетеней	2002	21	9	8	55	7	0	18	43	31	23	10	804	845	9	119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	782	28	34	13	95	15	17	34	59	150	36	1	58	143	47	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4546	136	144	139	255	73	108	61	138	49	101	89	1438	1207	189	419					
9	Число недействительных избирательных бюллетеней	41	0	0	0	3	0	0	1	0	0	1	0	5	26	3	2					
10	Число действительных избирательных бюллетеней	5287	164	178	152	347	88	125	94	197	199	136	90	1491	1324	233	469					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	154	0	8	8	15	9	0	10	15	7	7	5	35	25	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	140	0	6	8	15	2	0	5	15	7	7	5	35	25	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	86	1	6	2	6	5	2	4	5	0	3	5	25	10	5	7					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	2	0	0	7	0	5	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	2	0	0	0	0	0	1	0	2	7	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	299	11	8	6	24	1	0	3	4	9	13	6	50	119	11	34					
		5.61%	6.71%	4.49%	3.95%	6.86%	1.14%	0.00%	3.16%	2.03%	4.52%	9.49%	6.67%	3.34%	8.81%	4.66%	7.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	445	9	9	2	28	7	2	8	19	13	18	3	128	132	14	53					
		8.35%	5.49%	5.06%	1.32%	8.00%	7.95%	1.60%	8.42%	9.64%	6.53%	13.14%	3.33%	8.56%	9.78%	5.93%	11.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	1	1	0	2	0	0	0	2	0	1	0	8	4	0	3					
		0.41%	0.61%	0.56%	0.00%	0.57%	0.00%	0.00%	0.00%	1.02%	0.00%	0.73%	0.00%	0.53%	0.30%	0.00%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	821	12	13	7	54	1	3	6	13	29	22	7	292	269	22	71					
		15.41%	7.32%	7.30%	4.61%	15.43%	1.14%	2.40%	6.32%	6.60%	14.57%	16.06%	7.78%	19.52%	19.93%	9.32%	15.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	64	0	0	2	2	1	0	0	0	1	0	1	22	26	2	7					
		1.20%	0.00%	0.00%	1.32%	0.57%	1.14%	0.00%	0.00%	0.00%	0.50%	0.00%	1.11%	1.47%	1.93%	0.85%	1.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3616	131	147	135	234	78	120	77	159	146	81	73	987	765	184	299					
		67.87%	79.88%	82.58%	88.82%	66.86%	88.64%	96.00%	81.05%	80.71%	73.37%	59.12%	81.11%	65.98%	56.67%	77.97%	63.48%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	20	0	0	0	3	0	0	0	0	1	1	0	4	9	0	2					
		0.38%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.50%	0.73%	0.00%	0.27%	0.67%	0.00%	0.42%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
