Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Калининская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373					
1	"Число избирателей, внесенных в список"	42445	927	1960	278	1997	650	1497	761	446	578	422	300	1434	136	1058	1287	572	2196	596	364	481	612	737	738	1019	109	324	498	1515	934	329	710	295	405	1138	796	206	342	1314	519	1206	370	287	418	772	533	239	260	1470	103	633	175	393	161	1443	368	2883	251					
2	Число полученных избирательных бюллетеней	42133	922	1947	277	1998	650	1505	756	429	579	405	302	1418	136	1060	1275	583	2199	590	348	486	595	734	712	1009	103	316	494	1496	932	328	708	291	408	1125	787	196	333	1306	515	1199	372	281	414	770	526	240	255	1457	101	630	168	385	165	1420	366	2892	239					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18854	346	916	124	883	330	730	267	196	191	206	120	661	55	470	658	328	1131	302	226	228	200	332	353	411	38	94	230	660	483	160	360	146	141	380	322	87	147	415	166	470	191	118	153	349	288	100	99	582	53	232	61	192	110	612	205	1456	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	3993	68	91	24	22	18	58	172	123	132	69	60	81	81	32	13	62	10	0	0	69	145	57	85	115	37	97	110	116	0	15	24	29	121	198	84	77	96	215	107	18	70	59	72	69	142	46	22	182	16	149	62	13	0	30	8	50	72					
6	Число погашенных избирательных бюллетеней	19286	508	940	129	1093	302	717	317	110	256	130	122	676	0	558	604	193	1058	288	122	189	250	345	274	483	28	125	154	720	449	153	324	116	146	547	381	32	90	676	242	711	111	104	189	352	96	94	134	693	32	249	45	180	55	778	153	1386	77					
7	Число избирательных бюллетеней в переносных ящиках	3993	68	91	24	22	18	58	172	123	132	69	60	81	81	32	13	62	10	0	0	69	145	57	85	115	37	97	110	116	0	15	24	29	121	198	84	77	96	215	107	18	70	59	72	69	142	46	22	182	16	149	62	13	0	30	8	50	72					
8	Число бюллетеней в стационарных ящиках для голосования	18854	346	916	124	883	330	730	267	196	191	206	120	661	55	470	658	328	1131	302	226	228	200	332	353	411	38	94	230	660	483	160	360	146	141	380	322	87	147	415	166	470	191	118	153	349	288	100	99	582	53	232	61	192	110	612	205	1456	90					
9	Число недействительных избирательных бюллетеней	146	1	11	0	9	4	8	5	0	0	0	0	7	0	4	5	1	6	1	0	0	2	2	0	12	0	1	3	8	0	2	2	0	1	2	5	0	1	6	0	8	0	0	5	3	1	2	2	3	0	0	0	0	0	5	0	7	1					
10	Число действительных избирательных бюллетеней	22701	413	996	148	896	344	780	434	319	323	275	180	735	136	498	666	389	1135	301	226	297	343	387	438	514	75	190	337	768	483	173	382	175	261	576	401	164	242	624	273	480	261	177	220	415	429	144	119	761	69	381	123	205	110	637	213	1499	161					
11	Число полученных открепительных  удостоверений	582	8	15	4	15	7	15	8	6	6	6	5	15	3	15	15	22	15	10	8	8	9	9	9	10	6	6	8	18	9	10	9	5	6	16	7	5	7	20	9	21	14	5	6	8	8	6	6	18	6	10	6	6	6	20	6	40	6					
12	Число выданных открепительных удостоверений	216	0	15	1	8	3	14	0	6	2	1	0	4	0	6	7	9	8	3	1	7	2	6	4	1	0	0	8	6	0	4	0	4	3	3	1	0	2	5	1	2	10	1	4	8	1	6	1	6	0	1	0	2	2	8	1	15	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	326	5	18	1	11	5	9	3	9	2	9	1	15	0	7	11	4	2	2	14	4	12	6	3	4	7	4	7	13	2	1	5	1	4	16	3	3	3	6	4	3	7	5	3	9	3	6	4	17	2	6	5	1	0	8	1	8	2					
14	Число неиспользованных открепительных удостоверений	366	8	0	3	7	4	1	8	0	4	5	5	11	3	9	8	13	7	7	7	1	7	3	5	9	6	6	0	12	9	6	9	1	3	13	6	5	5	15	8	19	4	4	2	0	7	0	5	12	6	9	6	4	4	12	5	25	3					
15	"Число открепительных удостоверений, выданных в ТИК"	12	1	0	0	4	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	709	17	41	3	29	11	28	15	16	4	7	6	17	1	8	22	11	37	12	1	7	6	10	9	11	1	5	4	17	12	3	5	4	6	16	12	3	8	20	10	23	0	4	13	7	16	5	6	28	2	11	1	7	5	14	2	108	2					
		3.10%	4.11%	4.07%	2.03%	3.20%	3.16%	3.55%	3.42%	5.02%	1.24%	2.55%	3.33%	2.29%	0.74%	1.59%	3.28%	2.82%	3.24%	3.97%	0.44%	2.36%	1.74%	2.57%	2.05%	2.09%	1.33%	2.62%	1.18%	2.19%	2.48%	1.71%	1.30%	2.29%	2.29%	2.77%	2.96%	1.83%	3.29%	3.17%	3.66%	4.71%	0.00%	2.26%	5.78%	1.67%	3.72%	3.42%	4.96%	3.66%	2.90%	2.89%	0.81%	3.41%	4.55%	2.18%	0.94%	7.17%	1.23%					
19	. Малышкин Олег Александрович	410	8	13	3	20	3	6	16	6	6	2	6	12	2	7	20	6	17	4	3	6	4	5	5	12	2	9	5	16	2	3	8	1	3	7	2	3	11	18	4	9	5	4	2	12	12	0	2	18	0	6	2	2	0	18	5	25	2					
		1.79%	1.93%	1.29%	2.03%	2.21%	0.86%	0.76%	3.64%	1.88%	1.86%	0.73%	3.33%	1.62%	1.47%	1.39%	2.98%	1.54%	1.49%	1.32%	1.33%	2.02%	1.16%	1.29%	1.14%	2.28%	2.67%	4.71%	1.47%	2.06%	0.41%	1.71%	2.08%	0.57%	1.15%	1.21%	0.49%	1.83%	4.53%	2.86%	1.47%	1.84%	1.92%	2.26%	0.89%	2.87%	2.79%	0.00%	1.65%	2.36%	0.00%	1.57%	1.63%	0.98%	0.00%	2.80%	2.35%	1.66%	1.23%					
20	. Миронов Сергей Михайлович	123	1	9	1	4	3	0	2	0	3	2	0	2	1	6	6	4	8	2	0	0	4	0	4	4	2	4	0	0	3	0	2	5	1	1	3	0	5	5	0	3	2	2	0	0	0	0	0	0	1	5	0	1	0	2	1	8	1					
		0.54%	0.24%	0.89%	0.68%	0.44%	0.86%	0.00%	0.46%	0.00%	0.93%	0.73%	0.00%	0.27%	0.74%	1.20%	0.89%	1.03%	0.70%	0.66%	0.00%	0.00%	1.16%	0.00%	0.91%	0.76%	2.67%	2.09%	0.00%	0.00%	0.62%	0.00%	0.52%	2.86%	0.38%	0.17%	0.74%	0.00%	2.06%	0.79%	0.00%	0.61%	0.77%	1.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%	1.31%	0.00%	0.49%	0.00%	0.31%	0.47%	0.53%	0.62%					
21	. Путин Владимир Владимирович	17205	289	738	107	624	255	564	303	257	255	218	134	553	122	376	528	324	860	211	182	257	270	324	323	432	54	137	263	564	374	141	309	144	224	421	334	138	176	465	183	351	187	135	164	325	355	127	80	596	49	280	102	155	74	485	178	1002	127					
		75.31%	69.81%	73.29%	72.30%	68.95%	73.28%	71.57%	69.02%	80.56%	78.95%	79.27%	74.44%	74.53%	89.71%	74.90%	78.69%	83.08%	75.37%	69.87%	80.53%	86.53%	78.26%	83.29%	73.74%	82.13%	72.00%	71.73%	77.35%	72.68%	77.43%	80.57%	80.47%	82.29%	85.50%	72.84%	82.27%	84.15%	72.43%	73.81%	67.03%	71.93%	71.65%	76.27%	72.89%	77.75%	82.56%	86.99%	66.12%	78.01%	71.01%	73.49%	82.93%	75.61%	67.27%	75.55%	83.57%	66.53%	78.40%					
22	. Хакамада Ирина Муцуовна	694	9	27	2	28	7	37	16	3	4	7	1	25	5	14	16	10	57	11	10	3	13	6	11	6	0	6	5	24	9	5	17	7	3	10	12	3	6	21	5	21	3	3	5	10	17	0	4	8	2	24	5	12	5	17	4	88	5					
		3.04%	2.17%	2.68%	1.35%	3.09%	2.01%	4.70%	3.64%	0.94%	1.24%	2.55%	0.56%	3.37%	3.68%	2.79%	2.38%	2.56%	5.00%	3.64%	4.42%	1.01%	3.77%	1.54%	2.51%	1.14%	0.00%	3.14%	1.47%	3.09%	1.86%	2.86%	4.43%	4.00%	1.15%	1.73%	2.96%	1.83%	2.47%	3.33%	1.83%	4.30%	1.15%	1.69%	2.22%	2.39%	3.95%	0.00%	3.31%	1.05%	2.90%	6.30%	4.07%	5.85%	4.55%	2.65%	1.88%	5.84%	3.09%					
23	. Харитонов Николай Михайлович	2908	73	135	28	167	50	117	67	28	45	30	32	90	3	71	50	25	121	53	29	21	43	35	79	41	14	23	50	133	75	21	22	12	18	108	31	15	35	75	62	47	62	26	32	49	20	8	18	105	14	45	11	14	17	80	22	189	22					
		12.73%	17.63%	13.41%	18.92%	18.45%	14.37%	14.85%	15.26%	8.78%	13.93%	10.91%	17.78%	12.13%	2.21%	14.14%	7.45%	6.41%	10.60%	17.55%	12.83%	7.07%	12.46%	9.00%	18.04%	7.79%	18.67%	12.04%	14.71%	17.14%	15.53%	12.00%	5.73%	6.86%	6.87%	18.69%	7.64%	9.15%	14.40%	11.90%	22.71%	9.63%	23.75%	14.69%	14.22%	11.72%	4.65%	5.48%	14.88%	13.74%	20.29%	11.81%	8.94%	6.83%	15.45%	12.46%	10.33%	12.55%	13.58%					
																																																																
24	Против всех	652	16	33	4	24	15	28	15	9	6	9	1	36	2	16	24	9	35	8	1	3	3	7	7	8	2	6	10	14	8	0	19	2	6	13	7	2	1	20	9	26	2	3	4	12	9	4	9	6	1	10	2	14	9	21	1	79	2					
		2.85%	3.86%	3.28%	2.70%	2.65%	4.31%	3.55%	3.42%	2.82%	1.86%	3.27%	0.56%	4.85%	1.47%	3.19%	3.58%	2.31%	3.07%	2.65%	0.44%	1.01%	0.87%	1.80%	1.60%	1.52%	2.67%	3.14%	2.94%	1.80%	1.66%	0.00%	4.95%	1.14%	2.29%	2.25%	1.72%	1.22%	0.41%	3.17%	3.30%	5.33%	0.77%	1.69%	1.78%	2.87%	2.09%	2.74%	7.44%	0.79%	1.45%	2.62%	1.63%	6.83%	8.18%	3.27%	0.47%	5.25%	1.23%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
