Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Кашарская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062					
1	"Число избирателей, внесенных в список"	20701	1991	1130	1478	656	539	410	356	986	182	159	563	216	575	998	618	164	346	141	399	412	740	443	210	336	309	1397	143	120	727	668	394	351	652	492	652	550	198					
2	Число полученных избирательных бюллетеней	21092	2031	1152	1513	663	558	421	367	1013	182	163	568	222	587	1018	631	167	351	146	401	428	751	449	215	344	309	1397	145	122	753	680	392	354	659	505	664	569	202					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13123	1205	632	803	353	376	297	289	637	113	134	379	156	394	640	491	113	200	101	289	246	398	279	101	184	205	891	106	93	448	428	322	215	449	288	399	312	157					
5	"Число избирательных бюллетеней, выданных вне помещения"	2395	93	62	69	61	88	83	35	76	64	12	58	30	43	264	5	29	74	17	53	66	97	58	47	53	27	208	29	17	85	106	21	58	56	60	82	83	26					
6	Число погашенных избирательных бюллетеней	5574	733	458	641	249	94	41	43	300	5	17	131	36	150	114	135	25	77	28	59	116	256	112	67	107	77	298	10	12	220	146	49	81	154	157	183	174	19					
7	Число избирательных бюллетеней в переносных ящиках	2395	93	62	69	61	88	83	35	76	64	12	58	30	43	264	5	29	74	17	53	66	97	58	47	53	27	208	29	17	85	106	21	58	56	60	82	83	26					
8	Число бюллетеней в стационарных ящиках для голосования	13121	1205	632	803	353	376	297	289	635	113	134	379	156	394	640	491	113	200	101	289	246	398	279	101	184	205	891	106	93	448	428	322	215	449	288	399	312	157					
9	Число недействительных избирательных бюллетеней	174	7	6	8	4	2	1	2	13	0	3	7	1	8	7	6	3	0	2	2	3	3	4	5	1	2	35	0	0	9	10	3	1	4	3	5	1	3					
10	Число действительных избирательных бюллетеней	15342	1291	688	864	410	462	379	322	698	177	143	430	185	429	897	490	139	274	116	340	309	492	333	143	236	230	1064	135	110	524	524	340	272	501	345	476	394	180					
