Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Богучанская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	410	1	4	22	1	1	1	4	8	17	18	2	26	20	14	22	18	20	9	11	22	9	2	19	16	1	6	33	2	31	13	11	12	3	10	1					
		1.85%	2.17%	1.25%	1.92%	0.24%	2.04%	5.00%	2.76%	2.57%	1.72%	1.87%	2.08%	2.53%	2.87%	2.01%	2.49%	2.28%	2.29%	1.34%	2.01%	2.42%	1.22%	0.82%	1.63%	1.38%	0.57%	1.28%	2.04%	2.41%	2.03%	1.51%	2.34%	1.26%	0.80%	1.36%	6.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	112	1	0	3	0	0	0	1	0	2	1	0	16	3	5	5	2	4	12	0	3	1	1	2	14	0	3	10	0	11	1	1	7	3	0	0					
		0.50%	2.17%	0.00%	0.26%	0.00%	0.00%	0.00%	0.69%	0.00%	0.20%	0.10%	0.00%	1.56%	0.43%	0.72%	0.57%	0.25%	0.46%	1.79%	0.00%	0.33%	0.14%	0.41%	0.17%	1.21%	0.00%	0.64%	0.62%	0.00%	0.72%	0.12%	0.21%	0.73%	0.80%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0					
		0.06%	0.00%	0.31%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.10%	0.10%	1.04%	0.10%	0.00%	0.00%	0.11%	0.00%	0.00%	0.15%	0.18%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.42%	0.00%	0.00%	0.00%	0.00%					
