Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Моркинская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в список"	24374	2214	2249	2510	101	581	299	489	855	105	391	280	637	294	237	175	472	327	300	529	832	901	252	111	447	335	258	375	233	364	295	378	278	474	559	621	148	870	355	170	625	413	275	556	446	758					
2	Число полученных избирательных бюллетеней	23495	2000	2050	2350	150	600	290	500	820	115	400	290	620	300	230	160	460	350	300	520	830	860	250	110	460	360	270	370	220	360	280	360	270	470	550	610	150	820	330	150	580	390	270	540	400	730					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15179	1375	1374	1584	20	311	165	268	589	65	240	167	379	164	152	71	330	198	145	338	459	631	192	103	249	230	164	243	138	228	213	222	178	254	347	380	98	538	250	122	438	305	204	299	262	497					
5	"Число избирательных бюллетеней, выданных вне помещения"	2716	91	62	45	81	112	59	101	100	15	62	50	43	43	26	73	48	70	97	103	167	47	23	3	94	36	50	46	30	62	20	79	41	69	59	78	24	68	27	22	38	38	45	116	73	80					
6	Число погашенных избирательных бюллетеней	5600	534	614	721	49	177	66	131	131	35	98	73	198	93	52	16	82	82	58	79	204	182	35	4	117	94	56	81	52	70	47	59	51	147	144	152	28	214	53	6	104	47	21	125	65	153					
7	Число избирательных бюллетеней в переносных ящиках	2716	91	62	45	81	112	59	101	100	15	62	50	43	43	26	73	48	70	97	103	167	47	23	3	94	36	50	46	30	62	20	79	41	69	59	78	24	68	27	22	38	38	45	116	73	80					
8	Число бюллетеней в стационарных ящиках для голосования	15179	1375	1374	1584	20	311	165	268	589	65	240	167	379	164	152	71	330	198	145	338	459	631	192	103	249	230	164	243	138	228	213	222	178	254	347	380	98	538	250	122	438	305	204	299	262	497					
9	Число недействительных избирательных бюллетеней	173	14	10	1	0	6	4	0	0	0	5	0	4	1	3	0	15	2	0	4	8	8	2	0	5	5	3	2	4	6	1	6	5	7	3	6	1	8	4	2	3	2	1	0	6	6					
10	Число действительных избирательных бюллетеней	17722	1452	1426	1628	101	417	220	369	689	80	297	217	418	206	175	144	363	266	242	437	618	670	213	106	338	261	211	287	164	284	232	295	214	316	403	452	121	598	273	142	473	341	248	415	329	571					
11	Число полученных открепительных  удостоверений	520	33	43	35	0	17	6	10	14	2	12	6	12	7	10	9	10	13	9	10	14	14	5	1	17	17	6	7	5	14	5	7	6	18	11	15	3	14	8	3	8	7	5	16	9	27					
12	Число выданных открепительных удостоверений	488	30	38	32	0	17	6	10	12	0	12	6	12	7	10	9	10	13	9	10	14	14	5	1	15	17	6	7	1	14	5	7	6	18	8	15	3	14	3	0	8	7	5	16	9	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	140	14	12	10	16	4	1	1	1	1	1	2	2	1	2	7	2	2	1	3	2	1	3	1	2	3	1	3	2	3	2	2	1	2	1	2	1	9	0	2	2	0	2	2	3	5					
14	Число неиспользованных открепительных удостоверений	32	3	5	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	3	0	0	0	5	3	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	30	3	10	4	0	0	0	2	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	407	49	41	44	4	7	5	5	22	2	5	6	5	9	0	1	0	13	11	8	14	16	1	0	6	4	9	6	3	4	3	10	4	6	19	12	2	9	9	2	6	1	2	1	9	12					
		2.27%	3.34%	2.86%	2.70%	3.96%	1.65%	2.23%	1.36%	3.19%	2.50%	1.66%	2.76%	1.18%	4.35%	0.00%	0.69%	0.00%	4.85%	4.55%	1.81%	2.24%	2.36%	0.47%	0.00%	1.75%	1.50%	4.21%	2.08%	1.79%	1.38%	1.29%	3.32%	1.83%	1.86%	4.68%	2.62%	1.64%	1.49%	3.25%	1.39%	1.26%	0.29%	0.80%	0.24%	2.69%	2.08%					
19	. Малышкин Олег Александрович	504	44	34	45	1	19	7	19	16	2	23	4	10	4	10	9	3	4	7	18	17	10	2	0	11	2	6	10	7	7	10	11	2	8	10	8	2	8	20	12	14	1	6	10	16	15					
		2.82%	3.00%	2.37%	2.76%	0.99%	4.49%	3.12%	5.15%	2.32%	2.50%	7.62%	1.84%	2.37%	1.93%	5.62%	6.25%	0.79%	1.49%	2.89%	4.08%	2.72%	1.47%	0.93%	0.00%	3.21%	0.75%	2.80%	3.46%	4.17%	2.41%	4.29%	3.65%	0.91%	2.48%	2.46%	1.75%	1.64%	1.32%	7.22%	8.33%	2.94%	0.29%	2.41%	2.41%	4.78%	2.60%					
20	. Миронов Сергей Михайлович	173	16	6	12	3	5	3	3	5	2	2	2	2	5	0	2	1	1	4	6	1	27	0	0	9	3	0	3	7	3	2	1	3	1	4	4	1	2	0	5	3	2	2	4	1	5					
