Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Можгинская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821					
1	"Число избирателей, внесенных в список"	35681	1344	1174	2539	2290	1326	1348	1254	1514	1513	1578	1684	1614	1572	2632	2520	2356	2459	1623	1902	1313	126					
2	Число полученных избирательных бюллетеней	34120	1300	1200	2400	2200	1200	1300	1200	1500	1500	1500	1600	1600	1500	2500	2400	2300	2300	1500	1800	1200	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23486	843	712	1652	1450	874	891	830	1010	914	1048	1121	990	1051	1692	1591	1607	1547	1158	1477	908	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	1064	25	47	76	102	38	47	42	53	58	64	56	36	93	68	46	42	66	23	23	59	0					
6	Число погашенных избирательных бюллетеней	9570	432	441	672	648	288	362	328	437	528	388	423	574	356	740	763	651	687	319	300	233	0					
7	Число избирательных бюллетеней в переносных ящиках	1064	25	47	76	102	38	47	42	53	58	64	56	36	93	68	46	42	66	23	23	59	0					
8	Число бюллетеней в стационарных ящиках для голосования	23475	843	712	1652	1450	874	891	830	1010	908	1047	1121	989	1051	1689	1591	1607	1547	1158	1477	908	120					
9	Число недействительных избирательных бюллетеней	255	16	9	23	18	11	9	7	8	13	14	16	9	11	20	19	9	17	10	5	10	1					
10	Число действительных избирательных бюллетеней	24284	852	750	1705	1534	901	929	865	1055	953	1097	1161	1016	1133	1737	1618	1640	1596	1171	1495	957	119					
11	Число полученных открепительных  удостоверений	477	10	25	20	20	10	12	20	23	17	35	20	50	20	20	20	35	25	50	25	20	0					
12	Число выданных открепительных удостоверений	446	10	25	20	12	4	11	18	23	16	35	18	50	19	20	19	35	25	41	25	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	14	3	12	6	12	4	6	8	6	6	1	12	13	23	7	12	4	5	13	7	41					
14	Число неиспользованных открепительных удостоверений	31	0	0	0	8	6	1	2	0	1	0	2	0	1	0	1	0	0	9	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	717	26	24	49	44	22	27	19	25	22	23	49	29	26	50	55	55	52	32	55	31	2					
		2.92%	3.00%	3.16%	2.84%	2.84%	2.41%	2.88%	2.18%	2.35%	2.28%	2.07%	4.16%	2.83%	2.27%	2.85%	3.36%	3.34%	3.22%	2.71%	3.67%	3.21%	1.67%					
19	. Малышкин Олег Александрович	854	42	37	74	36	15	28	32	38	30	34	31	49	29	73	50	57	70	28	66	35	0					
		3.48%	4.84%	4.87%	4.28%	2.32%	1.64%	2.99%	3.67%	3.57%	3.11%	3.06%	2.63%	4.78%	2.53%	4.15%	3.05%	3.46%	4.34%	2.37%	4.40%	3.62%	0.00%					
20	. Миронов Сергей Михайлович	196	5	4	15	15	7	6	3	3	5	8	13	8	12	15	12	16	22	7	13	6	1					
		0.80%	0.58%	0.53%	0.87%	0.97%	0.77%	0.64%	0.34%	0.28%	0.52%	0.72%	1.10%	0.78%	1.05%	0.85%	0.73%	0.97%	1.36%	0.59%	0.87%	0.62%	0.83%					
21	. Путин Владимир Владимирович	18396	636	561	1245	1224	733	695	662	848	755	851	859	763	865	1268	1197	1177	1144	909	1151	749	104					
		74.97%	73.27%	73.91%	72.05%	78.87%	80.37%	74.09%	75.92%	79.77%	78.16%	76.60%	72.98%	74.44%	75.61%	72.17%	73.12%	71.38%	70.92%	76.97%	76.73%	77.46%	86.67%					
22	. Хакамада Ирина Муцуовна	689	24	24	50	35	24	30	22	25	17	35	46	30	39	41	39	56	46	38	34	33	1					
		2.81%	2.76%	3.16%	2.89%	2.26%	2.63%	3.20%	2.52%	2.35%	1.76%	3.15%	3.91%	2.93%	3.41%	2.33%	2.38%	3.40%	2.85%	3.22%	2.27%	3.41%	0.83%					
23	. Харитонов Николай Михайлович	2834	99	83	230	150	85	115	102	105	89	122	127	110	136	254	218	236	220	130	138	77	8					
		11.55%	11.41%	10.94%	13.31%	9.66%	9.32%	12.26%	11.70%	9.88%	9.21%	10.98%	10.79%	10.73%	11.89%	14.46%	13.32%	14.31%	13.64%	11.01%	9.20%	7.96%	6.67%					
																												
24	Против всех	598	20	17	42	30	15	28	25	11	35	24	36	27	26	36	47	43	42	27	38	26	3					
		2.44%	2.30%	2.24%	2.43%	1.93%	1.64%	2.99%	2.87%	1.03%	3.62%	2.16%	3.06%	2.63%	2.27%	2.05%	2.87%	2.61%	2.60%	2.29%	2.53%	2.69%	2.50%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
