Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Кагальницкая																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2576	УИК №2578	УИК №2579					
1	"Число избирателей, внесенных в список"	23704	1277	831	1125	840	531	625	448	187	1204	167	163	53	439	1025	176	2015	1938	2290	1063	294	95	1925	1428	618	686	124	148	255	682	58	389	144	165	147	149					
2	Число полученных избирательных бюллетеней	23517	1200	800	1100	840	510	620	450	190	1200	168	163	57	440	1000	172	2000	1900	2300	1050	310	95	1950	1390	620	700	123	151	255	690	61	385	151	171	153	152					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17275	722	554	638	550	294	427	383	146	987	167	163	53	392	802	148	1648	1119	1611	631	238	95	1193	1233	597	527	104	109	231	597	44	345	129	144	129	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	1676	92	44	74	61	62	33	30	32	45	0	0	0	29	127	17	118	287	154	64	0	0	121	24	3	98	14	33	16	38	11	22	11	0	7	9					
6	Число погашенных избирательных бюллетеней	4566	386	202	388	229	154	160	37	12	168	1	0	4	19	71	7	234	494	535	355	72	0	636	133	20	75	5	9	8	55	6	18	11	27	17	18					
7	Число избирательных бюллетеней в переносных ящиках	1676	92	44	74	61	62	33	30	32	45	0	0	0	29	127	17	118	287	154	64	0	0	121	24	3	98	14	33	16	38	11	22	11	0	7	9					
8	Число бюллетеней в стационарных ящиках для голосования	17269	722	554	638	550	294	427	383	146	987	167	163	53	392	802	148	1645	1119	1611	631	238	95	1193	1231	597	527	104	109	231	596	44	345	129	144	129	125					
9	Число недействительных избирательных бюллетеней	259	15	7	6	5	3	6	4	0	7	0	0	0	6	6	0	15	31	16	9	3	0	83	17	5	4	0	0	0	6	0	1	0	4	0	0					
10	Число действительных избирательных бюллетеней	18686	799	591	706	606	353	454	409	178	1025	167	163	53	415	923	165	1748	1375	1749	686	235	95	1231	1238	595	621	118	142	247	628	55	366	140	140	136	134					
