Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Каширская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список"	60535	1395	1418	859	2003	1531	2147	2320	2439	505	2398	2395	2333	1135	2686	2359	2244	2384	2407	2342	816	2324	833	586	1353	1188	1618	471	797	413	418	1463	1084	647	841	946	297	213	1348	853	325	330	1554	2517					
2	Число полученных избирательных бюллетеней	58800	1350	1200	800	1940	1480	2080	2290	2400	500	2320	2320	2260	1110	2630	2300	2200	2350	2360	2300	790	2290	800	570	1320	1100	1600	500	800	400	380	1460	1060	640	860	930	290	220	1320	840	370	440	1570	2060					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29714	597	665	295	788	488	1094	1125	1067	205	1148	1126	1178	608	1366	1280	1174	1238	1138	1118	399	1158	330	266	685	534	782	80	381	207	229	898	564	285	463	400	107	136	660	585	141	328	1095	1303					
5	"Число избирательных бюллетеней, выданных вне помещения"	2236	33	61	44	64	88	11	18	20	0	14	31	43	21	15	30	22	40	84	58	39	86	30	54	111	99	59	204	58	50	22	63	56	56	107	122	65	25	66	51	61	0	0	55					
6	Число погашенных избирательных бюллетеней	26848	720	474	459	1088	904	975	1147	1313	295	1158	1163	1039	481	1249	990	1004	1072	1138	1124	352	1046	440	250	524	467	759	216	361	143	129	499	440	299	290	408	118	59	594	204	168	112	475	702					
7	Число избирательных бюллетеней в переносных ящиках	2236	33	61	44	64	88	11	18	20	0	14	31	43	21	15	30	22	40	84	58	39	86	30	54	111	99	59	204	58	50	22	63	56	56	107	122	65	25	66	51	61	0	0	55					
8	Число бюллетеней в стационарных ящиках для голосования	29710	597	665	293	788	488	1094	1125	1067	205	1148	1126	1176	608	1366	1280	1174	1238	1138	1118	399	1158	330	266	685	534	782	80	381	207	229	898	564	285	463	400	107	136	660	585	141	328	1095	1303					
9	Число недействительных избирательных бюллетеней	307	10	13	2	14	10	21	6	5	2	7	16	13	3	6	6	16	15	6	8	1	6	5	3	6	4	12	0	4	3	2	6	17	2	5	4	1	0	18	6	1	3	5	14					
10	Число действительных избирательных бюллетеней	31639	620	713	335	838	566	1084	1137	1082	203	1155	1141	1206	626	1375	1304	1180	1263	1216	1168	437	1238	355	317	790	629	829	284	435	254	249	955	603	339	565	518	171	161	708	630	201	325	1090	1344					
11	Число полученных открепительных  удостоверений	1788	40	40	30	60	40	60	60	60	30	60	59	60	40	60	60	60	60	60	60	30	60	30	30	40	40	40	20	29	20	20	40	40	30	40	30	20	20	40	30	20	0	60	60					
12	Число выданных открепительных удостоверений	416	8	6	2	10	5	18	15	15	0	6	10	6	6	14	13	11	12	14	13	5	18	3	3	8	15	7	1	29	3	2	4	5	4	35	7	0	10	5	0	1	0	49	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	247	11	10	14	11	7	7	1	2	8	7	6	7	4	8	8	3	4	7	6	6	7	3	2	6	17	2	3	1	7	13	5	2	3	6	1	0	2	3	3	0	0	15	9					
14	Число неиспользованных открепительных удостоверений	1372	32	34	28	50	35	42	45	45	30	54	49	54	34	46	47	49	48	46	47	25	42	27	27	32	25	33	19	0	17	18	36	35	26	5	23	20	10	35	30	19	0	11	42					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1378	22	48	25	42	27	41	72	38	3	52	43	48	34	71	71	57	72	74	66	15	56	12	12	38	20	38	9	24	13	14	24	12	11	12	23	4	3	24	10	3	5	38	52					
		4.31%	3.49%	6.61%	7.42%	4.93%	4.69%	3.71%	6.30%	3.50%	1.46%	4.48%	3.72%	3.94%	5.41%	5.14%	5.42%	4.77%	5.63%	6.06%	5.61%	3.42%	4.50%	3.33%	3.75%	4.77%	3.16%	4.52%	3.17%	5.47%	5.06%	5.58%	2.50%	1.94%	3.23%	2.11%	4.41%	2.33%	1.86%	3.31%	1.57%	1.49%	1.52%	3.47%	3.83%					
19	. Малышкин Олег Александрович	694	10	19	4	28	9	20	23	20	5	29	22	18	12	24	27	30	16	23	30	10	33	3	18	17	18	19	7	6	4	8	17	7	11	15	11	5	5	23	14	7	29	13	25					
		2.17%	1.59%	2.62%	1.19%	3.29%	1.56%	1.81%	2.01%	1.84%	2.44%	2.50%	1.90%	1.48%	1.91%	1.74%	2.06%	2.51%	1.25%	1.88%	2.55%	2.28%	2.65%	0.83%	5.62%	2.14%	2.84%	2.26%	2.46%	1.37%	1.56%	3.19%	1.77%	1.13%	3.23%	2.63%	2.11%	2.91%	3.11%	3.17%	2.20%	3.47%	8.84%	1.19%	1.84%					
20	. Миронов Сергей Михайлович	167	3	6	1	3	3	10	2	3	0	4	5	3	2	5	4	10	5	9	5	4	5	1	2	3	4	6	0	2	1	2	4	5	0	3	2	2	10	13	3	1	3	5	3					
		0.52%	0.48%	0.83%	0.30%	0.35%	0.52%	0.90%	0.17%	0.28%	0.00%	0.34%	0.43%	0.25%	0.32%	0.36%	0.31%	0.84%	0.39%	0.74%	0.43%	0.91%	0.40%	0.28%	0.62%	0.38%	0.63%	0.71%	0.00%	0.46%	0.39%	0.80%	0.42%	0.81%	0.00%	0.53%	0.38%	1.16%	6.21%	1.79%	0.47%	0.50%	0.91%	0.46%	0.22%					
21	. Путин Владимир Владимирович	23439	483	513	240	589	410	803	805	820	166	839	873	933	472	1000	969	879	942	889	863	329	935	281	234	570	444	620	218	344	169	137	726	430	215	417	390	136	126	492	436	161	212	912	1017					
		73.37%	76.67%	70.66%	71.22%	69.13%	71.18%	72.67%	70.43%	75.44%	80.98%	72.20%	75.45%	76.54%	75.04%	72.41%	73.97%	73.49%	73.71%	72.75%	73.38%	75.11%	75.16%	78.06%	73.12%	71.61%	70.14%	73.72%	76.76%	78.36%	65.76%	54.58%	75.55%	69.35%	63.05%	73.16%	74.71%	79.07%	78.26%	67.77%	68.55%	79.70%	64.63%	83.29%	74.89%					
22	. Хакамада Ирина Муцуовна	667	15	15	6	13	12	12	35	32	8	27	34	28	20	32	42	23	30	26	17	7	21	3	9	4	7	17	1	9	3	13	26	6	0	12	8	2	0	11	23	0	17	24	17					
