Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Ютазинская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864					
1	"Число избирателей, внесенных в список избирателей"	17716	667	376	411	281	255	1064	370	385	747	170	559	607	449	551	1173	655	110	629	560	529	553	619	590	516	627	607	614	603	623	553	655	608					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17890	672	381	412	287	263	1075	375	387	755	170	565	613	451	551	1177	665	110	635	563	532	551	625	592	529	638	620	616	610	624	574	660	612					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16828	644	363	395	251	250	1029	368	381	741	170	550	587	438	534	1134	649	110	568	519	477	518	578	555	471	592	546	565	557	579	530	607	572					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	515	17	13	15	15	5	34	0	0	4	0	7	18	8	17	11	2	0	29	24	27	16	30	12	30	13	30	30	26	28	7	24	23					
6	Число погашенных избирательных бюллетеней	547	11	5	2	21	8	12	7	6	10	0	8	8	5	0	32	14	0	38	20	28	17	17	25	28	33	44	21	27	17	37	29	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	515	17	13	15	15	5	34	0	0	4	0	7	18	8	17	11	2	0	29	24	27	16	30	12	30	13	30	30	26	28	7	24	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16828	644	363	395	251	250	1029	368	381	741	170	550	587	438	534	1134	649	110	568	519	477	518	578	555	471	592	546	565	557	579	530	607	572					
9	Число недействительных избирательных бюллетеней	72	1	0	0	0	0	0	7	0	2	0	0	2	2	3	6	2	0	7	0	6	2	3	2	1	8	2	2	11	0	0	0	3					
10	Число действительных избирательных бюллетеней	17271	660	376	410	266	255	1063	361	381	743	170	557	603	444	548	1139	649	110	590	543	498	532	605	565	500	597	574	593	572	607	537	631	592					
