Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Кинешемская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544					
1	"Число избирателей, внесенных в список"	19516	455	323	277	367	1125	1532	584	354	328	218	1328	273	985	1361	236	482	190	255	319	1583	713	836	1707	1578	1347	760					
2	Число полученных избирательных бюллетеней	20380	460	340	290	385	1200	1600	620	405	340	215	1360	305	1035	1390	245	440	195	290	335	1640	750	860	1770	1700	1380	830					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9627	240	186	143	188	680	672	221	184	160	149	678	120	459	711	139	297	103	127	173	798	282	385	778	721	668	365					
5	"Число избирательных бюллетеней, выданных вне помещения"	2596	68	49	45	115	123	213	197	119	103	29	91	72	290	131	61	83	45	85	77	79	104	60	78	121	89	69					
6	Число погашенных избирательных бюллетеней	8157	152	105	102	82	397	715	202	102	77	37	591	113	286	548	45	60	47	78	85	763	364	415	914	858	623	396					
7	Число избирательных бюллетеней в переносных ящиках	2596	68	49	45	115	123	213	197	119	103	29	91	72	290	131	61	83	45	85	77	79	104	60	78	121	89	69					
8	Число бюллетеней в стационарных ящиках для голосования	9626	240	186	143	188	680	672	221	184	160	149	678	120	459	711	139	297	103	127	173	798	282	384	778	721	668	365					
9	Число недействительных избирательных бюллетеней	82	4	3	0	1	15	5	2	1	2	0	5	2	4	5	0	2	2	0	3	4	0	1	7	5	6	3					
10	Число действительных избирательных бюллетеней	12140	304	232	188	302	788	880	416	302	261	178	764	190	745	837	200	378	146	212	247	873	386	443	849	837	751	431					
11	Число полученных открепительных  удостоверений	315	7	6	5	6	23	23	9	6	6	5	20	5	15	20	5	7	4	6	8	24	12	13	24	24	20	12					
12	Число выданных открепительных удостоверений	149	7	1	1	0	23	7	4	0	5	3	9	1	10	18	0	0	4	6	7	10	4	2	12	3	9	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	135	2	0	2	0	3	6	3	0	1	2	4	1	8	37	3	29	2	0	5	6	2	4	4	1	5	5					
14	Число неиспользованных открепительных удостоверений	166	0	5	4	6	0	16	5	6	1	2	11	4	5	2	5	7	0	0	1	14	8	11	12	21	11	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	307	3	5	1	10	6	21	5	3	2	4	27	2	33	27	11	9	8	3	6	27	10	12	26	15	22	9					
		2.51%	0.97%	2.13%	0.53%	3.30%	0.75%	2.37%	1.20%	0.99%	0.76%	2.25%	3.51%	1.04%	4.41%	3.21%	5.50%	2.37%	5.41%	1.42%	2.40%	3.08%	2.59%	2.70%	3.04%	1.78%	2.91%	2.07%					
19	. Малышкин Олег Александрович	388	8	6	0	6	27	28	12	3	3	2	20	8	24	31	6	16	6	5	8	28	9	20	29	38	28	17					
